Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2018-12-31 00:00:00,County,NH New Hampshire,NH Belknap County 33001,9,Summary of All HUD Programs,1,,Belknap County,33001,948,98,946,100,5,12,1.7,1563,367,665,15486,9373,2,24,30,23,21,13,3,83,25,96,72,4,19,71,19,66,49,40,1,31,21,47,5,4,1,1,0,96,0,1,-1,2,1,17,92,58,108,61,24,15,11,15,6,56,,,,,,NH,,,belknap nh,4,96,0,0
2018-12-31 00:00:00,County,NH New Hampshire,NH Belknap County 33001,9,Public Housing,2,,Belknap County,33001,98,99,97,100,6,16,1.1,110,319,376,14614,12887,2,23,33,27,15,2,-1,96,26,98,75,-1,1,64,-1,97,66,73,-1,13,27,60,7,1,-1,1,-1,99,-1,-1,-1,0,1,11,69,-1,-1,88,12,-1,2,21,7,48,,,,,,NH,,,belknap nh,1,99,0,0
2018-12-31 00:00:00,County,NH New Hampshire,NH Belknap County 33001,9,Housing Choice Vouchers,3,,Belknap County,33001,537,98,537,100,5,12,1.9,1024,380,646,15068,7902,2,28,29,21,20,16,4,78,24,97,76,6,25,70,26,66,69,41,1,42,25,32,1,5,1,2,1,95,0,1,-1,2,2,19,106,77,122,46,32,23,18,15,6,55,,,,,,NH,,,belknap nh,5,95,0,0
2018-12-31 00:00:00,County,NH New Hampshire,NH Belknap County 33001,9,Project Based Section 8,5,,Belknap County,33001,272,97,270,100,6,10,1.4,384,364,830,16571,11652,1,17,31,24,25,12,3,85,28,92,64,3,16,73,15,54,34,31,3,19,13,66,12,3,-1,0,-1,97,-1,2,-1,2,0,-1,77,51,66,76,17,6,1,13,5,60,,,,,,NH,,,belknap nh,3,97,0,0
2018-12-31 00:00:00,County,NH New Hampshire,NH Belknap County 33001,9,202/PRAC,8,,Belknap County,33001,41,98,42,100,6,14,1.1,45,340,530,15862,14805,-1,17,36,24,24,-1,-1,100,28,98,60,-1,-1,81,-1,-1,12,11,-1,-1,-1,100,10,0,-1,-1,-1,100,-1,-1,-1,0,0,-1,73,-1,-1,100,-1,-1,-1,8,4,59,,,,,,NH,,,belknap nh,0,100,0,0
2018-12-31 00:00:00,County,NH New Hampshire,NH Carroll County 33003,9,Summary of All HUD Programs,1,,Carroll County,33003,374,96,372,100,6,11,1.6,577,342,795,14239,9180,1,31,33,19,17,9,2,87,24,98,76,4,15,71,16,72,39,40,2,26,22,50,7,2,1,1,0,97,-1,-1,-1,0,1,5,99,55,163,67,23,10,10,11,3,72,,,,,,NH,,,carroll nh,3,97,0,0
2018-12-31 00:00:00,County,NH New Hampshire,NH Carroll County 33003,9,Housing Choice Vouchers,3,,Carroll County,33003,131,94,128,100,5,5,1.9,245,412,794,15213,7948,1,31,27,19,22,13,1,83,24,97,73,7,21,74,24,72,50,41,2,32,34,32,4,2,2,-1,-1,98,-1,-1,-1,0,1,5,129,90,204,42,30,27,27,11,3,71,,,,,,NH,,,carroll nh,2,98,0,0
2018-12-31 00:00:00,County,NH New Hampshire,NH Carroll County 33003,9,Mod Rehab,4,,Carroll County,33003,15,91,15,100,5,33,3.0,45,157,805,6822,2274,11,56,22,-1,11,20,20,20,10,100,93,13,87,73,73,27,-1,9,13,80,7,-1,-1,7,7,-1,-1,93,-1,-1,-1,0,7,2,32,-1,-1,-1,100,-1,-1,18,4,74,,,,,,NH,,,carroll nh,7,93,0,0
2018-12-31 00:00:00,County,NH New Hampshire,NH Carroll County 33003,9,Project Based Section 8,5,,Carroll County,33003,218,98,219,100,6,13,1.3,277,314,804,14078,11130,1,31,36,19,13,6,1,93,24,98,78,2,6,68,8,80,39,45,2,20,16,62,8,2,-1,2,0,95,-1,-1,-1,0,1,-1,85,42,113,84,14,2,2,11,3,71,,,,,,NH,,,carroll nh,5,95,0,0
2018-12-31 00:00:00,County,NH New Hampshire,NH Carroll County 33003,9,202/PRAC,8,,Carroll County,33003,10,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,NH,,,carroll nh,-4,-4,0,0
