Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,diff in non min,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2022-12-31 00:00:00,County,NH New Hampshire,NH Grafton County 33009,9,Mod Rehab,4,,Grafton County,33009,1,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,NH,,,grafton nh,-4,-4,0,0
2022-12-31 00:00:00,County,NH New Hampshire,NH Rockingham County 33015,9,Mod Rehab,4,,Rockingham County,33015,3,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,NH,,,rockingham nh,-4,-4,0,0
2022-12-31 00:00:00,County,NH New Hampshire,NH Sullivan County 33019,9,Mod Rehab,4,,Sullivan County,33019,3,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,NH,,,sullivan nh,-4,-4,0,0
2022-12-31 00:00:00,County,NH New Hampshire,NH Hillsborough County 33011,9,811/PRAC,9,,Hillsborough County,33011,5,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,NH,,,hillsborough nh,-4,-4,0,0
2022-12-31 00:00:00,County,NH New Hampshire,NH Strafford County 33017,9,Mod Rehab,4,,Strafford County,33017,11,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-8,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,NH,,,strafford nh,-4,-4,0,0
2022-12-31 00:00:00,County,NH New Hampshire,NH Carroll County 33003,9,202/PRAC,8,,Carroll County,33003,10,99,11,100,9,9,1.1,12,360,698,17902,16410,-1,18,27,27,27,9,-1,91,29,100,64,-1,-1,91,-1,-1,-1,0,-1,-1,-1,100,27,0,-1,-1,-1,91,91,-1,-1,-1,0,0,-1,67,-1,-1,100,-1,-1,-1,0,0,0,,,,,,NH,,,carroll nh,0,91,9,0
2022-12-31 00:00:00,County,NH New Hampshire,NH Belknap County 33001,9,202/PRAC,8,,Belknap County,33001,41,98,39,97,9,8,1.0,39,376,595,17366,17366,-1,8,31,31,31,-1,-1,100,27,100,64,-1,-1,85,-1,-1,18,18,-1,-1,-1,100,8,0,-1,-1,-1,92,92,-1,-1,-1,0,0,-1,82,-1,-1,100,-1,-1,-1,1,0,5,,,,,,NH,,,belknap nh,0,100,0,1
2022-12-31 00:00:00,County,NH New Hampshire,NH Cheshire County 33005,9,202/PRAC,8,,Cheshire County,33005,38,98,37,99,3,5,1.0,37,408,253,19087,19087,-1,-1,32,30,38,-1,-1,100,29,97,59,-1,-1,73,-1,-1,-1,0,-1,-1,-1,100,14,0,-1,-1,-1,97,97,-1,-1,-1,0,0,-1,77,-1,-1,100,-1,-1,-1,0,0,0,,,,,,NH,,,cheshire nh,3,97,0,0
2022-12-31 00:00:00,County,NH New Hampshire,NH Merrimack County 33013,9,Mod Rehab,4,,Merrimack County,33013,13,80,11,100,6,9,2.1,23,379,858,16352,7821,10,-1,50,10,30,9,-1,82,19,100,82,9,45,91,55,63,100,43,-1,55,18,27,-1,0,-1,-1,-1,100,100,-1,-1,-1,0,0,22,121,100,68,45,45,9,-1,7,5,72,,,,,,NH,,,merrimack nh,0,100,0,0
2022-12-31 00:00:00,County,NH New Hampshire,NH Sullivan County 33019,9,202/PRAC,8,,Sullivan County,33019,46,95,46,100,7,17,1.0,48,430,398,19676,18856,-1,2,24,35,39,2,-1,98,31,98,57,-1,-1,65,-1,-1,-1,0,-1,-1,-1,100,15,2,-1,-1,-1,96,98,-1,2,-1,2,0,-1,82,-1,-1,100,-1,-1,-1,7,1,25,,,,,,NH,,,sullivan nh,4,96,0,0
