State code,PUMA,County code,State abbr.,County_Name,allocation factor
34,101,34001,NJ,Atlantic NJ,1.0
34,102,34001,NJ,Atlantic NJ,0.9996
34,102,34011,NJ,Cumberland NJ,0.0004
34,301,34003,NJ,Bergen NJ,1.0
34,302,34003,NJ,Bergen NJ,1.0
34,303,34003,NJ,Bergen NJ,1.0
34,304,34003,NJ,Bergen NJ,1.0
34,305,34003,NJ,Bergen NJ,1.0
34,306,34003,NJ,Bergen NJ,0.9956
34,306,34031,NJ,Passaic NJ,0.0044
34,307,34003,NJ,Bergen NJ,1.0
34,308,34003,NJ,Bergen NJ,1.0
34,400,34031,NJ,Passaic NJ,1.0
34,501,34031,NJ,Passaic NJ,1.0
34,502,34003,NJ,Bergen NJ,0.0006
34,502,34013,NJ,Essex NJ,0.0018
34,502,34031,NJ,Passaic NJ,0.9976
34,503,34031,NJ,Passaic NJ,0.9998
34,503,34037,NJ,Sussex NJ,0.0002
34,601,34017,NJ,Hudson NJ,1.0
34,602,34017,NJ,Hudson NJ,1.0
34,701,34003,NJ,Bergen NJ,0.0007
34,701,34017,NJ,Hudson NJ,0.9993
34,702,34017,NJ,Hudson NJ,1.0
34,703,34017,NJ,Hudson NJ,1.0
34,800,34019,NJ,Hunterdon NJ,0.995
34,800,34027,NJ,Morris NJ,0.001
34,800,34035,NJ,Somerset NJ,0.0031
34,800,34041,NJ,Warren NJ,0.001
34,901,34021,NJ,Mercer NJ,0.0058
34,901,34023,NJ,Middlesex NJ,0.987
34,901,34025,NJ,Monmouth NJ,0.0073
34,902,34023,NJ,Middlesex NJ,0.9875
34,902,34035,NJ,Somerset NJ,0.0125
34,903,34023,NJ,Middlesex NJ,1.0
34,904,34023,NJ,Middlesex NJ,1.0
34,905,34023,NJ,Middlesex NJ,0.9932
34,905,34039,NJ,Union NJ,0.0068
34,906,34023,NJ,Middlesex NJ,1.0
34,907,34023,NJ,Middlesex NJ,1.0
34,1001,34019,NJ,Hunterdon NJ,0.0002
34,1001,34027,NJ,Morris NJ,0.0016
34,1001,34035,NJ,Somerset NJ,0.9982
34,1002,34021,NJ,Mercer NJ,0.0008
34,1002,34035,NJ,Somerset NJ,0.9992
34,1003,34035,NJ,Somerset NJ,0.9946
34,1003,34039,NJ,Union NJ,0.0054
34,1101,34025,NJ,Monmouth NJ,0.9981
34,1101,34029,NJ,Ocean NJ,0.0019
34,1102,34005,NJ,Burlington NJ,0.0024
34,1102,34021,NJ,Mercer NJ,0.0004
34,1102,34023,NJ,Middlesex NJ,0.0084
34,1102,34025,NJ,Monmouth NJ,0.9877
34,1102,34029,NJ,Ocean NJ,0.0011
34,1103,34025,NJ,Monmouth NJ,1.0
34,1104,34025,NJ,Monmouth NJ,1.0
34,1105,34023,NJ,Middlesex NJ,0.0139
34,1105,34025,NJ,Monmouth NJ,0.9861
34,1106,34023,NJ,Middlesex NJ,0.0009
34,1106,34025,NJ,Monmouth NJ,0.9967
34,1106,34029,NJ,Ocean NJ,0.0024
34,1201,34029,NJ,Ocean NJ,1.0
34,1202,34029,NJ,Ocean NJ,1.0
34,1203,34029,NJ,Ocean NJ,1.0
34,1204,34005,NJ,Burlington NJ,0.0014
34,1204,34025,NJ,Monmouth NJ,0.0011
34,1204,34029,NJ,Ocean NJ,0.9975
34,1205,34025,NJ,Monmouth NJ,0.0007
34,1205,34029,NJ,Ocean NJ,0.9993
34,1301,34013,NJ,Essex NJ,1.0
34,1302,34013,NJ,Essex NJ,0.9955
34,1302,34039,NJ,Union NJ,0.0045
34,1401,34013,NJ,Essex NJ,0.9971
34,1401,34031,NJ,Passaic NJ,0.0029
34,1402,34013,NJ,Essex NJ,0.9951
34,1402,34039,NJ,Union NJ,0.0049
34,1403,34013,NJ,Essex NJ,0.986
34,1403,34027,NJ,Morris NJ,0.0008
34,1403,34031,NJ,Passaic NJ,0.0132
34,1404,34013,NJ,Essex NJ,0.9967
34,1404,34027,NJ,Morris NJ,0.0018
34,1404,34039,NJ,Union NJ,0.0015
34,1501,34027,NJ,Morris NJ,0.9875
34,1501,34031,NJ,Passaic NJ,0.0005
34,1501,34037,NJ,Sussex NJ,0.012
34,1502,34019,NJ,Hunterdon NJ,0.0007
34,1502,34027,NJ,Morris NJ,0.996
34,1502,34037,NJ,Sussex NJ,0.0033
34,1503,34013,NJ,Essex NJ,0.0011
34,1503,34027,NJ,Morris NJ,0.9989
34,1504,34013,NJ,Essex NJ,0.0001
34,1504,34027,NJ,Morris NJ,0.9962
34,1504,34039,NJ,Union NJ,0.0037
34,1600,34027,NJ,Morris NJ,0.0031
34,1600,34031,NJ,Passaic NJ,0.0064
34,1600,34037,NJ,Sussex NJ,0.9905
34,1700,34037,NJ,Sussex NJ,0.0042
34,1700,34041,NJ,Warren NJ,0.9958
34,1800,34013,NJ,Essex NJ,0.0
34,1800,34039,NJ,Union NJ,1.0
34,1901,34013,NJ,Essex NJ,0.0035
34,1901,34039,NJ,Union NJ,0.9965
34,1902,34013,NJ,Essex NJ,0.0066
34,1902,34035,NJ,Somerset NJ,0.0079
34,1902,34039,NJ,Union NJ,0.9855
34,1903,34023,NJ,Middlesex NJ,0.0094
34,1903,34035,NJ,Somerset NJ,0.0024
34,1903,34039,NJ,Union NJ,0.9882
34,1904,34023,NJ,Middlesex NJ,0.0023
34,1904,34039,NJ,Union NJ,0.9977
34,2001,34005,NJ,Burlington NJ,0.9992
34,2001,34007,NJ,Camden NJ,0.0
34,2001,34021,NJ,Mercer NJ,0.0008
34,2002,34005,NJ,Burlington NJ,0.9987
34,2002,34007,NJ,Camden NJ,0.0013
34,2003,34005,NJ,Burlington NJ,0.9971
34,2003,34021,NJ,Mercer NJ,0.0029
34,2101,34007,NJ,Camden NJ,1.0
34,2102,34007,NJ,Camden NJ,1.0
34,2103,34005,NJ,Burlington NJ,0.0004
34,2103,34007,NJ,Camden NJ,0.9991
34,2103,34015,NJ,Gloucester NJ,0.0006
34,2104,34005,NJ,Burlington NJ,0.0009
34,2104,34007,NJ,Camden NJ,0.9991
34,2201,34007,NJ,Camden NJ,0.0044
34,2201,34015,NJ,Gloucester NJ,0.9956
34,2202,34015,NJ,Gloucester NJ,0.9996
34,2202,34033,NJ,Salem NJ,0.0004
34,2301,34021,NJ,Mercer NJ,1.0
34,2302,34021,NJ,Mercer NJ,0.9966
34,2302,34023,NJ,Middlesex NJ,0.0034
34,2303,34021,NJ,Mercer NJ,1.0
34,2400,34001,NJ,Atlantic NJ,0.0007
34,2400,34011,NJ,Cumberland NJ,0.998
34,2400,34033,NJ,Salem NJ,0.0013
34,2500,34011,NJ,Cumberland NJ,0.3863
34,2500,34015,NJ,Gloucester NJ,0.0011
34,2500,34033,NJ,Salem NJ,0.6126
34,2600,34001,NJ,Atlantic NJ,0.1011
34,2600,34009,NJ,Cape May NJ,0.8989
