Name,Subsidized units available,% Minority,%White Non-Hispanic
Sussex County,575,14,86
Hunterdon County,645,24,76
Ocean County,4552,25,75
Warren County,1093,26,74
Cape May County,378,36,64
Morris County,2110,49,51
Monmouth County,5573,62,38
Gloucester County,2783,65,35
Bergen County,8519,66,34
Somerset County,1446,73,27
Burlington County,963,79,21
Salem County,693,80,20
Middlesex County,7307,80,20
Atlantic County,3000,81,19
Mercer County,2445,84,16
Hudson County,11303,84,16
Passaic County,7678,85,15
Cumberland County,2246,87,13
Union County,4484,88,12
Camden County,4468,92,8
Essex County,14059,95,5
