sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Atlantic County,34001,-1,-1,6002,-1,6,13,2.0,11818,292,658,13.1,6.7,13,35,22,13,17,26,9,62,25,94,70,8,29,77,35,31,29,18,6,42,16,37,5,75,58,1,1,14,15,110,67,41,50,33,18,9,67,23,22,-1,-1,-1,-1,-1,NJ,-1,-1,atlantic nj,25,75,25,0,0
9,1,All HUD,-1,Bergen County,34003,-1,-1,10090,-1,6,9,1.7,17608,374,712,15.3,8.8,5,30,26,17,22,22,3,75,22,97,78,8,15,75,22,39,15,17,1,29,15,55,11,45,19,1,6,20,40,98,75,31,64,23,13,7,39,8,30,-1,-1,-1,-1,-1,NJ,-1,-1,bergen nj,55,45,55,0,0
9,1,All HUD,-1,Burlington County,34005,-1,-1,1593,-1,6,13,2.1,3300,375,516,15.6,7.6,6,29,24,17,25,27,4,68,27,93,66,12,26,83,35,37,23,19,2,44,14,39,6,57,51,0,1,5,49,80,79,31,53,26,21,7,29,6,43,-1,-1,-1,-1,-1,NJ,-1,-1,burlington nj,43,57,43,0,0
9,1,All HUD,-1,Camden County,34007,-1,-1,9215,-1,6,14,2.1,18916,297,650,13.1,6.4,11,35,21,15,17,24,10,64,22,96,76,8,31,82,38,27,20,15,7,43,13,37,6,69,48,0,1,20,46,77,81,38,52,27,21,6,56,23,27,-1,-1,-1,-1,-1,NJ,-1,-1,camden nj,31,69,31,0,0
9,1,All HUD,-1,Cape May County,34009,-1,-1,1272,-1,6,15,2.0,2487,362,472,14.4,7.4,6,30,27,16,21,20,4,75,28,91,63,11,21,77,30,41,24,21,4,36,16,43,6,35,19,0,1,15,33,78,57,26,52,28,20,10,19,13,40,-1,-1,-1,-1,-1,NJ,-1,-1,cape may nj,65,35,65,0,0
9,1,All HUD,-1,Cumberland County,34011,-1,-1,4397,-1,5,14,2.3,9918,300,540,13.0,5.8,12,36,21,14,17,24,9,65,28,91,64,12,31,80,41,32,25,17,9,43,14,33,3,76,40,0,0,35,24,78,67,56,45,26,28,8,44,17,41,-1,-1,-1,-1,-1,NJ,-1,-1,cumberland nj,24,76,24,0,0
9,1,All HUD,-1,Essex County,34013,-1,-1,29021,-1,7,11,2.0,57833,308,807,13.2,6.7,13,36,20,13,18,24,9,65,19,97,82,10,26,78,35,28,24,16,4,41,15,39,5,88,73,0,0,15,34,103,63,30,53,25,22,8,87,29,10,-1,-1,-1,-1,-1,NJ,-1,-1,essex nj,12,88,12,0,0
9,1,All HUD,-1,Gloucester County,34015,-1,-1,3579,-1,6,14,2.1,7454,336,585,14.1,6.8,8,32,23,17,20,28,8,63,24,96,72,10,34,82,41,33,34,19,6,49,14,30,4,53,46,0,0,6,25,71,95,46,47,33,20,5,22,10,52,-1,-1,-1,-1,-1,NJ,-1,-1,gloucester nj,47,53,47,0,0
9,1,All HUD,-1,Hudson County,34017,-1,-1,22530,-1,6,10,2.0,44843,338,764,14.9,7.5,7,36,20,14,22,30,6,64,28,90,67,12,21,77,30,26,24,16,3,36,17,44,6,76,26,0,2,48,43,118,57,28,49,31,20,10,66,19,5,-1,-1,-1,-1,-1,NJ,-1,-1,hudson nj,24,76,24,0,0
9,1,All HUD,-1,Hunterdon County,34019,-1,-1,650,-1,3,18,1.6,1012,391,756,15.7,10.1,4,25,31,18,22,20,3,76,21,99,82,6,15,78,19,58,29,33,2,39,17,42,9,12,7,0,0,5,16,79,90,52,66,24,10,11,9,4,46,-1,-1,-1,-1,-1,NJ,-1,-1,hunterdon nj,88,12,88,0,0
