gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,NJ New Jersey,NJ Atlantic County 34001,9,Summary of All HUD Programs,1,A,Atlantic County,34001,7173.0,92,6218,96,6.12095509577896,8,1.97901639546322,12522.5060458294,308.382332021179,725.824796146303,13242.969056136,6676.04148811365,12,32,23,14,19,22,9,68,24,94,71,2,35,76,35,32,34,19,4,43,17,35,4,79,63,1,2,16,19.2017526643211,91.6097695020459,68,111.430180936449,48,33,19,10,26,74,24,A,A,A,-1,-1,NJ,-1,A,atlantic nj,21,79,21,0,0
County,NJ New Jersey,NJ Bergen County 34003,9,Summary of All HUD Programs,1,A,Bergen County,34003,11291.0,96,10366,97,6.65835684294196,5,1.75414329715635,18706.6329156541,376.878528403872,798.905762658393,15882.4874810825,9045.48602836362,4,29,24,18,24,19,3,77,22,97,79,2,20,74,20,39,19,19,0,27,17,56,11,50,20,1,10,23,34.3565939486484,105.111493454785,77,75.8614456706084,63,23,13,7,8,41,31,A,A,A,-1,-1,NJ,-1,A,bergen nj,50,50,50,0,0
County,NJ New Jersey,NJ Burlington County 34005,9,Summary of All HUD Programs,1,A,Burlington County,34005,1881.0,95,1613,98,6.34913745852498,6,2.1251545056367,3494.89944305716,370.870161545472,620.934446355142,15458.0888188505,7253.39142759411,7,27,24,17,24,21,5,73,24,95,73,2,36,82,36,36,27,19,2,46,16,37,7,61,55,0,1,6,22.9270812732862,90.0576204937187,82,133.182148009948,51,24,25,8,7,34,51,A,A,A,-1,-1,NJ,-1,A,burlington nj,39,61,39,0,0
County,NJ New Jersey,NJ Camden County 34007,9,Summary of All HUD Programs,1,A,Camden County,34007,10820.0,94,9768,98,6.39814742593911,8,2.09447810097049,20053.1323594252,289.085960048768,724.830938524422,12965.3489131866,6175.49359397103,12,33,22,16,17,19,11,68,21,98,80,2,40,83,40,26,21,15,5,45,14,36,6,73,59,1,2,25,19.6302899408081,85.1721880144224,85,94.5762563629042,52,27,22,7,25,62,28,A,A,A,-1,-1,NJ,-1,A,camden nj,27,73,27,0,0
County,NJ New Jersey,NJ Cape May County 34009,9,Summary of All HUD Programs,1,A,Cape May County,34009,1384.0,95,1209,99,6.3369215951697,9,1.82967040607302,2314.78057966877,337.618174618,536.743050085527,14647.6855767554,8004.67309876198,6,28,27,17,22,14,3,82,28,92,63,3,25,76,26,47,28,25,3,34,18,45,7,34,17,4,2,16,18.6673320829489,83.3761366552114,58,103.708433832431,57,26,17,9,14,21,47,A,A,A,-1,-1,NJ,-1,A,cape may nj,66,34,66,0,0
County,NJ New Jersey,NJ Cumberland County 34011,9,Summary of All HUD Programs,1,A,Cumberland County,34011,4858.0,92,4348,99,5.88944265278549,8,2.23592388978535,9840.24562456452,312.81709884609,618.053223332231,13229.7309552987,5908.93007969475,11,34,23,14,18,20,9,71,27,91,66,3,39,78,39,33,34,20,6,46,16,32,3,78,42,0,0,37,28.1127804104447,88.3864617734483,67,122.62036832512,44,26,30,10,20,52,48,A,A,A,-1,-1,NJ,-1,A,cumberland nj,22,78,22,0,0
County,NJ New Jersey,NJ Essex County 34013,9,Summary of All HUD Programs,1,A,Essex County,34013,36533.0,84,29611,94,6.50208544989098,10,1.96230926648181,59581.9800536053,320.401710008002,904.059781087533,14142.2659973246,7191.80725415358,11,33,21,14,21,22,9,68,20,97,81,1,34,78,33,28,29,18,3,42,17,39,5,89,74,3,1,15,52.6598501558834,103.953868446292,67,93.7539981889818,52,24,24,10,30,89,11,A,A,A,-1,-1,NJ,-1,A,essex nj,11,89,11,0,0
County,NJ New Jersey,NJ Gloucester County 34015,9,Summary of All HUD Programs,1,A,Gloucester County,34015,4247.0,95,3576,97,6.21379994447176,11,2.05232167177005,7540.63519868714,341.684745191101,655.244097510198,14259.2998407426,6935.3949106002,7,31,24,18,20,21,9,70,23,97,76,4,38,81,39,38,46,22,4,51,17,28,4,54,47,1,0,8,22.973522559045,76.1883455448858,95,113.467803068676,49,31,20,5,11,25,59,A,A,A,-1,-1,NJ,-1,A,gloucester nj,46,54,46,0,0
County,NJ New Jersey,NJ Hudson County 34017,9,Summary of All HUD Programs,1,A,Hudson County,34017,25628.0,92,22836,96,6.25641064094124,5,1.95405810999997,45206.1327191574,359.990654087786,832.943391790714,15746.5004807339,8047.68746749087,6,33,21,15,24,27,5,67,27,90,68,3,27,77,28,29,28,18,2,35,18,45,6,78,29,0,2,50,43.8965853162291,125.261511170033,59,82.8408843087366,50,30,20,10,19,69,6,A,A,A,-1,-1,NJ,-1,A,hudson nj,22,78,22,0,0
County,NJ New Jersey,NJ Hunterdon County 34019,9,Summary of All HUD Programs,1,A,Hunterdon County,34019,630.0,95,610,100,5.38469704918501,8,1.57322536199672,938.224902913695,378.352162588077,890.265754647808,15377.0816372643,9765.87806812816,4,25,31,18,22,14,2,84,20,99,86,3,16,78,18,59,35,35,1,37,22,41,9,14,9,0,0,5,33.8448507037575,91.7251485887432,87,154.78909297816,65,24,11,12,5,10,49,A,A,A,-1,-1,NJ,-1,A,hunterdon nj,86,14,86,0,0
