Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2021-12-31 00:00:00,County,NJ New Jersey,NJ Atlantic County 34001,9,Summary of All HUD Programs,1,,Atlantic County,34001,7549,89,6848,100,7,8,1.9,12707,370,925,15558,8384,6,20,32,15,27,20,2,73,24,94,73,1,30,73,29,32,39,22,2,38,19,41,4,80,55,1,3,19,3,11,8,21,1,30,116,69,119,51,31,18,13,31,75,30,,,,,,NJ,,,atlantic nj,81,19,0,0
2021-12-31 00:00:00,County,NJ New Jersey,NJ Atlantic County 34001,9,Public Housing,2,,Atlantic County,34001,1474,94,1313,95,8,8,1.6,2050,312,951,13651,8744,6,28,35,14,17,13,1,78,22,95,81,1,16,61,16,59,72,44,1,30,30,40,2,87,73,1,2,13,3,7,2,12,1,31,124,34,136,68,20,12,6,36,86,10,,,,,,NJ,,,atlantic nj,87,13,0,0
2021-12-31 00:00:00,County,NJ New Jersey,NJ Atlantic County 34001,9,Housing Choice Vouchers,3,,Atlantic County,34001,2965,79,2562,100,6,8,2.2,5690,432,912,17494,7877,7,17,27,15,34,26,2,67,26,92,67,2,39,79,38,28,51,20,2,48,20,30,3,80,62,0,1,20,2,13,1,17,1,30,107,82,147,39,31,30,14,24,69,37,,,,,,NJ,,,atlantic nj,80,20,0,0
2021-12-31 00:00:00,County,NJ New Jersey,NJ Atlantic County 34001,9,Project Based Section 8,5,,Atlantic County,34001,2818,96,2699,100,7,8,1.7,4680,343,968,14785,8527,7,19,33,15,25,19,2,73,23,95,75,1,31,73,29,20,19,13,4,37,13,47,5,79,43,1,5,19,3,11,16,30,1,-1,125,74,89,49,39,12,16,37,75,30,,,,,,NJ,,,atlantic nj,81,19,0,0
2021-12-31 00:00:00,County,NJ New Jersey,NJ Atlantic County 34001,9,202/PRAC,8,,Atlantic County,34001,192,96,182,98,7,9,1.1,195,343,562,15170,14158,1,10,46,25,19,-1,-1,100,26,99,69,-1,-1,74,-1,-1,20,19,-1,-1,-1,100,15,54,25,1,3,40,-1,10,15,25,0,-1,84,81,59,100,-1,-1,-1,14,73,70,,,,,,NJ,,,atlantic nj,54,40,6,0
2021-12-31 00:00:00,County,NJ New Jersey,NJ Atlantic County 34001,9,811/PRAC,9,,Atlantic County,34001,100,95,92,97,7,12,1.0,92,296,314,12297,12297,3,7,62,24,3,2,3,89,21,100,92,-1,-1,57,-1,100,100,100,-1,27,38,35,-1,25,24,-1,-1,72,-1,-1,1,1,0,-1,72,-1,-1,100,-1,-1,-1,8,37,71,,,,,,NJ,,,atlantic nj,28,72,0,0
2021-12-31 00:00:00,County,NJ New Jersey,NJ Bergen County 34003,9,Summary of All HUD Programs,1,,Bergen County,34003,11653,95,11062,100,6,6,1.7,18540,449,1000,18570,11080,3,18,31,15,32,19,1,78,22,95,79,2,16,73,16,36,29,22,0,22,18,60,11,64,20,0,16,36,2,24,2,28,1,51,127,77,76,65,22,13,9,11,51,36,,,,,,NJ,,,bergen nj,64,36,0,0
2021-12-31 00:00:00,County,NJ New Jersey,NJ Bergen County 34003,9,Public Housing,2,,Bergen County,34003,675,95,643,100,7,8,1.5,951,514,427,25031,16924,1,10,28,16,44,24,0,76,30,85,66,1,10,73,10,32,23,20,0,15,16,68,11,28,5,0,1,72,1,21,0,22,0,140,129,21,57,66,23,11,13,14,43,21,,,,,,NJ,,,bergen nj,28,72,0,0
2021-12-31 00:00:00,County,NJ New Jersey,NJ Bergen County 34003,9,Housing Choice Vouchers,3,,Bergen County,34003,8431,94,7903,100,6,6,1.8,14100,462,993,18562,10404,4,18,30,14,34,23,1,74,22,95,78,2,21,75,21,36,39,25,0,28,21,51,7,65,24,0,8,35,3,28,2,33,2,45,125,79,84,59,26,16,10,11,53,34,,,,,,NJ,,,bergen nj,65,35,0,0
2021-12-31 00:00:00,County,NJ New Jersey,NJ Bergen County 34003,9,Mod Rehab,4,,Bergen County,34003,0,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,NJ,,,bergen nj,-4,-4,0,0
2021-12-31 00:00:00,County,NJ New Jersey,NJ Bergen County 34003,9,Project Based Section 8,5,,Bergen County,34003,2274,96,2228,100,6,7,1.4,3131,396,1260,17218,12253,3,20,35,17,25,7,0,92,21,95,84,1,4,68,5,36,9,10,0,6,7,87,23,70,10,1,42,28,0,12,4,17,1,-1,137,85,51,86,9,5,5,10,48,42,,,,,,NJ,,,bergen nj,72,28,0,0
2021-12-31 00:00:00,County,NJ New Jersey,NJ Bergen County 34003,9,202/PRAC,8,,Bergen County,34003,188,99,189,100,8,5,1.4,259,340,508,15093,11014,2,21,38,20,19,2,-1,98,19,100,87,-1,-1,59,-1,-1,2,1,-1,-1,-1,100,12,85,5,-1,74,14,-1,6,1,7,0,-1,75,100,47,100,-1,-1,-1,3,42,62,,,,,,NJ,,,bergen nj,86,14,0,0
2021-12-31 00:00:00,County,NJ New Jersey,NJ Bergen County 34003,9,811/PRAC,9,,Bergen County,34003,86,109,92,99,8,2,1.0,92,352,456,14641,14641,1,12,49,30,8,3,1,96,20,99,95,-1,-1,40,-1,100,100,100,1,34,35,30,-1,18,5,1,4,79,-1,2,5,8,0,-1,156,-1,-1,71,29,-1,29,4,29,69,,,,,,NJ,,,bergen nj,21,79,0,0
