State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
NJ,Atlantic County,22800,26100,29350,32600,35200,37800,40400,43050,13700,15650,17600,19550,21100,22700,24250,25800,36500,41700,46950,52150,56300,60500,64650,68850
NJ,Bergen County,30650,35000,39400,43750,47250,50750,54250,57750,18400,21000,23650,26250,28350,30450,32550,34650,43050,49200,55350,61500,66400,71350,76250,81200
NJ,Burlington County,26000,29700,33450,37150,40100,43100,46050,49050,15600,17850,20050,22300,24100,25850,27650,29450,41600,47550,53500,59450,64200,68950,73700,78450
NJ,Camden County,26000,29700,33450,37150,40100,43100,46050,49050,15600,17850,20050,22300,24100,25850,27650,29450,41600,47550,53500,59450,64200,68950,73700,78450
NJ,Cape May County,22950,26200,29500,32750,35350,38000,40600,43250,13750,15700,17700,19650,21200,22800,24350,25950,36700,41900,47150,52400,56600,60800,65000,69150
NJ,Cumberland County,20550,23500,26400,29350,31700,34050,36400,38750,12300,14100,15850,17600,19000,20400,21800,23250,32850,37550,42250,46950,50700,54450,58200,61950
NJ,Essex County,29550,33750,38000,42200,45600,48950,52350,55700,17700,20250,22750,25300,27300,29350,31350,33400,43050,49200,55350,61500,66400,71350,76250,81200
NJ,Gloucester County,26000,29700,33450,37150,40100,43100,46050,49050,15600,17850,20050,22300,24100,25850,27650,29450,41600,47550,53500,59450,64200,68950,73700,78450
NJ,Hudson County,24350,27800,31300,34750,37550,40300,43100,45850,14600,16700,18750,20850,22500,24200,25850,27500,38900,44500,50050,55600,60050,64500,68950,73400
NJ,Hunterdon County,33850,38700,43500,48350,52200,56100,59950,63800,20300,23200,26100,29000,31300,33650,35950,38300,43750,50000,56250,62500,67500,72500,77500,82500
NJ,Mercer County,29900,34150,38450,42700,46100,49550,52950,56350,17900,20500,23050,25600,27650,29700,31750,33800,43050,49200,55350,61500,66400,71350,76250,81200
NJ,Middlesex County,33850,38700,43500,48350,52200,56100,59950,63800,20300,23200,26100,29000,31300,33650,35950,38300,43750,50000,56250,62500,67500,72500,77500,82500
NJ,Monmouth County,29750,34000,38250,42500,45900,49300,52700,56100,17850,20400,22950,25500,27550,29600,31600,33650,43050,49200,55350,61500,66400,71350,76250,81200
NJ,Morris County,29550,33750,38000,42200,45600,48950,52350,55700,17700,20250,22750,25300,27300,29350,31350,33400,43050,49200,55350,61500,66400,71350,76250,81200
NJ,Ocean County,29750,34000,38250,42500,45900,49300,52700,56100,17850,20400,22950,25500,27550,29600,31600,33650,43050,49200,55350,61500,66400,71350,76250,81200
NJ,Passaic County,30650,35000,39400,43750,47250,50750,54250,57750,18400,21000,23650,26250,28350,30450,32550,34650,43050,49200,55350,61500,66400,71350,76250,81200
NJ,Salem County,26000,29700,33450,37150,40100,43100,46050,49050,15600,17850,20050,22300,24100,25850,27650,29450,41600,47550,53500,59450,64200,68950,73700,78450
NJ,Somerset County,33850,38700,43500,48350,52200,56100,59950,63800,20300,23200,26100,29000,31300,33650,35950,38300,43750,50000,56250,62500,67500,72500,77500,82500
NJ,Sussex County,29550,33750,38000,42200,45600,48950,52350,55700,17700,20250,22750,25300,27300,29350,31350,33400,43050,49200,55350,61500,66400,71350,76250,81200
NJ,Union County,29550,33750,38000,42200,45600,48950,52350,55700,17700,20250,22750,25300,27300,29350,31350,33400,43050,49200,55350,61500,66400,71350,76250,81200
NJ,Warren County,29150,33300,37500,41650,45000,48300,51650,55000,17500,20000,22500,25000,27000,29000,31000,33000,43050,49200,55350,61500,66400,71350,76250,81200
