fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,state_code,County_Name,pop2017,state,metro
666,821,996,1415,1705,35,Bernalillo County,674855,NM,1
550,579,726,1031,1240,35,Catron County,3545,NM,0
613,618,814,1051,1169,35,Chaves County,65455,NM,0
593,597,726,897,985,35,Cibola County,27050,NM,0
550,560,726,897,1012,35,Colfax County,12520,NM,0
550,633,834,1120,1378,35,Curry County,50285,NM,0
588,598,752,1023,1271,35,De Baca County,2015,NM,0
635,649,787,1118,1315,35,Dona Ana County,213850,NM,1
758,763,924,1322,1599,35,Eddy County,56795,NM,0
567,616,726,990,1192,35,Grant County,28380,NM,0
550,618,726,1031,1240,35,Guadalupe County,4425,NM,0
550,579,726,1031,1240,35,Harding County,545,NM,0
550,579,726,897,1243,35,Hidalgo County,4445,NM,0
675,707,930,1205,1357,35,Lea County,69505,NM,0
610,627,779,994,1311,35,Lincoln County,19495,NM,0
774,850,1068,1449,1842,35,Los Alamos County,18030,NM,0
482,552,726,974,1243,35,Luna County,24320,NM,0
608,612,726,967,985,35,McKinley County,72850,NM,0
588,598,752,1023,1271,35,Mora County,4605,NM,0
545,637,726,1031,1243,35,Otero County,65130,NM,0
550,620,726,955,1240,35,Quay County,8445,NM,0
626,637,726,897,985,35,Rio Arriba County,39455,NM,0
597,598,787,1048,1251,35,Roosevelt County,19315,NM,0
666,821,996,1415,1705,35,Sandoval County,138815,NM,1
724,734,850,1133,1317,35,San Juan County,128220,NM,1
626,637,726,967,985,35,San Miguel County,28205,NM,0
842,975,1113,1419,1729,35,Santa Fe County,147515,NM,1
482,552,726,981,985,35,Sierra County,11255,NM,0
550,552,726,1031,1243,35,Socorro County,17100,NM,0
700,704,836,1033,1434,35,Taos County,32810,NM,0
666,821,996,1415,1705,35,Torrance County,15535,NM,1
550,552,726,953,1122,35,Union County,4215,NM,0
666,821,996,1415,1705,35,Valencia County,75845,NM,1
