sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Bernalillo County,35001,-1,-1,8325,-1,5,19,2.3,18926,244,446,10.6,4.7,15,44,23,11,8,30,11,57,23,97,75,13,34,78,44,38,40,20,7,50,16,26,2,73,6,4,2,61,19,56,63,10,39,30,31,11,59,18,44,-1,-1,-1,-1,-1,NM,-1,-1,27,73,27,0,0
9,1,All HUD,-1,Catron County,35003,-1,-1,14,-1,4,21,2.9,40,219,281,9.1,3.2,14,43,36,7,0,36,14,50,26,86,50,14,36,79,43,27,67,15,7,36,36,21,0,50,0,43,0,7,5,60,93,-2,21,36,43,21,0,0,0,-1,-1,-1,-1,-1,NM,-1,-1,50,50,50,0,0
9,1,All HUD,-1,Chaves County,35005,-1,-1,910,-1,6,33,2.3,2090,221,347,9.1,4.0,19,49,23,7,2,27,11,58,23,81,56,14,38,81,49,34,28,16,14,47,15,24,3,65,4,1,0,60,10,35,86,24,34,33,33,14,47,21,56,-1,-1,-1,-1,-1,NM,-1,-1,35,65,35,0,0
9,1,All HUD,-1,Cibola County,35006,-1,-1,261,-1,5,23,2.3,611,211,388,9.3,4.0,28,40,21,9,3,36,13,41,24,82,57,15,41,77,49,17,17,8,23,49,11,16,2,71,2,33,0,35,21,35,70,18,39,36,24,5,65,23,43,-1,-1,-1,-1,-1,NM,-1,-1,29,71,29,0,0
9,1,All HUD,-1,Colfax County,35007,-1,-1,222,-1,4,28,2.2,489,216,327,13.0,5.9,11,35,25,15,14,40,4,53,33,72,44,16,30,73,40,24,32,14,13,39,18,31,1,63,0,0,0,63,3,58,74,-2,39,27,34,11,46,13,49,-1,-1,-1,-1,-1,NM,-1,-1,37,63,37,0,0
9,1,All HUD,-1,Curry County,35009,-1,-1,991,-1,5,33,2.4,2345,186,325,8.7,3.7,28,44,18,8,3,29,15,48,23,89,64,12,42,81,50,29,32,14,16,53,14,18,2,68,16,1,1,50,4,36,57,14,30,32,38,19,56,28,47,-1,-1,-1,-1,-1,NM,-1,-1,32,68,32,0,0
9,1,All HUD,-1,De Baca County,35011,-1,-1,54,-1,8,33,2.0,110,202,356,10.0,4.8,19,43,28,4,7,30,7,57,21,52,31,11,31,74,33,32,63,23,17,41,13,30,4,61,0,0,0,61,5,30,89,-2,43,28,30,17,28,14,43,-1,-1,-1,-1,-1,NM,-1,-1,39,61,39,0,0
9,1,All HUD,-1,Dona Ana County,35013,-1,-1,2205,-1,6,27,2.5,5591,227,357,9.2,3.7,22,44,23,7,4,31,18,47,27,95,65,17,38,80,51,26,33,13,11,51,12,25,1,82,3,0,0,78,20,51,87,40,29,33,38,12,64,29,38,-1,-1,-1,-1,-1,NM,-1,-1,18,82,18,0,0
9,1,All HUD,-1,Eddy County,35015,-1,-1,550,-1,6,25,2.2,1194,207,329,10.4,4.8,20,41,22,10,7,33,12,53,24,83,58,10,40,78,46,28,49,16,17,47,15,21,3,66,3,0,0,62,6,43,41,5,36,41,23,11,55,22,57,-1,-1,-1,-1,-1,NM,-1,-1,34,66,34,0,0
9,1,All HUD,-1,Grant County,35017,-1,-1,640,-1,5,32,2.3,1441,193,350,9.4,4.2,31,40,17,8,4,30,8,51,23,80,59,14,39,75,48,21,52,12,23,51,13,14,2,71,3,1,0,67,4,40,93,62,24,39,37,21,50,19,42,-1,-1,-1,-1,-1,NM,-1,-1,29,71,29,0,0
