gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,NM New Mexico,NM De Baca County 35011,9,Summary of All HUD Programs,1,A,Baca County,35011,59.0,87,51,98,5.05086042065009,19,1.72486772486772,88.9090909090909,223.169312169312,285.089947089947,11592.4391534391,6720.76993865031,8,49,22,12,10,18,6,77,32,82,63,4,16,63,14,57,66,40,4,24,27,45,0,46,0,0,0,46,8.22333333333333,50.4302763080541,80,86.0679824561403,64,18,18,8,22,41,71,A,A,A,-1,-1,NM,-1,A,baca nm,54,46,54,0,0
County,NM New Mexico,NM De Baca County 35011,9,Housing Choice Vouchers,3,A,Baca County,35011,12.0,53,6,92,4.72777777777778,-4,-4.0,-4.0,-4.0,-4.0,-4.0,7223.2,-4,-4,-4,-4,-4,-4,-4,-4,33,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,100,-4,-4,-4,-4,-1.0,111.194444444444,-4,-4.0,-4,-4,-4,-4,22,41,71,A,A,A,-1,-1,NM,-1,A,baca nm,0,100,0,0,0
County,NM New Mexico,NM De Baca County 35011,9,Public Housing,2,A,Baca County,35011,47.0,96,45,100,5.10243902439024,22,1.73333333333333,78.0,213.933333333333,282.0,11527.5333333333,6650.5,9,49,20,13,9,18,7,76,32,82,62,4,13,58,11,56,60,38,4,22,29,44,0,38,0,0,0,38,8.22333333333333,41.5918518518519,80,75.8055555555556,73,13,13,0,22,41,71,A,A,A,-1,-1,NM,-1,A,baca nm,62,38,62,0,0
County,NM New Mexico,NM De Baca County 35011,9,Mod Rehab,4,A,Baca County,35011,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,NM,-1,A,baca nm,-1,-1,-1,0,0
County,NM New Mexico,NM De Baca County 35011,9,Section 8 NC/SR,5,A,Baca County,35011,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,NM,-1,A,baca nm,-1,-1,-1,0,0
County,NM New Mexico,NM De Baca County 35011,9,Section 236,6,A,Baca County,35011,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,NM,-1,A,baca nm,-1,-1,-1,0,0
County,NM New Mexico,NM De Baca County 35011,9,Multi-Family Other,7,A,Baca County,35011,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,NM,-1,A,baca nm,-1,-1,-1,0,0
County,NM New Mexico,NM De Baca County 35011,9,LIHTC,8,A,Baca County,35011,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,NM,-1,A,baca nm,-1,-1,-1,0,0
County,NM New Mexico,NM Bernalillo County 35001,9,Summary of All HUD Programs,1,A,Bernalillo County,35001,9340.0,92,8441,99,6.05740222317882,9,2.15313168853165,18613.7171731396,269.776131429265,542.04376886114,11311.6490335865,5253.57974797195,13,41,25,12,10,18,11,69,22,98,79,4,36,74,36,47,52,27,3,47,21,30,2,73,7,5,3,60,26.8953371250375,75.9884532230369,62,79.2271426231394,42,28,30,13,22,65,53,A,A,A,-1,-1,NM,-1,A,bernalillo nm,27,73,27,0,0
County,NM New Mexico,NM Bernalillo County 35001,9,Housing Choice Vouchers,3,A,Bernalillo County,35001,6233.0,90,5575,100,5.92779625408414,8,2.28041320234585,12733.8747943222,282.515564294683,606.458721554934,11781.9484510579,5166.58491493463,11,40,24,12,12,19,12,67,23,98,78,5,39,76,39,50,77,30,2,53,24,22,1,76,7,5,3,62,29.5169625515603,83.3120027208108,76,82.2110551667227,33,32,35,18,21,66,56,A,A,A,-1,-1,NM,-1,A,bernalillo nm,24,76,24,0,0
