gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,NM New Mexico,NM Otero County 35035,9,Project Based Section 8,5,,Otero County,35035,22,98,22,100,6,23,1.0,23,224,446,9535,9121,9,59,27,5,-1,-1,-1,100,29,95,68,-1,-1,41,-1,100,20,43,-1,14,18,68,5,23,5,5,-1,36,-1,14,-1,14,0,-1,58,100,64,100,-1,-1,-1,15,45,52,,,,,,NM,,,otero nm,23,36,41,0
County,NM New Mexico,NM Dona Ana County 35013,9,811/PRAC,9,,Dona Ana County,35013,14,92,13,100,6,23,1.2,16,255,433,10674,8672,-1,62,31,-1,8,8,-1,92,31,92,62,-1,8,46,8,91,100,75,-1,31,54,15,-1,46,-1,-1,-1,23,-1,23,23,46,0,-1,47,-1,-1,77,23,-1,8,25,75,63,,,,,,NM,,,dona ana nm,46,23,31,0
County,NM New Mexico,NM Santa Fe County 35049,9,811/PRAC,9,,Santa Fe County,35049,31,88,28,100,5,21,1.0,29,261,312,11027,10646,-1,61,21,14,4,-1,-1,100,24,100,82,-1,-1,46,-1,96,100,93,4,46,32,18,-1,43,4,7,-1,32,-1,21,11,32,0,-1,53,57,34,86,14,-1,11,16,64,65,,,,,,NM,,,santa fe nm,43,32,25,0
County,NM New Mexico,NM San Miguel County 35047,9,811/PRAC,9,,San Miguel County,35047,14,97,16,100,4,13,1.0,16,232,334,9829,9829,-1,69,25,6,-1,-1,-1,100,30,94,63,-1,-1,63,-1,100,100,100,-1,38,44,19,6,75,-1,-1,-1,13,-1,44,31,75,0,-1,33,-1,-1,100,-1,-1,-1,33,85,57,,,,,,NM,,,san miguel nm,75,13,12,0
County,NM New Mexico,NM Bernalillo County 35001,9,811/PRAC,9,,Bernalillo County,35001,135,97,136,100,7,24,1.1,156,227,313,9911,8641,3,59,27,8,2,5,-1,90,23,99,82,-1,5,38,4,97,90,86,1,34,43,21,1,44,4,1,-1,47,1,32,5,38,1,-1,50,19,44,86,14,-1,5,26,76,59,,,,,,NM,,,bernalillo nm,44,47,9,0
County,NM New Mexico,NM Chaves County 35005,9,811/PRAC,9,,Chaves County,35005,14,100,14,100,7,14,1.3,18,225,167,9450,7350,7,64,29,-1,-1,-1,7,93,28,100,79,-1,7,57,7,100,100,78,7,57,21,14,-1,14,-1,-1,-1,79,-1,14,-1,14,0,-1,47,-1,-1,71,29,-1,14,23,51,65,,,,,,NM,,,chaves nm,14,79,7,0
County,NM New Mexico,NM Cibola County 35006,9,202/PRAC,8,,Cibola County,35006,23,89,20,97,7,20,1.1,21,258,398,11391,10848,-1,40,50,10,-1,-1,-1,100,34,95,40,-1,-1,65,-1,-1,5,5,-1,-1,-1,100,5,50,-1,10,-1,45,-1,15,25,40,0,-1,52,5,82,100,-1,-1,-1,28,74,52,,,,,,NM,,,cibola nm,50,45,5,0
County,NM New Mexico,NM De Baca County 35011,9,Summary of All HUD Programs,1,,Baca County,35011,52,95,49,100,5,35,1.9,94,219,271,10854,5658,10,43,27,16,4,20,-1,80,29,92,61,6,18,55,18,45,55,28,10,20,29,41,-1,29,-1,-1,-1,71,-1,29,-1,29,0,1,49,82,80,69,16,14,4,22,41,69,,,,,,NM,,,baca nm,29,71,0,0
County,NM New Mexico,NM De Baca County 35011,9,Public Housing,2,,Baca County,35011,47,100,47,100,5,36,2.0,92,219,260,10942,5590,11,40,28,17,4,21,-1,79,30,91,60,6,19,53,19,43,53,26,11,21,28,40,-1,26,-1,-1,-1,74,-1,26,-1,26,0,1,48,81,76,72,15,13,-1,22,41,69,,,,,,NM,,,baca nm,26,74,0,0
County,NM New Mexico,NM Bernalillo County 35001,9,Summary of All HUD Programs,1,,Bernalillo County,35001,9361,91,8612,100,6,12,2.1,18450,278,531,11516,5375,10,41,25,13,10,21,4,73,24,97,74,4,35,73,35,49,52,28,3,44,22,30,2,73,6,4,3,26,0,57,3,59,0,31,83,63,72,42,29,30,14,25,65,52,,,,,,NM,,,bernalillo nm,74,26,0,0
