Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,Unnamed: 50,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2019-12-31 00:00:00,County,NM New Mexico,NM Catron County 35003,9,Summary of All HUD Programs,1,,Catron County,35003,7,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-8.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,NM,,,catron nm,-4,-4,0,0
2019-12-31 00:00:00,County,NM New Mexico,NM Harding County 35021,9,Summary of All HUD Programs,1,,Harding County,35021,2,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-8.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,NM,,,harding nm,-4,-4,0,0
2019-12-31 00:00:00,County,NM New Mexico,NM Cibola County 35006,9,Summary of All HUD Programs,1,,Cibola County,35006,229,85,194,100,6,28,2.2,418,218,493,9268,4301,21,41,21,13,5,29,5,59,22,98,73,7,34,73,33,20,28,11,11,48,16,24,3,80,1,45,1,14,94.0,-1,26,7,33,1,7,55,61,80,51,32,17,3,35,73,50,,,,,,NM,,,cibola nm,84,16,0,1
2019-12-31 00:00:00,County,NM New Mexico,NM Lea County 35025,9,Summary of All HUD Programs,1,,Lea County,35025,686,85,592,100,6,26,1.9,1145,248,569,11329,5858,18,39,20,13,10,22,4,71,22,97,80,3,37,78,37,28,44,19,9,39,17,35,3,70,18,-1,0,25,95.0,1,40,10,51,1,6,59,51,85,46,34,20,12,21,68,64,,,,,,NM,,,lea nm,72,28,0,1
2019-12-31 00:00:00,County,NM New Mexico,NM San Juan County 35045,9,Summary of All HUD Programs,1,,San Juan County,35045,802,79,636,100,6,18,2.4,1547,332,464,13667,5619,5,33,26,20,16,30,8,61,25,98,69,10,39,81,44,29,55,16,4,47,18,31,2,68,2,54,0,30,98.0,-1,11,1,12,1,12,87,80,101,30,30,40,15,27,62,63,,,,,,NM,,,san juan nm,70,30,0,0
2019-12-31 00:00:00,County,NM New Mexico,NM Otero County 35035,9,Summary of All HUD Programs,1,,Otero County,35035,483,73,353,100,9,13,2.0,708,260,549,10413,5192,10,43,26,11,10,26,4,59,24,96,75,4,35,74,36,39,71,25,7,41,26,26,2,54,15,3,1,45,99.0,0,32,2,34,0,8,75,97,137,29,36,35,30,21,48,73,,,,,,NM,,,otero nm,55,45,0,0
2019-12-31 00:00:00,County,NM New Mexico,NM Luna County 35029,9,Summary of All HUD Programs,1,,Luna County,35029,536,90,489,100,5,33,2.3,1104,240,454,10471,4638,16,43,22,11,8,23,7,67,24,96,73,16,27,69,31,33,40,16,6,43,17,34,4,60,4,0,1,39,99.0,0,54,1,55,0,9,54,74,80,44,29,27,12,31,65,56,,,,,,NM,,,luna nm,61,39,0,0
2019-12-31 00:00:00,County,NM New Mexico,NM Socorro County 35053,9,Summary of All HUD Programs,1,,Socorro County,35053,258,83,167,78,6,11,1.5,251,263,442,11104,7388,4,53,28,11,3,11,2,86,28,97,71,2,19,66,18,66,54,42,3,31,20,46,5,66,2,2,-1,33,99.0,-1,60,2,62,0,12,86,74,108,70,17,13,10,31,62,51,,,,,,NM,,,socorro nm,67,33,0,0
2019-12-31 00:00:00,County,NM New Mexico,NM Quay County 35037,9,Summary of All HUD Programs,1,,Quay County,35037,305,74,220,97,6,28,1.9,424,209,457,9131,4738,25,43,18,9,6,28,6,62,22,95,80,4,38,75,36,33,72,23,13,44,17,26,1,70,5,2,-1,29,99.0,-1,59,5,63,2,4,64,66,93,32,40,28,27,27,59,73,,,,,,NM,,,quay nm,71,29,0,0
2019-12-31 00:00:00,County,NM New Mexico,NM Bernalillo County 35001,9,Summary of All HUD Programs,1,,Bernalillo County,35001,9537,90,8779,100,6,10,2.0,17471,311,581,12568,6315,9,38,25,14,13,20,3,75,24,96,75,4,30,71,30,53,61,33,2,40,23,36,2,72,7,5,2,27,99.0,1,55,3,58,0,28,96,61,107,45,28,26,16,25,65,50,,,,,,NM,,,bernalillo nm,73,27,0,0
2019-12-31 00:00:00,County,NM New Mexico,NM Valencia County 35061,9,Summary of All HUD Programs,1,,Valencia County,35061,503,76,375,98,5,19,2.3,855,284,569,11705,5134,13,38,24,13,12,25,3,69,22,98,80,4,44,80,42,40,68,24,5,49,21,24,2,72,1,1,0,27,99.0,-1,67,2,70,0,13,70,79,98,24,41,35,25,19,66,68,,,,,,NM,,,valencia nm,73,27,0,0
2019-12-31 00:00:00,County,NM New Mexico,NM Curry County 35009,9,Summary of All HUD Programs,1,,Curry County,35009,1070,81,866,100,6,23,2.2,1864,236,491,10010,4651,21,40,22,9,8,26,12,60,23,96,75,3,43,77,42,24,44,15,11,47,17,26,1,75,20,0,0,24,99.0,2,47,6,55,1,43,55,54,88,29,30,41,27,28,65,73,,,,,,NM,,,curry nm,76,24,0,0
2019-12-31 00:00:00,County,NM New Mexico,NM San Miguel County 35047,9,Summary of All HUD Programs,1,,San Miguel County,35047,557,87,489,100,5,26,2.1,1004,279,456,12379,6029,11,40,19,15,15,33,3,59,29,90,64,7,34,68,33,37,74,26,12,41,22,25,1,85,1,0,1,14,99.0,0,78,5,83,0,21,77,77,85,37,35,28,20,32,85,48,,,,,,NM,,,san miguel nm,86,14,0,0
2019-12-31 00:00:00,County,NM New Mexico,NM McKinley County 35031,9,Summary of All HUD Programs,1,,Mckinley County,35031,556,92,518,100,5,20,2.8,1447,291,651,12628,4521,10,40,19,15,16,32,8,57,27,92,65,16,41,74,49,24,47,12,7,58,16,19,1,94,1,83,0,5,99.0,-1,8,2,10,5,6,68,46,100,31,27,42,6,34,82,59,,,,,,NM,,,mckinley nm,95,5,0,0
2019-12-31 00:00:00,County,NM New Mexico,NM Bernalillo County 35001,9,Public Housing,2,,Bernalillo County,35001,948,94,886,100,6,11,2.6,2287,295,565,12470,4831,12,38,23,12,16,26,6,64,22,95,78,5,47,73,45,39,74,22,2,54,19,25,1,79,9,8,1,21,,1,60,1,62,0,27,78,72,103,39,22,40,7,28,67,49,,,,,,NM,,,bernalillo nm,79,21,0,0
2019-12-31 00:00:00,County,NM New Mexico,NM Bernalillo County 35001,9,Housing Choice Vouchers,3,,Bernalillo County,35001,6480,88,5824,100,5,9,2.0,11901,330,600,13054,6388,8,38,24,14,15,21,2,74,25,96,73,4,31,71,31,57,82,38,1,42,26,30,1,75,7,4,2,25,,1,59,1,61,0,28,106,74,113,39,31,30,21,25,66,52,,,,,,NM,,,bernalillo nm,75,25,0,0
