Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2020-12-31 00:00:00,County,NM New Mexico,NM Bernalillo County 35001,9,Summary of All HUD Programs,1,,Bernalillo County,35001,9577,89,8640,100,6,9,2.0,16900,303,608,12267,6271,9,39,26,13,12,16,3,78,23,97,78,3,28,70,28,53,61,34,2,39,23,37,2,72,7,5,2,27,1,55,3,58,0,26,100,60,99,46,29,25,17,25,65,50,,,,,,NM,,,bernalillo nm,73,27,0,0
2020-12-31 00:00:00,County,NM New Mexico,NM Bernalillo County 35001,9,Public Housing,2,,Bernalillo County,35001,949,87,777,95,8,3,2.5,1957,286,701,12228,4855,12,40,23,11,14,23,6,66,22,96,82,5,43,73,42,40,76,24,1,53,20,26,2,79,8,7,1,21,1,60,1,62,0,25,87,71,103,41,21,38,7,28,66,49,,,,,,NM,,,bernalillo nm,79,21,0,0
2020-12-31 00:00:00,County,NM New Mexico,NM Bernalillo County 35001,9,Housing Choice Vouchers,3,,Bernalillo County,35001,6511,87,5819,100,6,8,2.0,11747,319,613,12661,6272,8,39,25,14,14,18,2,76,23,97,77,4,30,70,30,56,82,38,1,41,26,31,2,74,7,5,2,26,1,59,1,61,0,26,109,73,103,40,32,29,21,25,66,51,,,,,,NM,,,bernalillo nm,74,26,0,0
2020-12-31 00:00:00,County,NM New Mexico,NM Bernalillo County 35001,9,Mod Rehab,4,,Bernalillo County,35001,7,100,16,100,10,13,1.2,19,233,484,8600,7242,13,63,25,-1,-1,-1,6,94,18,100,100,-1,6,50,6,80,83,68,-1,19,44,38,6,100,6,6,-1,-1,-1,81,6,88,6,1,99,38,72,88,13,-1,6,35,56,35,,,,,,NM,,,bernalillo nm,100,0,0,0
2020-12-31 00:00:00,County,NM New Mexico,NM Bernalillo County 35001,9,Project Based Section 8,5,,Bernalillo County,35001,1652,96,1574,100,6,13,1.7,2701,262,592,11096,6466,14,37,29,12,8,13,3,84,21,99,81,3,25,72,25,37,30,20,3,30,16,50,5,63,5,4,4,35,1,40,8,49,2,-1,80,19,58,58,28,14,9,22,58,45,,,,,,NM,,,bernalillo nm,65,35,0,0
2020-12-31 00:00:00,County,NM New Mexico,NM Bernalillo County 35001,9,202/PRAC,8,,Bernalillo County,35001,323,98,321,100,6,11,1.0,332,287,434,12233,11828,2,38,38,17,6,1,1,98,25,99,75,-1,-1,66,-1,-1,4,4,-1,-1,-1,100,9,60,5,2,2,35,-1,37,14,51,1,-1,73,21,39,100,-1,-1,-1,29,76,40,,,,,,NM,,,bernalillo nm,61,39,0,1
2020-12-31 00:00:00,County,NM New Mexico,NM Bernalillo County 35001,9,811/PRAC,9,,Bernalillo County,35001,135,97,133,100,7,23,1.1,144,228,433,9587,8854,7,54,33,5,2,4,4,84,20,99,93,-1,4,50,2,100,93,91,1,32,36,31,1,56,4,2,1,38,-1,45,5,50,0,-1,67,18,74,84,16,-1,9,24,76,61,,,,,,NM,,,bernalillo nm,56,38,6,0
2020-12-31 00:00:00,County,NM New Mexico,NM Catron County 35003,9,Summary of All HUD Programs,1,,Catron County,35003,8,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,NM,,,catron nm,-4,-4,0,0
2020-12-31 00:00:00,County,NM New Mexico,NM Catron County 35003,9,Housing Choice Vouchers,3,,Catron County,35003,8,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,NM,,,catron nm,-4,-4,0,0
2020-12-31 00:00:00,County,NM New Mexico,NM Chaves County 35005,9,Summary of All HUD Programs,1,,Chaves County,35005,1404,63,886,100,6,6,2.1,1860,254,512,10649,5072,12,45,27,9,8,17,4,72,24,97,76,3,35,73,35,42,61,25,5,43,22,31,2,72,5,0,0,28,1,63,3,67,1,12,71,81,118,40,27,34,20,21,57,73,,,,,,NM,,,chaves nm,72,28,0,0
2020-12-31 00:00:00,County,NM New Mexico,NM Chaves County 35005,9,Public Housing,2,,Chaves County,35005,53,100,53,100,6,15,2.7,143,217,366,9539,3535,24,39,12,18,6,32,4,57,20,98,79,6,58,87,55,23,60,11,4,70,17,9,2,83,6,-1,-1,17,-1,77,-1,77,0,11,80,98,157,4,53,43,30,16,58,72,,,,,,NM,,,chaves nm,83,17,0,0
2020-12-31 00:00:00,County,NM New Mexico,NM Chaves County 35005,9,Housing Choice Vouchers,3,,Chaves County,35005,1105,53,587,100,5,2,2.5,1454,261,568,10844,4378,14,38,26,11,11,22,4,63,23,96,74,4,47,79,48,33,84,20,6,54,21,19,1,78,5,1,0,22,1,70,1,72,1,12,72,83,139,18,35,47,28,23,59,76,,,,,,NM,,,chaves nm,78,22,0,0
2020-12-31 00:00:00,County,NM New Mexico,NM Chaves County 35005,9,Project Based Section 8,5,,Chaves County,35005,202,98,207,100,7,14,1.1,220,246,436,10454,9836,4,59,31,3,2,1,4,95,26,98,80,-1,1,58,1,98,47,65,1,13,29,57,4,54,3,-1,0,46,-1,41,9,50,0,-1,69,71,45,100,-1,-1,-1,17,50,67,,,,,,NM,,,chaves nm,54,46,0,0
2020-12-31 00:00:00,County,NM New Mexico,NM Chaves County 35005,9,202/PRAC,8,,Chaves County,35005,30,98,30,100,6,13,1.1,32,241,241,10334,9688,-1,60,37,3,-1,-1,-1,100,26,100,73,-1,-1,60,-1,-1,20,19,-1,-1,-1,100,7,73,-1,-1,-1,27,-1,67,7,73,0,-1,57,100,65,100,-1,-1,-1,21,60,67,,,,,,NM,,,chaves nm,73,27,0,0
2020-12-31 00:00:00,County,NM New Mexico,NM Chaves County 35005,9,811/PRAC,9,,Chaves County,35005,15,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,NM,,,chaves nm,-4,-4,0,0
2020-12-31 00:00:00,County,NM New Mexico,NM Cibola County 35006,9,Summary of All HUD Programs,1,,Cibola County,35006,268,80,220,100,6,32,2.2,490,254,495,10956,4919,17,38,22,15,8,33,7,57,25,96,70,9,38,75,37,17,28,10,12,47,15,26,2,78,1,39,1,18,-1,32,5,37,1,11,53,66,98,43,37,20,7,34,73,51,,,,,,NM,,,cibola nm,84,16,0,1
2020-12-31 00:00:00,County,NM New Mexico,NM Cibola County 35006,9,Public Housing,2,,Cibola County,35006,20,75,15,100,3,20,4.7,70,321,672,14943,3202,7,27,7,47,13,47,7,47,26,93,67,20,80,80,80,7,-1,3,-1,93,7,-1,-1,100,7,40,7,-1,-1,40,7,47,7,-1,43,100,221,-1,-1,100,13,31,71,58,,,,,,NM,,,cibola nm,100,0,0,0
2020-12-31 00:00:00,County,NM New Mexico,NM Cibola County 35006,9,Housing Choice Vouchers,3,,Cibola County,35006,69,67,44,96,4,55,2.5,112,277,474,12170,4781,14,39,23,14,11,39,5,57,26,95,68,7,48,82,45,19,38,11,-1,59,11,30,2,82,-1,14,-1,18,-1,68,-1,68,0,11,36,98,140,25,34,41,18,26,69,63,,,,,,NM,,,cibola nm,82,18,0,0
2020-12-31 00:00:00,County,NM New Mexico,NM Cibola County 35006,9,Project Based Section 8,5,,Cibola County,35006,145,87,134,100,6,31,2.1,277,231,523,9746,4714,22,36,22,12,7,36,10,51,22,98,72,10,37,75,37,14,43,10,19,46,19,16,-1,82,1,49,1,16,-1,25,6,31,1,-1,55,66,56,43,50,7,4,37,74,46,,,,,,NM,,,cibola nm,84,16,0,0
2020-12-31 00:00:00,County,NM New Mexico,NM Cibola County 35006,9,202/PRAC,8,,Cibola County,35006,23,96,21,95,10,5,1.2,25,309,363,13390,11247,-1,48,24,19,10,5,-1,95,34,90,52,-1,-1,57,-1,-1,-1,0,-1,-1,-1,100,14,33,-1,19,-1,43,-1,5,10,14,0,-1,61,-1,-1,100,-1,-1,-1,37,73,46,,,,,,NM,,,cibola nm,60,40,0,1
2020-12-31 00:00:00,County,NM New Mexico,NM Cibola County 35006,9,811/PRAC,9,,Cibola County,35006,12,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,NM,,,cibola nm,-4,-4,0,0
2020-12-31 00:00:00,County,NM New Mexico,NM Colfax County 35007,9,Summary of All HUD Programs,1,,Colfax County,35007,250,96,227,94,8,19,2.0,463,278,483,16885,8278,6,30,24,13,26,29,4,63,39,78,52,11,30,70,33,19,40,14,8,38,15,38,2,62,0,-1,-1,38,-1,61,-1,61,0,4,81,76,136,40,26,34,22,21,53,69,,,,,,NM,,,colfax nm,62,38,0,0
2020-12-31 00:00:00,County,NM New Mexico,NM Colfax County 35007,9,Public Housing,2,,Colfax County,35007,244,96,222,94,8,19,2.1,458,278,479,17005,8243,6,29,24,13,27,29,4,62,39,78,52,11,30,71,34,17,38,13,9,39,15,38,2,63,0,-1,-1,37,-1,63,-1,63,0,4,80,76,138,39,26,35,22,21,53,70,,,,,,NM,,,colfax nm,63,37,0,0
2020-12-31 00:00:00,County,NM New Mexico,NM Colfax County 35007,9,Housing Choice Vouchers,3,,Colfax County,35007,6,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,NM,,,colfax nm,-4,-4,0,0
2020-12-31 00:00:00,County,NM New Mexico,NM Curry County 35009,9,Summary of All HUD Programs,1,,Curry County,35009,1072,80,863,100,5,17,2.2,1873,240,526,10062,4636,20,41,22,10,7,21,13,64,23,96,76,3,43,78,42,25,51,16,9,49,16,26,1,76,21,0,1,23,2,47,5,53,1,43,59,56,88,29,29,42,27,28,61,74,,,,,,NM,,,curry nm,77,23,0,0
