State,County_Name,Ttl_Incarc,Ttl_Minority_Incarc,Ttl_White_Incarc
New Mexico,Bernalillo County,0,0,0
New Mexico,Catron County,0,0,0
New Mexico,Chaves County,346,262,84
New Mexico,Cibola County,2120,1843,277
New Mexico,Colfax County,228,193,35
New Mexico,Curry County,0,0,0
New Mexico,De Baca County,0,0,0
New Mexico,Dona Ana County,794,552,242
New Mexico,Eddy County,0,0,0
New Mexico,Grant County,0,0,0
New Mexico,Guadalupe County,0,0,0
New Mexico,Harding County,0,0,0
New Mexico,Hidalgo County,29,22,7
New Mexico,Lea County,1701,1257,444
New Mexico,Lincoln County,0,0,0
New Mexico,Los Alamos County,0,0,0
New Mexico,Luna County,0,0,0
New Mexico,McKinley County,0,0,0
New Mexico,Mora County,0,0,0
New Mexico,Otero County,0,0,0
New Mexico,Quay County,0,0,0
New Mexico,Rio Arriba County,0,0,0
New Mexico,Roosevelt County,0,0,0
New Mexico,Sandoval County,0,0,0
New Mexico,San Juan County,0,0,0
New Mexico,San Miguel County,0,0,0
New Mexico,Santa Fe County,847,695,152
New Mexico,Sierra County,0,0,0
New Mexico,Socorro County,0,0,0
New Mexico,Taos County,0,0,0
New Mexico,Torrance County,0,0,0
New Mexico,Union County,696,560,136
New Mexico,Valencia County,1222,910,312
