State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
NM,Bernalillo County,18950,21700,24400,27100,29250,31450,33600,35750,11400,13000,14650,16250,17550,18850,20150,21450,30350,34700,39000,43350,46850,50300,53750,57250
NM,Catron County,13700,15650,17600,19550,21100,22700,24250,25800,8250,9400,10600,11750,12700,13650,14550,15500,21900,25050,28150,31300,33800,36300,38800,41300
NM,Chaves County,13700,15650,17600,19550,21100,22700,24250,25800,8250,9400,10600,11750,12700,13650,14550,15500,21900,25050,28150,31300,33800,36300,38800,41300
NM,Cibola County,13700,15650,17600,19550,21100,22700,24250,25800,8250,9400,10600,11750,12700,13650,14550,15500,21900,25050,28150,31300,33800,36300,38800,41300
NM,Colfax County,15000,17150,19300,21450,23150,24900,26600,28300,9000,10300,11600,12850,13900,14950,15950,17000,24000,27450,30900,34300,37050,39800,42550,45300
NM,Curry County,13750,15700,17700,19650,21200,22800,24350,25950,8250,9450,10600,11800,12750,13700,14650,15600,22000,25150,28300,31450,33950,36500,39000,41500
NM,DeBaca County,13700,15650,17600,19550,21100,22700,24250,25800,8250,9400,10600,11750,12700,13650,14550,15500,21900,25050,28150,31300,33800,36300,38800,41300
NM,Dona Ana County,13700,15650,17600,19550,21100,22700,24250,25800,8250,9400,10600,11750,12700,13650,14550,15500,21900,25050,28150,31300,33800,36300,38800,41300
NM,Eddy County,15600,17800,20050,22250,24050,25800,27600,29350,9350,10700,12000,13350,14400,15500,16550,17600,24900,28500,32050,35600,38450,41300,44150,47000
NM,Grant County,13700,15700,17650,19600,21150,22750,24300,25850,8250,9400,10600,11750,12700,13650,14550,15500,21950,25100,28200,31350,33850,36350,38850,41400
NM,Guadalupe County,13700,15650,17600,19550,21100,22700,24250,25800,8250,9400,10600,11750,12700,13650,14550,15500,21900,25050,28150,31300,33800,36300,38800,41300
