County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
Churchill County,28650,32750,36850,40900,44200,47450,50750,54000,17200,19650,23030,27750,32470,37190,41910,46630,45850,52400,58950,65450,70700,75950,81200,86400
Clark County,28650,32750,36850,40900,44200,47450,50750,54000,17200,19650,23030,27750,32470,37190,41910,46630,45850,52400,58950,65450,70700,75950,81200,86400
Douglas County,30300,34600,38950,43250,46750,50200,53650,57100,18200,20800,23400,27750,32470,37190,41910,46630,48450,55400,62300,69200,74750,80300,85850,91350
Elko County,35550,40600,45700,50750,54850,58900,62950,67000,21350,24400,27450,30450,32900,37190,41910,46630,56850,65000,73100,81200,87700,94200,100700,107200
Esmeralda County,28650,32750,36850,40900,44200,47450,50750,54000,17200,19650,23030,27750,32470,37190,41910,46630,45850,52400,58950,65450,70700,75950,81200,86400
Eureka County,37750,43150,48550,53900,58250,62550,66850,71150,22650,25900,29150,32350,34950,37550,41910,46630,60400,69000,77650,86250,93150,100050,106950,113850
Humboldt County,32400,37000,41650,46250,49950,53650,57350,61050,19450,22200,25000,27750,32470,37190,41910,46630,51800,59200,66600,74000,79950,85850,91800,97700
Lander County,39350,44950,50550,56150,60650,65150,69650,74150,23600,27000,30350,33700,36400,39100,41910,46630,62600,71550,80500,89400,96600,103750,110900,118050
Lincoln County,28650,32750,36850,40900,44200,47450,50750,54000,17200,19650,23030,27750,32470,37190,41910,46630,45850,52400,58950,65450,70700,75950,81200,86400
Lyon County,28650,32750,36850,40900,44200,47450,50750,54000,17200,19650,23030,27750,32470,37190,41910,46630,45850,52400,58950,65450,70700,75950,81200,86400
Mineral County,28650,32750,36850,40900,44200,47450,50750,54000,17200,19650,23030,27750,32470,37190,41910,46630,45850,52400,58950,65450,70700,75950,81200,86400
Nye County,28650,32750,36850,40900,44200,47450,50750,54000,17200,19650,23030,27750,32470,37190,41910,46630,45850,52400,58950,65450,70700,75950,81200,86400
Pershing County,28650,32750,36850,40900,44200,47450,50750,54000,17200,19650,23030,27750,32470,37190,41910,46630,45850,52400,58950,65450,70700,75950,81200,86400
Storey County,32700,37400,42050,46700,50450,54200,57950,61650,19600,22400,25200,28000,32470,37190,41910,46630,52300,59800,67250,74700,80700,86700,92650,98650
Washoe County,32700,37400,42050,46700,50450,54200,57950,61650,19600,22400,25200,28000,32470,37190,41910,46630,52300,59800,67250,74700,80700,86700,92650,98650
White Pine County,28650,32750,36850,40900,44200,47450,50750,54000,17200,19650,23030,27750,32470,37190,41910,46630,45850,52400,58950,65450,70700,75950,81200,86400
Carson City County,28650,32750,36850,40900,44200,47450,50750,54000,17200,19650,23030,27750,32470,37190,41910,46630,45850,52400,58950,65450,70700,75950,81200,86400
