sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Churchill County,32001,-1,-1,111,-1,4,14,2.6,286,289,435,11.7,4.5,22,32,20,15,11,39,5,50,19,90,71,16,45,80,52,31,44,14,11,59,15,14,3,29,6,14,0,9,11,57,94,101,23,49,29,10,22,11,36,-1,-1,-1,-1,-1,NV,-1,-1,71,29,71,0,0
9,1,All HUD,-1,Clark County,32003,-1,-1,13016,-1,6,16,2.6,33532,325,611,12.8,5.0,18,33,20,11,18,29,11,55,24,93,71,13,42,82,52,28,44,16,8,52,13,27,2,71,55,1,2,13,19,57,93,79,29,33,39,13,53,17,38,-1,-1,-1,-1,-1,NV,-1,-1,29,71,29,0,0
9,1,All HUD,-1,Douglas County,32005,-1,-1,331,-1,3,13,2.5,835,410,560,16.1,6.4,9,26,22,16,27,45,2,50,25,85,59,21,40,80,53,31,33,13,7,60,15,18,2,14,2,2,0,9,17,44,98,103,14,48,37,22,12,8,58,-1,-1,-1,-1,-1,NV,-1,-1,86,14,86,0,0
9,1,All HUD,-1,Elko County,32007,-1,-1,121,-1,5,30,1.8,217,293,409,13.1,7.4,5,43,29,8,15,19,0,80,21,79,59,9,18,75,27,65,28,31,2,40,24,33,7,14,0,7,1,6,18,49,90,70,52,31,17,14,23,8,44,-1,-1,-1,-1,-1,NV,-1,-1,86,14,86,0,0
9,1,All HUD,-1,Esmeralda County,32009,-1,-1,1,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,NV,-1,-1,-4,-4,-4,0,0
9,1,All HUD,-1,Eureka County,32011,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,NV,-1,-1,-4,-4,-4,0,0
9,1,All HUD,-1,Humboldt County,32013,-1,-1,39,-1,4,5,2.2,84,267,351,10.4,4.9,10,49,23,10,8,28,0,69,20,95,74,10,38,74,44,38,60,20,0,56,18,26,3,23,0,13,3,8,16,52,87,-2,23,36,41,31,23,7,37,-1,-1,-1,-1,-1,NV,-1,-1,77,23,77,0,0
9,1,All HUD,-1,Lander County,32015,-1,-1,30,-1,6,27,1.8,55,182,486,7.3,4.0,33,47,13,3,3,27,3,70,13,80,73,3,47,97,50,23,38,15,20,43,10,27,0,23,0,13,0,10,49,16,100,91,0,97,3,47,28,11,29,-1,-1,-1,-1,-1,NV,-1,-1,77,23,77,0,0
9,1,All HUD,-1,Lincoln County,32017,-1,-1,29,-1,5,17,2.4,69,232,425,10.2,4.0,31,28,31,3,7,41,3,45,18,100,93,17,31,79,48,17,0,6,7,55,17,21,0,0,0,0,0,0,-2,28,97,76,31,41,28,10,10,15,41,-1,-1,-1,-1,-1,NV,-1,-1,100,0,100,0,0
9,1,All HUD,-1,Lyon County,32019,-1,-1,160,-1,5,14,2.2,353,348,408,13.7,6.3,8,28,29,16,19,24,0,73,25,86,58,18,21,77,35,42,11,14,3,41,18,38,6,8,3,1,0,4,18,56,98,74,33,33,35,24,18,11,45,-1,-1,-1,-1,-1,NV,-1,-1,92,8,92,0,0
9,1,All HUD,-1,Mineral County,32021,-1,-1,26,-1,4,19,1.3,33,229,248,9.4,7.4,15,46,31,4,4,8,0,92,19,88,69,0,8,73,8,75,36,42,0,27,19,54,4,19,19,0,0,0,23,59,50,-2,65,23,12,23,11,6,29,-1,-1,-1,-1,-1,NV,-1,-1,81,19,81,0,0
9,1,All HUD,-1,Nye County,32023,-1,-1,308,-1,4,20,2.6,814,360,601,12.3,4.7,16,35,22,13,14,31,3,61,23,95,74,20,42,83,56,41,43,17,5,62,16,17,1,17,7,2,0,8,26,35,85,-2,5,46,49,31,13,9,37,-1,-1,-1,-1,-1,NV,-1,-1,83,17,83,0,0
9,1,All HUD,-1,Pershing County,32027,-1,-1,8,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,NV,-1,-1,-4,-4,-4,0,0
9,1,All HUD,-1,Storey County,32029,-1,-1,5,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,NV,-1,-1,-4,-4,-4,0,0
9,1,All HUD,-1,Washoe County,32031,-1,-1,4203,-1,5,23,1.9,8096,290,452,12.5,6.6,13,35,26,12,13,23,2,70,23,96,75,7,30,72,34,41,35,22,7,38,15,39,4,29,10,2,1,16,14,51,89,48,51,34,15,6,44,17,24,-1,-1,-1,-1,-1,NV,-1,-1,71,29,71,0,0
9,1,All HUD,-1,White Pine County,32033,-1,-1,13,-1,2,15,2.4,31,306,367,11.4,4.8,8,69,8,0,15,23,0,77,23,85,85,15,38,77,46,13,60,13,0,62,0,38,0,15,0,0,0,15,19,50,85,-2,31,15,54,15,14,9,51,-1,-1,-1,-1,-1,NV,-1,-1,85,15,85,0,0
9,1,All HUD,-1,Carson city County,32510,-1,-1,681,-1,5,16,1.9,1270,328,439,13.2,7.2,10,30,29,15,16,30,1,66,25,84,56,8,30,75,34,40,20,18,10,43,12,35,3,15,2,2,1,10,23,51,96,81,48,36,16,10,21,10,42,-1,-1,-1,-1,-1,NV,-1,-1,85,15,85,0,0
9,1,All HUD,-1,Missing County,32999,-1,-1,2,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,NV,-1,-1,-4,-4,-4,0,0
9,3,VO,-1,Churchill County,32001,-1,-1,77,-1,3,14,2.3,180,322,403,12.3,5.3,14,35,25,14,12,35,5,57,21,86,68,17,34,75,40,42,40,20,6,58,16,19,4,25,9,8,0,8,11,69,91,121,32,39,29,12,22,11,36,-1,-1,-1,-1,-1,NV,-1,-1,75,25,75,0,0
9,3,VO,-1,Clark County,32003,-1,-1,7818,-1,6,15,2.8,21872,390,635,14.1,5.1,14,31,20,13,22,34,12,50,26,91,65,15,45,87,58,30,58,17,4,62,14,20,2,74,62,1,1,11,21,56,98,136,19,33,48,18,46,13,44,-1,-1,-1,-1,-1,NV,-1,-1,26,74,26,0,0
9,3,VO,-1,Douglas County,32005,-1,-1,277,-1,3,13,2.5,690,429,555,16.3,6.6,6,26,22,18,28,44,1,53,26,87,58,19,39,81,51,34,36,14,3,60,18,19,3,13,3,2,0,8,17,45,98,128,13,47,40,27,12,9,56,-1,-1,-1,-1,-1,NV,-1,-1,87,13,87,0,0
9,3,VO,-1,Elko County,32007,-1,-1,73,-1,3,27,2.2,163,328,408,14.2,6.4,8,44,19,8,21,30,0,68,24,85,64,15,30,81,45,54,70,27,4,53,29,14,0,16,0,7,0,10,18,36,84,98,30,41,29,22,23,8,43,-1,-1,-1,-1,-1,NV,-1,-1,84,16,84,0,0
9,3,VO,-1,Esmeralda County,32009,-1,-1,1,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,NV,-1,-1,-4,-4,-4,0,0
9,3,VO,-1,Eureka County,32011,-1,-1,0,-1,-4,-4,-4.0,0,-4,0,-4.0,0.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,0,-1,-1,-1,-1,-1,NV,-1,-1,-4,-4,-4,0,0
