sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,pct_ownsfd,fedhse,cbsa,placefips,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Churchill County,32001,-1,-1,123.0,-1.0,3.0,11.0,2.6,319.0,284.0,498.0,12.1,4.6,15.0,30.0,31.0,9.0,15.0,28.0,7.0,61.0,22.0,98.0,80.0,18.0,46.0,79.0,56.0,42.0,47.0,17.0,11.0,57.0,18.0,14.0,0.0,21.0,6.0,10.0,0.0,6.0,13.0,48.0,94.0,121.0,16.0,57.0,27.0,13.0,23,11,36,-1,-1,-1,-1,-1,NV,-1,-1,churchill nv,79.0,21.0,79.0,0,0
9,1,All HUD,-1,Clark County,32003,-1,-1,13913.0,-1.0,5.0,11.0,2.6,35949.0,302.0,731.0,13.0,5.1,19.0,32.0,20.0,11.0,18.0,26.0,13.0,56.0,23.0,93.0,73.0,13.0,41.0,83.0,52.0,28.0,50.0,17.0,7.0,52.0,14.0,27.0,2.0,72.0,56.0,1.0,2.0,14.0,17.0,64.0,94.0,80.0,27.0,32.0,41.0,16.0,51,16,40,-1,-1,-1,-1,-1,NV,-1,-1,clark nv,28.0,72.0,28.0,0,0
9,1,All HUD,-1,Douglas County,32005,-1,-1,358.0,-1.0,3.0,13.0,2.4,874.0,354.0,624.0,14.3,5.9,12.0,31.0,21.0,13.0,23.0,35.0,5.0,57.0,23.0,96.0,73.0,21.0,36.0,82.0,51.0,34.0,46.0,15.0,6.0,59.0,17.0,18.0,3.0,15.0,3.0,4.0,0.0,8.0,14.0,55.0,97.0,104.0,16.0,46.0,38.0,25.0,12,8,59,-1,-1,-1,-1,-1,NV,-1,-1,douglas nv,85.0,15.0,85.0,0,0
9,1,All HUD,-1,Elko County,32007,-1,-1,97.0,-1.0,5.0,11.0,1.6,155.0,301.0,420.0,13.0,8.1,1.0,33.0,38.0,16.0,11.0,14.0,3.0,82.0,26.0,97.0,71.0,1.0,21.0,69.0,21.0,69.0,22.0,30.0,2.0,33.0,18.0,47.0,9.0,14.0,0.0,5.0,1.0,8.0,12.0,56.0,94.0,70.0,56.0,26.0,19.0,19.0,26,8,42,-1,-1,-1,-1,-1,NV,-1,-1,elko nv,86.0,14.0,86.0,0,0
9,1,All HUD,-1,Esmeralda County,32009,-1,-1,1.0,-1.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4,-4,-4,-1,-1,-1,-1,-1,NV,-1,-1,esmeralda nv,-4.0,-4.0,-4.0,0,0
9,1,All HUD,-1,Eureka County,32011,-1,-1,0.0,-1.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4,-4,-4,-1,-1,-1,-1,-1,NV,-1,-1,eureka nv,-4.0,-4.0,-4.0,0,0
9,1,All HUD,-1,Humboldt County,32013,-1,-1,26.0,-1.0,3.0,4.0,2.1,54.0,282.0,357.0,11.8,5.7,4.0,54.0,19.0,8.0,15.0,31.0,4.0,65.0,21.0,100.0,81.0,8.0,31.0,73.0,35.0,53.0,44.0,24.0,0.0,46.0,19.0,35.0,0.0,23.0,0.0,15.0,0.0,8.0,-2.0,78.0,88.0,-2.0,15.0,38.0,46.0,50.0,22,7,35,-1,-1,-1,-1,-1,NV,-1,-1,humboldt nv,77.0,23.0,77.0,0,0
9,1,All HUD,-1,Lander County,32015,-1,-1,38.0,-1.0,5.0,24.0,1.9,73.0,243.0,432.0,10.8,5.6,16.0,39.0,24.0,13.0,8.0,34.0,3.0,63.0,21.0,100.0,79.0,3.0,34.0,87.0,37.0,32.0,31.0,16.0,29.0,26.0,11.0,34.0,3.0,21.0,0.0,5.0,0.0,16.0,-2.0,22.0,100.0,75.0,16.0,84.0,0.0,29.0,28,11,29,-1,-1,-1,-1,-1,NV,-1,-1,lander nv,79.0,21.0,79.0,0,0
9,1,All HUD,-1,Lincoln County,32017,-1,-1,33.0,-1.0,6.0,30.0,2.3,75.0,259.0,437.0,11.3,4.9,18.0,33.0,24.0,18.0,6.0,42.0,0.0,52.0,20.0,97.0,88.0,18.0,27.0,70.0,42.0,26.0,33.0,12.0,3.0,61.0,18.0,18.0,0.0,3.0,0.0,0.0,0.0,3.0,-2.0,30.0,97.0,78.0,33.0,48.0,18.0,0.0,10,15,42,-1,-1,-1,-1,-1,NV,-1,-1,lincoln nv,97.0,3.0,97.0,0,0
9,1,All HUD,-1,Lyon County,32019,-1,-1,201.0,-1.0,3.0,15.0,2.5,504.0,306.0,537.0,13.4,5.6,12.0,29.0,26.0,16.0,16.0,19.0,5.0,69.0,24.0,98.0,67.0,20.0,28.0,76.0,43.0,42.0,11.0,15.0,2.0,46.0,19.0,32.0,5.0,13.0,3.0,1.0,0.0,7.0,17.0,57.0,98.0,68.0,26.0,32.0,42.0,27.0,17,10,45,-1,-1,-1,-1,-1,NV,-1,-1,lyon nv,87.0,13.0,87.0,0,0
