gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,NV Nevada,NV Carson City 32510,9,Summary of All HUD Programs,1,A,Carson city County,32510,790.0,98,815,100,5.68618391970246,14,1.79175724515376,1418.40142517815,280.945476066173,533.686838939499,11748.1164250041,6558.99033989954,14,31,28,17,10,17,8,74,24,97,72,4,29,72,29,46,20,21,7,40,18,35,3,17,2,3,0,14,19.8495495495495,46.5467966054877,96,102.924222180403,51,35,14,12,11,23,44,A,A,A,-1,-1,NV,-1,A,carson city nv,83,17,83,0,0
County,NV Nevada,NV Churchill County 32001,9,Summary of All HUD Programs,1,A,Churchill County,32001,198.0,99,142,100,4.60734060998835,7,2.39828600665132,334.022565320665,277.989656348597,553.412855143518,11599.7054574913,4808.23556162377,18,31,23,13,15,28,11,60,22,98,75,10,49,81,51,34,36,16,10,60,13,17,1,26,3,11,1,11,23.9296296296296,49.6984767346011,98,145.928295940311,15,52,33,19,11,22,36,A,A,A,-1,-1,NV,-1,A,churchill nv,74,26,74,0,0
County,NV Nevada,NV Clark County 32003,9,Summary of All HUD Programs,1,A,Clark County,32003,15325.0,94,13818,99,6.02731094028056,7,2.56325828448362,35836.442882584,306.120294548675,689.117063561651,12213.049815138,4762.59174230758,19,32,21,12,16,20,15,63,22,95,76,4,48,81,49,29,52,18,5,53,15,27,2,74,57,1,3,14,18.7884009215686,70.4041027939343,93,157.524420975476,26,31,43,20,15,49,43,A,A,A,-1,-1,NV,-1,A,clark nv,26,74,26,0,0
County,NV Nevada,NV Douglas County 32005,9,Summary of All HUD Programs,1,A,Douglas County,32005,372.0,99,385,100,4.78117739138387,12,2.43188237581802,901.084625774301,330.447322142985,661.471859047817,13635.4769953227,5581.05500977713,14,30,21,14,21,29,8,58,22,96,75,12,44,78,48,33,40,14,6,59,18,17,2,15,3,3,1,10,23.5787037037037,52.2826948159103,96,134.748156745337,15,43,41,28,9,13,62,A,A,A,-1,-1,NV,-1,A,douglas nv,85,15,85,0,0
County,NV Nevada,NV Elko County 32007,9,Summary of All HUD Programs,1,A,Elko County,32007,85.0,97,85,100,6.62571865572556,14,1.44408630906301,121.850356294537,300.915239207848,435.071707192073,13516.6095964643,9359.97350825552,2,34,34,16,14,8,2,90,25,99,71,0,14,65,14,72,17,27,1,26,13,60,8,12,0,4,2,6,23.5833333333333,63.3708446521317,94,90.4332110036997,63,26,10,14,9,28,42,A,A,A,-1,-1,NV,-1,A,elko nv,88,12,88,0,0
County,NV Nevada,NV Esmeralda County 32009,9,Summary of All HUD Programs,1,A,Esmeralda County,32009,1.0,100,1,100,4.03333333333333,-4,-4.0,-4.0,-4.0,-4.0,-4.0,15992.0,-4,-4,-4,-4,-4,-4,-4,-4,36,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,60.9333333333333,-4,-4.0,-4,-4,-4,-4,-1,-1,-1,A,A,A,-1,-1,NV,-1,A,esmeralda nv,100,0,100,0,0
County,NV Nevada,NV Eureka County 32011,9,Summary of All HUD Programs,1,A,Eureka County,32011,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,NV,-1,A,eureka nv,-1,-1,-1,0,0
County,NV Nevada,NV Humboldt County 32013,9,Summary of All HUD Programs,1,A,Humboldt County,32013,17.0,100,18,100,6.57407407407407,0,1.61111111111111,27.6567695961995,242.944444444444,431.777777777778,9258.16666666666,5746.44827586207,6,72,17,0,6,6,6,89,18,100,94,0,28,72,28,82,57,45,0,28,33,39,0,17,0,17,0,0,-1.0,103.931481481481,83,147.8,22,33,44,67,9,26,40,A,A,A,-1,-1,NV,-1,A,humboldt nv,83,17,83,0,0
County,NV Nevada,NV Lander County 32015,9,Summary of All HUD Programs,1,A,Lander County,32015,39.0,95,39,97,5.76827641503963,28,1.73404191256172,68.3978622327791,235.602334720605,448.573377092617,10518.410822059,6004.57285828482,21,28,28,15,8,26,5,66,21,100,77,5,37,79,42,36,28,19,24,32,10,35,5,16,0,8,0,10,22.3222222222222,25.2569061755159,100,83.1331959443485,24,76,0,21,11,28,29,A,A,A,-1,-1,NV,-1,A,lander nv,84,16,84,0,0
County,NV Nevada,NV Lincoln County 32017,9,Summary of All HUD Programs,1,A,Lincoln County,32017,37.0,89,34,92,5.41358452458481,12,2.320373188836,85.1014779625231,221.010779731514,503.235452219812,9343.37580101392,3935.38734695924,27,26,30,15,3,40,0,58,17,100,91,18,29,68,35,18,72,13,6,65,9,20,0,6,3,3,0,0,22.3333333333333,38.8729002730913,97,95.5648277441614,29,51,20,3,18,12,50,A,A,A,-1,-1,NV,-1,A,lincoln nv,94,6,94,0,0
