gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,NV Nevada,NV Clark County 32003,9,202/PRAC,8,,Clark County,32003,271,98,267,100,6,16,1.0,279,266,317,11575,11077,0,52,30,13,5,1,0,98,27,98,75,-1,-1,59,-1,-1,9,9,-1,-1,-1,100,12,43,9,1,12,48,1,11,9,21,0,-1,60,60,60,100,-1,-1,-1,24,69,38,,,,,,NV,,,clark nv,43,48,9,0
County,NV Nevada,NV Clark County 32003,9,811/PRAC,9,,Clark County,32003,253,94,245,100,6,15,1.2,284,266,441,11294,9743,0,57,26,12,5,0,-1,98,26,98,75,0,2,47,1,99,100,87,1,38,38,23,0,33,23,1,2,60,1,2,4,7,1,-1,60,100,67,81,19,-1,10,22,58,37,,,,,,NV,,,clark nv,33,60,7,0
County,NV Nevada,NV Washoe County 32031,9,Project Based Section 8,5,,Washoe County,32031,1067,96,1048,100,6,19,1.7,1816,213,586,9162,5288,19,33,29,11,8,15,4,67,19,98,81,5,26,61,28,21,14,11,12,28,19,41,5,34,11,2,4,60,0,7,10,17,2,-1,60,86,40,62,29,10,4,38,61,26,,,,,,NV,,,washoe nv,34,60,6,0
County,NV Nevada,NV Carson City County 32510,9,811/PRAC,9,,Carson city County,32510,23,98,22,98,6,9,1.1,24,312,333,13069,11980,-1,36,36,18,9,5,-1,95,27,100,64,-1,-1,50,-1,100,100,92,-1,50,18,32,-1,5,-1,-1,-1,91,-1,5,-1,5,0,-1,98,100,23,91,9,-1,-1,15,34,35,,,,,,NV,,,carson city nv,5,91,4,0
County,NV Nevada,NV Carson City County 32510,9,Summary of All HUD Programs,1,,Carson city County,32510,877,93,894,100,5,21,1.9,1666,284,602,11161,5989,10,33,29,16,11,17,3,71,21,99,76,5,27,72,28,45,21,21,6,38,23,33,2,21,2,3,1,79,1,14,0,15,1,17,60,94,85,50,37,13,15,17,31,50,,,,,,NV,,,carson city nv,21,79,0,0
County,NV Nevada,NV Carson City County 32510,9,Housing Choice Vouchers,3,,Carson city County,32510,655,92,675,100,5,20,1.9,1314,285,638,10773,5534,11,33,30,15,12,16,3,69,20,99,77,4,28,72,28,45,24,20,2,42,25,31,2,20,3,4,0,80,1,11,0,12,1,17,62,92,98,47,38,15,20,18,32,48,,,,,,NV,,,carson city nv,20,80,0,0
County,NV Nevada,NV Carson City County 32510,9,Project Based Section 8,5,,Carson city County,32510,199,97,197,100,6,26,1.7,328,280,523,12277,7374,9,33,27,20,11,21,4,73,24,97,74,8,25,74,31,41,6,16,18,24,16,42,4,28,2,1,2,72,1,24,-1,24,1,-1,47,100,52,59,37,5,2,15,27,55,,,,,,NV,,,carson city nv,28,72,0,0
County,NV Nevada,NV Churchill County 32001,9,Summary of All HUD Programs,1,,Churchill County,32001,125,88,118,100,5,22,2.5,293,314,616,11565,4658,10,29,36,14,11,31,3,56,20,98,82,12,41,76,46,35,21,14,6,59,19,16,2,22,3,9,1,78,-1,7,2,8,2,13,67,97,148,16,51,33,25,17,29,55,,,,,,NV,,,churchill nv,22,78,0,0
County,NV Nevada,NV Churchill County 32001,9,Housing Choice Vouchers,3,,Churchill County,32001,85,92,88,100,5,15,2.5,216,338,638,12100,4930,4,33,38,14,11,27,-1,63,22,98,82,10,36,74,41,44,13,17,2,56,24,18,1,19,3,6,1,81,-1,8,1,9,0,13,74,95,168,22,43,35,26,16,28,56,,,,,,NV,,,churchill nv,19,81,0,0
County,NV Nevada,NV Clark County 32003,9,Summary of All HUD Programs,1,,Clark County,32003,15653,95,14789,100,6,6,2.5,36667,307,828,12133,4894,17,32,21,13,17,23,4,68,23,93,72,4,43,78,45,32,56,20,4,50,19,27,2,76,58,1,3,24,1,12,1,14,1,22,96,90,153,26,29,45,27,22,64,51,,,,,,NV,,,clark nv,76,24,0,0
