State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
NV,Churchill County,24550,28050,31550,35050,37900,40700,43500,46300,14750,16850,20780,25100,29420,33740,38060,42380,39250,44850,50450,56050,60550,65050,69550,74000
NV,Clark County,24550,28050,31550,35050,37900,40700,43500,46300,14750,16850,20780,25100,29420,33740,38060,42380,39250,44850,50450,56050,60550,65050,69550,74000
NV,Douglas County,25100,28650,32250,35800,38700,41550,44400,47300,15050,17200,20780,25100,29420,33740,38060,42380,40150,45850,51600,57300,61900,66500,71100,75650
NV,Elko County,29200,33350,37500,41650,45000,48350,51650,55000,17500,20000,22500,25100,29420,33740,38060,42380,46700,53350,60000,66650,72000,77350,82650,88000
NV,Esmeralda County,24550,28050,31550,35050,37900,40700,43500,46300,14750,16850,20780,25100,29420,33740,38060,42380,39250,44850,50450,56050,60550,65050,69550,74000
NV,Eureka County,30700,35100,39500,43850,47400,50900,54400,57900,18450,21050,23700,26300,29420,33740,38060,42380,49150,56150,63150,70150,75800,81400,87000,92600
NV,Humboldt County,26950,30800,34650,38450,41550,44650,47700,50800,16150,18450,20780,25100,29420,33740,38060,42380,43050,49200,55350,61500,66450,71350,76300,81200
NV,Lander County,28950,33100,37250,41350,44700,48000,51300,54600,17400,19850,22350,25100,29420,33740,38060,42380,46350,52950,59550,66150,71450,76750,82050,87350
NV,Lincoln County,24550,28050,31550,35050,37900,40700,43500,46300,14750,16850,20780,25100,29420,33740,38060,42380,39250,44850,50450,56050,60550,65050,69550,74000
NV,Lyon County,24550,28050,31550,35050,37900,40700,43500,46300,14750,16850,20780,25100,29420,33740,38060,42380,39250,44850,50450,56050,60550,65050,69550,74000
NV,Mineral County,24550,28050,31550,35050,37900,40700,43500,46300,14750,16850,20780,25100,29420,33740,38060,42380,39250,44850,50450,56050,60550,65050,69550,74000
NV,Nye County,24550,28050,31550,35050,37900,40700,43500,46300,14750,16850,20780,25100,29420,33740,38060,42380,39250,44850,50450,56050,60550,65050,69550,74000
NV,Pershing County,24550,28050,31550,35050,37900,40700,43500,46300,14750,16850,20780,25100,29420,33740,38060,42380,39250,44850,50450,56050,60550,65050,69550,74000
NV,Storey County,25750,29400,33100,36750,39700,42650,45600,48550,15450,17650,20780,25100,29420,33740,38060,42380,41200,47050,52950,58800,63550,68250,72950,77650
NV,Washoe County,25750,29400,33100,36750,39700,42650,45600,48550,15450,17650,20780,25100,29420,33740,38060,42380,41200,47050,52950,58800,63550,68250,72950,77650
NV,White Pine County,25200,28800,32400,35950,38850,41750,44600,47500,15100,17250,20780,25100,29420,33740,38060,42380,40250,46000,51750,57500,62100,66700,71300,75900
NV,Carson City County,24550,28050,31550,35050,37900,40700,43500,46300,14750,16850,20780,25100,29420,33740,38060,42380,39250,44850,50450,56050,60550,65050,69550,74000
