sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Albany County,36001,-1,-1,7289,-1,6,20,1.8,13315,328,435,14.2,7.8,5,34,26,16,19,32,4,63,27,94,67,8,25,72,30,41,27,22,5,43,17,34,5,52,42,0,1,8,15,61,70,58,57,20,23,10,40,25,18,-1,-1,-1,-1,-1,NY,-1,-1,albany ny,48,52,48,0,0
9,1,All HUD,-1,Allegany County,36003,-1,-1,195,-1,5,22,1.8,352,266,259,10.5,5.8,3,59,24,12,2,18,6,76,27,98,73,11,16,68,22,81,94,50,4,49,30,16,1,6,5,0,0,1,17,53,84,-2,36,39,25,29,3,15,56,-1,-1,-1,-1,-1,NY,-1,-1,allegany ny,94,6,94,0,0
9,1,All HUD,-1,Bronx County,36005,-1,-1,102491,-1,6,8,2.3,239314,338,715,15.8,6.8,5,38,19,13,25,38,12,50,27,89,72,18,28,81,42,23,47,17,2,50,20,28,3,96,34,0,0,61,62,141,55,43,34,41,25,17,93,40,2,-1,-1,-1,-1,-1,NY,-1,-1,bronx ny,4,96,4,0,0
9,1,All HUD,-1,Broome County,36007,-1,-1,2361,-1,5,20,1.9,4395,293,330,13.0,7.1,5,37,29,18,11,20,4,73,30,93,60,11,20,73,25,50,29,25,4,37,17,42,8,25,19,0,2,5,10,73,65,69,54,26,21,13,18,24,19,-1,-1,-1,-1,-1,NY,-1,-1,broome ny,75,25,75,0,0
9,1,All HUD,-1,Cattaraugus County,36009,-1,-1,915,-1,5,25,1.9,1770,290,307,13.2,6.9,5,40,27,15,12,23,3,73,32,89,55,12,22,70,30,53,28,26,6,46,17,30,4,9,5,2,0,2,7,55,72,64,51,21,29,16,10,17,53,-1,-1,-1,-1,-1,NY,-1,-1,cattaraugus ny,91,9,91,0,0
9,1,All HUD,-1,Cayuga County,36011,-1,-1,1505,-1,5,17,1.9,2829,316,335,13.6,7.3,8,30,28,18,15,25,3,69,29,91,57,10,21,77,28,41,20,20,5,39,16,39,9,13,10,0,0,3,19,68,73,68,45,30,24,19,10,17,38,-1,-1,-1,-1,-1,NY,-1,-1,cayuga ny,87,13,87,0,0
9,1,All HUD,-1,Chautauqua County,36013,-1,-1,2484,-1,5,18,1.8,4566,273,341,11.6,6.3,6,41,32,14,6,18,7,73,29,95,61,11,21,75,28,52,32,27,6,38,16,39,6,24,5,1,0,18,16,66,79,55,56,25,19,9,15,22,41,-1,-1,-1,-1,-1,NY,-1,-1,chautauqua ny,76,24,76,0,0
9,1,All HUD,-1,Chemung County,36015,-1,-1,1899,-1,6,21,1.8,3400,273,336,11.5,6.4,9,42,28,14,7,22,8,67,28,94,65,8,25,78,30,44,27,23,9,39,17,34,5,22,18,0,0,3,8,66,28,3,49,33,18,16,17,28,35,-1,-1,-1,-1,-1,NY,-1,-1,chemung ny,78,22,78,0,0
9,1,All HUD,-1,Chenango County,36017,-1,-1,578,-1,5,24,1.8,1015,257,366,11.7,6.7,11,42,26,14,7,18,2,76,29,93,61,12,16,76,24,55,22,28,8,35,19,38,7,5,2,0,0,2,7,59,63,25,65,20,15,4,3,17,41,-1,-1,-1,-1,-1,NY,-1,-1,chenango ny,95,5,95,0,0
9,1,All HUD,-1,Clinton County,36019,-1,-1,1415,-1,5,20,1.8,2599,297,306,12.7,7.0,7,38,28,17,10,19,4,74,28,94,63,12,22,77,29,51,33,27,7,38,16,39,6,4,2,0,0,1,13,68,78,43,51,28,20,12,6,21,36,-1,-1,-1,-1,-1,NY,-1,-1,clinton ny,96,4,96,0,0
