sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,pct_ownsfd,fedhse,cbsa,placefips,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Albany County,36001,-1,-1,7316.0,-1.0,6.0,17.0,1.9,13598.0,332.0,513.0,14.5,7.8,6.0,33.0,25.0,17.0,20.0,31.0,4.0,64.0,26.0,94.0,69.0,9.0,25.0,73.0,31.0,40.0,30.0,22.0,5.0,43.0,17.0,34.0,5.0,52.0,43.0,0.0,1.0,9.0,14.0,65.0,73.0,67.0,55.0,21.0,23.0,10.0,41,25,18,-1,-1,-1,-1,-1,NY,-1,-1,albany ny,48.0,52.0,48.0,0,0
9,1,All HUD,-1,Allegany County,36003,-1,-1,227.0,-1.0,4.0,28.0,1.8,402.0,252.0,296.0,10.5,6.0,7.0,59.0,20.0,9.0,4.0,14.0,11.0,73.0,25.0,98.0,78.0,11.0,17.0,69.0,23.0,80.0,87.0,50.0,4.0,48.0,31.0,17.0,1.0,6.0,5.0,0.0,0.0,1.0,10.0,56.0,81.0,-2.0,36.0,39.0,25.0,33.0,3,15,57,-1,-1,-1,-1,-1,NY,-1,-1,allegany ny,94.0,6.0,94.0,0,0
9,1,All HUD,-1,Bronx County,36005,-1,-1,112100.0,-1.0,5.0,8.0,2.3,262440.0,350.0,738.0,16.5,7.1,4.0,37.0,19.0,13.0,27.0,39.0,11.0,50.0,26.0,90.0,73.0,18.0,27.0,81.0,42.0,24.0,47.0,17.0,2.0,50.0,20.0,28.0,3.0,96.0,34.0,0.0,0.0,62.0,32.0,140.0,55.0,47.0,33.0,41.0,26.0,17.0,92,39,2,-1,-1,-1,-1,-1,NY,-1,-1,bronx ny,4.0,96.0,4.0,0,0
9,1,All HUD,-1,Broome County,36007,-1,-1,2310.0,-1.0,5.0,17.0,1.8,4257.0,290.0,381.0,13.1,7.2,5.0,37.0,29.0,18.0,11.0,20.0,5.0,74.0,28.0,95.0,64.0,10.0,19.0,73.0,24.0,50.0,30.0,25.0,4.0,35.0,17.0,43.0,7.0,25.0,18.0,0.0,1.0,5.0,7.0,76.0,64.0,71.0,55.0,25.0,20.0,11.0,18,24,20,-1,-1,-1,-1,-1,NY,-1,-1,broome ny,75.0,25.0,75.0,0,0
9,1,All HUD,-1,Cattaraugus County,36009,-1,-1,1014.0,-1.0,5.0,28.0,1.9,1969.0,283.0,353.0,12.9,6.7,6.0,40.0,28.0,16.0,12.0,25.0,3.0,71.0,30.0,93.0,59.0,14.0,22.0,71.0,31.0,54.0,32.0,27.0,8.0,46.0,19.0,27.0,4.0,11.0,6.0,2.0,0.0,2.0,5.0,57.0,74.0,64.0,46.0,24.0,30.0,18.0,9,17,53,-1,-1,-1,-1,-1,NY,-1,-1,cattaraugus ny,89.0,11.0,89.0,0,0
9,1,All HUD,-1,Cayuga County,36011,-1,-1,1530.0,-1.0,5.0,15.0,1.9,2916.0,320.0,357.0,13.8,7.3,8.0,32.0,26.0,18.0,16.0,25.0,5.0,67.0,30.0,90.0,57.0,11.0,20.0,77.0,29.0,41.0,22.0,21.0,4.0,40.0,17.0,39.0,9.0,13.0,10.0,1.0,0.0,3.0,28.0,72.0,74.0,73.0,45.0,30.0,25.0,19.0,10,17,39,-1,-1,-1,-1,-1,NY,-1,-1,cayuga ny,87.0,13.0,87.0,0,0
9,1,All HUD,-1,Chautauqua County,36013,-1,-1,2625.0,-1.0,5.0,19.0,1.9,4970.0,277.0,362.0,11.8,6.3,7.0,41.0,29.0,15.0,7.0,18.0,8.0,72.0,28.0,95.0,63.0,12.0,21.0,75.0,30.0,53.0,34.0,27.0,6.0,39.0,17.0,38.0,6.0,26.0,6.0,1.0,0.0,19.0,20.0,67.0,80.0,61.0,54.0,26.0,20.0,8.0,15,22,41,-1,-1,-1,-1,-1,NY,-1,-1,chautauqua ny,74.0,26.0,74.0,0,0
9,1,All HUD,-1,Chemung County,36015,-1,-1,1945.0,-1.0,6.0,21.0,1.8,3486.0,270.0,384.0,11.7,6.5,10.0,41.0,27.0,15.0,7.0,23.0,7.0,66.0,28.0,94.0,65.0,8.0,26.0,78.0,32.0,46.0,30.0,25.0,11.0,39.0,18.0,32.0,4.0,22.0,18.0,1.0,0.0,3.0,7.0,66.0,30.0,3.0,48.0,33.0,19.0,16.0,15,27,37,-1,-1,-1,-1,-1,NY,-1,-1,chemung ny,78.0,22.0,78.0,0,0
9,1,All HUD,-1,Chenango County,36017,-1,-1,588.0,-1.0,5.0,21.0,1.8,1033.0,264.0,405.0,12.0,7.0,11.0,38.0,28.0,15.0,9.0,19.0,4.0,73.0,29.0,93.0,60.0,12.0,17.0,74.0,23.0,55.0,27.0,29.0,7.0,36.0,20.0,38.0,7.0,5.0,2.0,0.0,0.0,2.0,6.0,62.0,68.0,23.0,64.0,21.0,14.0,4.0,3,17,43,-1,-1,-1,-1,-1,NY,-1,-1,chenango ny,95.0,5.0,95.0,0,0
9,1,All HUD,-1,Clinton County,36019,-1,-1,1465.0,-1.0,5.0,20.0,1.8,2655.0,302.0,350.0,12.9,7.2,7.0,36.0,30.0,17.0,11.0,19.0,5.0,75.0,28.0,95.0,65.0,11.0,22.0,77.0,28.0,51.0,32.0,27.0,6.0,39.0,16.0,39.0,7.0,4.0,2.0,1.0,0.0,1.0,10.0,70.0,80.0,43.0,51.0,28.0,21.0,14.0,6,20,37,-1,-1,-1,-1,-1,NY,-1,-1,clinton ny,96.0,4.0,96.0,0,0
