gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,NY New York,NY Albany County 36001,9,Summary of All HUD Programs,1,A,Albany County,36001,9016.0,89,7327,98,6.04692280407402,10,1.84107860309101,13643.6239538535,337.61221980194,484.832696829664,14479.9021596672,7864.31322355646,7,32,25,17,20,28,4,69,25,96,73,3,29,71,29,41,32,23,3,43,19,35,5,54,46,0,1,10,16.7495335935253,71.0843529444278,72,112.421884917094,56,21,23,11,25,42,18,A,A,A,-1,-1,NY,-1,A,albany ny,46,54,46,0,0
County,NY New York,NY Allegany County 36003,9,Summary of All HUD Programs,1,A,Allegany County,36003,206.0,94,191,99,5.66140410387334,5,1.68603906530869,326.68704339162,268.177617403895,348.457564296682,10749.4890371721,6375.58717253332,6,57,25,7,5,9,8,81,25,97,75,2,21,69,18,82,84,53,0,45,35,20,0,4,4,0,0,0,23.769696969697,68.6533506096274,79,158.343996696306,35,41,24,34,15,3,59,A,A,A,-1,-1,NY,-1,A,allegany ny,96,4,96,0,0
County,NY New York,NY Bronx County 36005,9,Summary of All HUD Programs,1,A,Bronx County,36005,121138.0,97,111755,96,5.83873992998181,3,2.31092835589653,268710.406080047,362.965319237815,804.026171394955,17212.7289520498,7442.7591867166,3,35,19,14,28,37,8,54,26,90,73,4,39,81,40,25,45,18,1,48,21,29,3,97,45,1,1,64,18.177639271374,147.955162179571,57,71.0519566928057,33,41,26,18,40,95,2,A,A,A,-1,-1,NY,-1,A,bronx ny,3,97,3,0,0
County,NY New York,NY Broome County 36007,9,Summary of All HUD Programs,1,A,Broome County,36007,2932.0,85,2303,96,7.85360923578782,20,1.95714757015303,5114.23872458268,257.553679828868,388.280475119236,13609.6318153243,6934.67284029047,5,35,25,20,16,22,6,71,29,94,61,7,24,70,25,44,30,22,5,39,18,38,7,28,21,0,2,6,10.3436938667616,65.8781029527424,69,82.597204241069,50,28,22,13,29,21,23,A,A,A,-1,-1,NY,-1,A,broome ny,72,28,72,0,0
County,NY New York,NY Cattaraugus County 36009,9,Summary of All HUD Programs,1,A,Cattaraugus County,36009,1013.0,93,952,99,5.93748146964827,11,1.97809953103591,1888.21508830361,294.182954275457,386.323307888273,12882.6780975518,6515.56029926066,7,38,28,15,13,20,5,74,29,92,61,10,24,69,28,54,36,27,5,45,20,30,3,10,6,1,0,2,13.2966203005578,65.1918925576509,76,130.094216346855,45,24,31,20,18,10,53,A,A,A,-1,-1,NY,-1,A,cattaraugus ny,90,10,90,0,0
County,NY New York,NY Cayuga County 36011,9,Summary of All HUD Programs,1,A,Cayuga County,36011,1740.0,95,1357,99,5.95706620900219,10,1.93066212470688,2999.87413125901,274.032397764291,400.479997950907,13610.6207558116,7016.04014464937,8,30,26,19,17,22,8,69,29,91,59,4,30,77,29,40,26,21,3,40,17,39,9,15,12,1,1,3,26.8275889051683,75.1169619323728,76,123.425422140825,44,31,25,18,19,10,42,A,A,A,-1,-1,NY,-1,A,cayuga ny,85,15,85,0,0
County,NY New York,NY Chautauqua County 36013,9,Summary of All HUD Programs,1,A,Chautauqua County,36013,2626.0,93,2459,98,5.34398108995449,9,1.84254690341328,4633.43486702126,287.677574250719,393.695557215324,12194.5225557263,6605.4471293696,6,41,27,17,9,13,10,76,28,94,64,5,25,73,27,55,38,29,4,38,18,40,7,25,6,1,0,19,18.4523528066621,73.4336711637737,79,105.43112318931,55,26,20,10,22,15,43,A,A,A,-1,-1,NY,-1,A,chautauqua ny,75,25,75,0,0
County,NY New York,NY Chemung County 36015,9,Summary of All HUD Programs,1,A,Chemung County,36015,2051.0,94,1838,98,5.30884541696405,9,1.79392860428455,3376.08264445509,269.12921585199,411.801513411179,11504.0362215444,6401.73097374565,13,37,27,15,9,17,8,73,26,95,68,6,28,76,30,47,42,28,8,39,19,33,5,30,17,10,1,6,14.318310513477,68.2295850910196,30,120.278413893239,48,33,19,16,28,16,37,A,A,A,-1,-1,NY,-1,A,chemung ny,70,30,70,0,0
County,NY New York,NY Chenango County 36017,9,Summary of All HUD Programs,1,A,Chenango County,36017,667.0,87,563,98,5.38612520270888,9,1.79734601417268,1020.65771496195,266.966474482206,411.903804063826,11785.0840240743,6557.2505052717,11,37,27,16,9,14,7,78,28,94,61,3,26,73,24,58,34,31,3,38,20,38,9,4,2,0,0,2,17.7748855217474,66.3177917127156,67,112.51330863563,64,21,15,4,18,3,44,A,A,A,-1,-1,NY,-1,A,chenango ny,96,4,96,0,0
County,NY New York,NY Clinton County 36019,9,Summary of All HUD Programs,1,A,Clinton County,36019,1566.0,95,1496,98,4.99208052635401,12,1.70615289320273,2581.63137587005,317.406787816864,333.557446936737,13514.7840336238,7911.2500654791,4,36,28,18,13,17,4,79,29,93,64,6,21,73,22,55,43,34,3,37,18,41,7,5,2,0,1,2,32.5403980218078,71.5754110546755,75,96.3286662815393,55,26,19,15,22,7,38,A,A,A,-1,-1,NY,-1,A,clinton ny,95,5,95,0,0
County,NY New York,NY Columbia County 36021,9,Summary of All HUD Programs,1,A,Columbia County,36021,931.0,87,822,94,6.22485259925068,11,1.96941181337055,1708.41482456921,297.464631499059,492.14299870923,12356.0148640357,6234.27922921538,12,34,25,17,12,23,4,71,24,97,74,6,31,72,30,37,32,21,8,43,17,33,4,35,29,0,3,7,20.6476991832476,72.466031108529,85,117.665662729493,49,32,19,7,22,29,31,A,A,A,-1,-1,NY,-1,A,columbia ny,65,35,65,0,0
County,NY New York,NY Cortland County 36023,9,Summary of All HUD Programs,1,A,Cortland County,36023,842.0,93,774,98,4.71709329736558,7,1.64503336980045,1109.81088056558,306.459586594761,353.03381133942,13055.7422016643,7932.40791112579,5,32,32,19,12,15,5,78,30,95,56,3,21,73,20,55,31,27,4,33,16,47,10,7,2,2,0,5,8.1780206902574,65.7660668038361,81,106.540352432284,66,20,14,8,23,5,40,A,A,A,-1,-1,NY,-1,A,cortland ny,93,7,93,0,0
County,NY New York,NY Delaware County 36025,9,Summary of All HUD Programs,1,A,Delaware County,36025,799.0,88,714,99,5.57183167472866,15,1.86367114479625,1316.73816682809,301.346329275119,414.808580559779,12411.5357090398,6644.1326071391,6,34,31,20,8,23,2,75,29,96,57,7,24,73,26,40,30,22,5,38,16,40,6,6,2,0,0,4,7.1764528760962,52.7083137856654,93,123.744389979091,46,33,21,21,13,4,59,A,A,A,-1,-1,NY,-1,A,delaware ny,94,6,94,0,0
County,NY New York,NY Dutchess County 36027,9,Summary of All HUD Programs,1,A,Dutchess County,36027,4666.0,89,3709,99,5.60418055818887,7,2.08304371841095,7664.76532590682,367.162343588928,677.835630868659,15758.9299101544,7552.49127535157,8,25,23,18,26,27,6,66,23,96,74,4,35,79,36,36,34,20,3,45,18,34,5,58,45,1,1,14,28.0702507211192,83.4589829278959,63,88.9232517417917,49,27,24,7,20,45,28,A,A,A,-1,-1,NY,-1,A,dutchess ny,42,58,42,0,0
County,NY New York,NY Erie County 36029,9,Summary of All HUD Programs,1,A,Erie County,36029,25515.0,92,22025,98,6.25292372716389,11,1.92416324459186,43242.2356171849,288.866856976827,493.304854718481,12327.4892672079,6398.70454577852,10,38,25,16,12,21,8,70,25,96,73,3,33,76,33,41,35,23,4,45,19,32,5,63,52,1,1,11,45.9570544092644,81.7111858756039,68,132.585938178895,42,29,30,22,25,46,31,A,A,A,-1,-1,NY,-1,A,erie ny,37,63,37,0,0
County,NY New York,NY Essex County 36031,9,Summary of All HUD Programs,1,A,Essex County,36031,568.0,90,510,97,5.12505687333634,12,1.66287598717921,882.852322972013,314.341904798567,447.009761370021,12733.0332928768,7650.28828336902,3,38,32,17,10,17,1,82,30,93,59,6,19,67,19,63,38,35,4,36,16,43,8,2,1,0,0,1,20.1558311337079,67.7369602764122,93,123.828873070262,57,27,16,15,12,10,59,A,A,A,-1,-1,NY,-1,A,essex ny,98,2,98,0,0
County,NY New York,NY Franklin County 36033,9,Summary of All HUD Programs,1,A,Franklin County,36033,1266.0,94,1037,97,6.46837432256401,15,1.78481830907304,2105.02529341401,268.643222012916,343.223540687088,13082.5799027455,7323.55500767256,5,38,29,15,14,21,5,73,31,91,59,8,22,70,24,48,37,27,4,40,20,36,6,5,0,3,0,1,5.82414429425785,54.7215194675202,51,124.176594104109,58,23,18,8,14,18,53,A,A,A,-1,-1,NY,-1,A,franklin ny,95,5,95,0,0
County,NY New York,NY Fulton County 36035,9,Summary of All HUD Programs,1,A,Fulton County,36035,848.0,93,786,99,5.21700719885266,9,1.62651054805789,1273.89601491409,289.977822928257,371.586234094098,12889.143536908,7883.88130677838,4,37,32,14,12,13,2,84,31,92,59,5,17,72,20,62,33,33,1,31,19,49,7,6,3,0,0,3,20.9773403648944,72.3504151977654,60,117.456463941055,58,24,18,17,19,5,40,A,A,A,-1,-1,NY,-1,A,fulton ny,94,6,94,0,0
County,NY New York,NY Genesee County 36037,9,Summary of All HUD Programs,1,A,Genesee County,36037,1393.0,95,1103,98,4.91845374764605,8,1.89741167554993,2124.23472887262,303.699561131969,411.835607075502,13421.2849960145,7073.93123336159,6,32,30,17,14,17,9,72,28,93,64,5,28,75,30,53,28,25,4,44,15,38,9,15,11,2,0,3,13.2481768216136,68.8136295695071,76,114.599252480904,55,23,22,10,11,10,52,A,A,A,-1,-1,NY,-1,A,genesee ny,85,15,85,0,0
County,NY New York,NY Greene County 36039,9,Summary of All HUD Programs,1,A,Greene County,36039,533.0,96,505,98,6.09093580996721,8,1.70212503655506,875.192643948685,332.307464604535,423.41685201836,14232.8018389513,8347.62708293614,3,33,26,20,18,18,2,80,32,90,55,3,22,75,21,56,33,32,1,33,19,47,8,21,12,2,1,6,29.2066078772238,78.6409603170698,89,102.32220505347,55,27,18,12,15,12,52,A,A,A,-1,-1,NY,-1,A,greene ny,79,21,79,0,0
County,NY New York,NY Hamilton County 36041,9,Summary of All HUD Programs,1,A,Hamilton County,36041,40.0,93,38,99,5.41924272756263,5,1.78034062897029,73.779616130893,305.985459554264,486.14359805326,12468.33377286,6844.42585880979,7,39,22,17,15,41,0,59,28,90,63,5,24,68,27,40,73,29,7,44,22,27,5,5,2,0,0,2,-1.0,87.6560135224057,88,190.011361268586,37,34,29,27,11,2,69,A,A,A,-1,-1,NY,-1,A,hamilton ny,95,5,95,0,0
County,NY New York,NY Herkimer County 36043,9,Summary of All HUD Programs,1,A,Herkimer County,36043,1187.0,91,1072,96,5.95214312566097,13,1.69551421088442,1929.20250495627,275.850763531185,387.116452468869,12291.9270760156,7244.34608034495,10,34,28,17,11,14,6,79,29,91,59,5,20,72,21,50,24,25,3,33,17,46,9,3,1,0,0,2,11.2190423749591,66.1406132000865,63,85.0305224728227,62,20,18,10,15,3,46,A,A,A,-1,-1,NY,-1,A,herkimer ny,97,3,97,0,0
County,NY New York,NY Jefferson County 36045,9,Summary of All HUD Programs,1,A,Jefferson County,36045,2747.0,93,2557,97,5.49661068303083,10,1.87498305834043,4913.03298309126,300.019332190237,411.077333116314,13202.6712911631,7036.43910019585,7,36,27,17,14,23,2,74,31,90,58,7,25,73,28,43,40,24,5,40,17,38,7,8,5,1,1,3,10.7391003678697,72.2017407872463,62,127.936537233676,55,26,18,8,19,11,39,A,A,A,-1,-1,NY,-1,A,jefferson ny,92,8,92,0,0
County,NY New York,NY Kings County 36047,9,Summary of All HUD Programs,1,A,Kings County,36047,128427.0,98,114909,97,5.73727254550242,4,2.37317058918114,296693.627489668,357.335125256461,803.313775926926,17920.8687324308,7545.93941294694,3,35,21,13,28,35,7,58,27,88,72,8,30,74,31,23,45,18,1,41,19,39,5,78,53,1,3,28,13.4776086229865,155.754245963317,44,71.0836038826227,37,37,25,17,39,82,1,A,A,A,-1,-1,NY,-1,A,kings ny,22,78,22,0,0
County,NY New York,NY Lewis County 36049,9,Summary of All HUD Programs,1,A,Lewis County,36049,456.0,95,426,98,5.97905326531247,11,2.01746669245168,875.424738603259,308.554521940614,383.804514466744,12193.5293654152,6043.98050834601,9,38,26,15,12,18,1,81,28,96,61,7,30,66,27,55,42,27,6,52,16,27,4,2,0,2,0,0,6.62833333333334,59.2887408009564,96,156.029179979443,59,23,18,2,13,2,64,A,A,A,-1,-1,NY,-1,A,lewis ny,98,2,98,0,0
County,NY New York,NY Livingston County 36051,9,Summary of All HUD Programs,1,A,Livingston County,36051,732.0,95,690,99,6.2064978321794,12,2.00353692239568,1425.29902749575,303.231511087626,465.326724299713,12707.9310923371,6294.86800558733,7,35,28,18,12,19,9,71,24,97,76,11,27,74,31,59,57,33,3,49,21,26,3,10,4,1,0,6,18.4358208955224,62.2375760355865,97,131.351240101224,42,30,29,17,14,5,59,A,A,A,-1,-1,NY,-1,A,livingston ny,90,10,90,0,0
County,NY New York,NY Madison County 36053,9,Summary of All HUD Programs,1,A,Madison County,36053,940.0,90,851,98,5.14101894886914,13,1.85821258745119,1599.49469682725,294.55184054728,398.190471674908,12626.8768135581,6795.17343646761,8,33,30,18,11,18,9,71,25,97,70,6,28,72,28,43,34,23,6,41,16,37,7,4,2,1,1,1,8.52583308508681,60.1111577430553,79,117.571385052769,60,25,15,5,13,4,52,A,A,A,-1,-1,NY,-1,A,madison ny,96,4,96,0,0
County,NY New York,NY Monroe County 36055,9,Summary of All HUD Programs,1,A,Monroe County,36055,18677.0,96,14448,98,6.07416911563718,10,2.03719000641015,34075.1917929627,293.929153174705,442.641410335629,14229.9382763156,6974.93213469156,5,34,25,18,18,27,7,65,26,95,69,5,34,75,36,42,39,22,5,48,19,28,4,64,49,0,1,17,17.5715233568064,73.9913600496144,60,118.33887437626,48,26,26,10,23,44,38,A,A,A,-1,-1,NY,-1,A,monroe ny,36,64,36,0,0
County,NY New York,NY Montgomery County 36057,9,Summary of All HUD Programs,1,A,Montgomery County,36057,1383.0,93,1095,95,5.72379152695596,11,2.09424582411078,2501.35360340338,279.545299578737,416.513557332686,13330.4222711621,6363.52258912543,8,34,26,15,16,24,5,69,27,93,67,6,31,73,33,37,50,23,5,42,19,35,6,39,5,4,2,32,12.013819524531,61.710816114896,72,149.344244910514,40,28,32,19,17,14,35,A,A,A,-1,-1,NY,-1,A,montgomery ny,61,39,61,0,0
County,NY New York,NY Nassau County 36059,9,Summary of All HUD Programs,1,A,Nassau County,36059,12610.0,93,11519,98,6.48913916409105,4,1.99745507861815,23364.8113629226,438.76131286902,872.665668558413,18307.4066374192,9153.60402592807,3,26,22,16,33,26,5,67,22,96,78,3,29,80,30,32,22,17,1,37,15,48,8,67,52,0,2,15,28.7699932324472,106.044866802517,58,99.2761220763288,58,21,21,5,12,55,49,A,A,A,-1,-1,NY,-1,A,nassau ny,33,67,33,0,0
