Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2023-12-31 00:00:00,County,NY New York,NY Albany County 36001,9,Mod Rehab,4,,Albany County,36001,0,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,NY,,,albany ny,-4,-4,0,0
2023-12-31 00:00:00,County,NY New York,NY Albany County 36001,9,811/PRAC,9,,Albany County,36001,29,97,28,99,5,7,1.1,30,533,403,22953,21423,-1,-1,11,46,43,11,-1,89,29,96,71,-1,-1,50,-1,100,100,93,-1,29,43,29,-1,18,14,-1,4,79,-1,-1,-1,0,4,-1,129,36,54,64,36,-1,29,38,75,21,,,,,,NY,,,albany ny,21,79,0,0
2023-12-31 00:00:00,County,NY New York,NY Albany County 36001,9,202/PRAC,8,,Albany County,36001,165,93,164,100,6,15,1.1,180,402,203,17522,15965,4,6,33,26,31,4,-1,96,23,98,80,-1,-1,60,-1,100,9,9,-1,-1,1,99,12,30,10,1,16,63,-1,2,2,4,2,-1,71,100,47,100,-1,-1,-1,9,30,44,,,,,,NY,,,albany ny,31,69,0,1
2023-12-31 00:00:00,County,NY New York,NY Albany County 36001,9,Public Housing,2,,Albany County,36001,1701,81,1364,99,6,10,1.9,2593,477,852,22142,11647,7,6,34,14,40,35,2,56,25,88,72,3,31,68,29,26,77,27,1,42,19,38,2,79,62,0,1,21,3,11,1,15,1,42,123,52,96,50,26,23,12,29,74,10,,,,,,NY,,,albany ny,79,21,0,0
2023-12-31 00:00:00,County,NY New York,NY Albany County 36001,9,Project Based Section 8,5,,Albany County,36001,1966,91,1809,100,6,14,1.4,2507,398,738,16853,12161,3,5,43,21,28,14,2,82,21,99,84,1,16,65,16,52,37,33,3,23,15,58,6,41,28,1,2,56,2,2,5,9,2,-1,76,87,75,79,13,8,2,20,40,23,,,,,,NY,,,albany ny,44,56,0,0
2023-12-31 00:00:00,County,NY New York,NY Albany County 36001,9,Housing Choice Vouchers,3,,Albany County,36001,5200,68,3585,100,5,10,1.9,6633,473,742,19198,10376,6,5,36,17,36,26,2,69,22,97,78,1,30,72,29,44,64,32,1,40,23,36,3,67,52,0,1,33,4,9,1,14,2,31,98,78,155,47,26,26,19,25,58,24,,,,,,NY,,,albany ny,67,33,0,0
2023-12-31 00:00:00,County,NY New York,NY Albany County 36001,9,Summary of All HUD Programs,1,,Albany County,36001,9061,76,6952,100,6,11,1.7,11945,453,749,19137,11137,6,5,37,17,35,24,2,70,22,96,78,1,26,69,25,42,54,31,1,35,19,44,4,61,47,1,2,38,3,7,2,13,2,34,97,76,119,57,22,20,13,24,56,21,,,,,,NY,,,albany ny,62,38,0,0
2023-12-31 00:00:00,County,NY New York,NY Allegany County 36003,9,Summary of All HUD Programs,1,,Allegany County,36003,179,91,168,100,5,4,1.4,242,340,1411,13665,9486,4,5,63,13,15,7,5,86,23,100,82,2,13,61,13,74,96,64,1,27,27,44,1,5,3,-1,-1,95,1,1,-1,2,1,18,100,73,157,60,29,11,21,17,7,70,,,,,,NY,,,allegany ny,5,95,0,0
2023-12-31 00:00:00,County,NY New York,NY Allegany County 36003,9,Housing Choice Vouchers,3,,Allegany County,36003,179,91,168,100,5,4,1.4,242,340,1411,13665,9486,4,5,63,13,15,7,5,86,23,100,82,2,13,61,13,74,96,64,1,27,27,44,1,5,3,-1,-1,95,1,1,-1,2,1,18,100,73,157,60,29,11,21,17,7,70,,,,,,NY,,,allegany ny,5,95,0,0
2023-12-31 00:00:00,County,NY New York,NY Bronx County 36005,9,811/PRAC,9,,Bronx County,36005,101,97,100,100,7,9,1.3,129,443,1320,17840,13829,4,2,38,32,23,15,10,74,18,97,91,-1,8,44,7,100,95,81,1,42,35,22,-1,76,37,1,1,11,10,15,12,37,0,-1,108,51,77,85,15,-1,-1,25,97,2,,,,,,NY,,,bronx ny,76,11,13,0
