State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
NY,Albany County,23150,26500,29800,33100,35750,38400,41050,43700,13900,15900,17850,19850,21450,23050,24600,26200,37050,42350,47650,52950,57200,61400,65650,69900
NY,Allegany County,17450,19950,22450,24950,26950,28950,30950,32950,10500,12000,13450,14950,16150,17350,18550,19750,27950,31950,35950,39900,43100,46300,49500,52700
NY,Bronx County,24800,28350,31900,35450,38300,41100,43950,46800,14900,17000,19150,21250,22950,24650,26350,28050,39700,45350,51050,56700,61250,65750,70300,74850
NY,Broome County,18950,21650,24350,27050,29200,31400,33550,35700,11400,13000,14650,16250,17550,18850,20150,21450,30300,34650,38950,43300,46750,50250,53700,57150
NY,Cattaraugus County,17450,19950,22450,24950,26950,28950,30950,32950,10500,12000,13450,14950,16150,17350,18550,19750,27950,31950,35950,39900,43100,46300,49500,52700
NY,Cayuga County,20100,22950,25850,28700,31000,33300,35600,37900,12050,13800,15500,17200,18600,20000,21350,22750,32150,36750,41350,45900,49600,53250,56950,60600
NY,Chautauqua County,17450,19950,22450,24950,26950,28950,30950,32950,10500,12000,13450,14950,16150,17350,18550,19750,27950,31950,35950,39900,43100,46300,49500,52700
NY,Chemung County,18350,20950,23600,26200,28300,30400,32500,34600,11000,12550,14150,15700,16950,18200,19450,20700,29350,33500,37700,41900,45250,48600,51950,55300
NY,Chenango County,17450,19950,22450,24950,26950,28950,30950,32950,10500,12000,13450,14950,16150,17350,18550,19750,27950,31950,35950,39900,43100,46300,49500,52700
NY,Clinton County,19100,21850,24550,27300,29500,31650,33850,36050,11500,13100,14750,16400,17700,19000,20350,21650,30600,34950,39350,43700,47200,50700,54200,57700
NY,Columbia County,20600,23550,26500,29450,31800,34150,36500,38850,12350,14100,15900,17650,19050,20450,21900,23300,32950,37700,42400,47100,50850,54650,58400,62150
NY,Cortland County,17650,20150,22700,25200,27200,29250,31250,33250,10550,12100,13600,15100,16300,17500,18700,19950,28200,32250,36250,40300,43500,46750,49950,53200
NY,Delaware County,17450,19950,22450,24950,26950,28950,30950,32950,10500,12000,13450,14950,16150,17350,18550,19750,27950,31950,35950,39900,43100,46300,49500,52700
NY,Dutchess County,25700,29350,33050,36700,39650,42550,45500,48450,15400,17600,19800,22000,23750,25500,27300,29050,41100,46950,52850,58700,63400,68100,72800,77500
NY,Erie County,20400,23300,26250,29150,31500,33800,36150,38500,12250,14000,15750,17500,18900,20300,21700,23100,32650,37300,42000,46650,50400,54100,57850,61600
NY,Essex County,17550,20100,22600,25100,27100,29100,31100,33150,10550,12050,13550,15050,16250,17450,18650,19850,28100,32100,36150,40150,43350,46550,49800,53000
NY,Franklin County,17450,19950,22450,24950,26950,28950,30950,32950,10500,12000,13450,14950,16150,17350,18550,19750,27950,31950,35950,39900,43100,46300,49500,52700
NY,Fulton County,17450,19950,22450,24950,26950,28950,30950,32950,10500,12000,13450,14950,16150,17350,18550,19750,27950,31950,35950,39900,43100,46300,49500,52700
NY,Genesee County,21750,24850,27950,31050,33550,36000,38500,41000,13050,14900,16800,18650,20150,21650,23150,24600,34800,39750,44750,49700,53700,57650,61650,65600
NY,Greene County,18600,21300,23950,26600,28750,30850,33000,35100,11150,12750,14350,15950,17250,18500,19800,21050,29800,34050,38300,42550,45950,49350,52750,56150
NY,Hamilton County,17450,19950,22450,24950,26950,28950,30950,32950,10500,12000,13450,14950,16150,17350,18550,19750,27950,31950,35950,39900,43100,46300,49500,52700
NY,Herkimer County,18400,21050,23650,26300,28400,30500,32600,34700,11050,12650,14200,15800,17050,18350,19600,20850,29450,33700,37900,42100,45450,48850,52200,55550
NY,Jefferson County,17450,19950,22450,24950,26950,28950,30950,32950,10500,12000,13450,14950,16150,17350,18550,19750,27950,31950,35950,39900,43100,46300,49500,52700
NY,Kings County,24800,28350,31900,35450,38300,41100,43950,46800,14900,17000,19150,21250,22950,24650,26350,28050,39700,45350,51050,56700,61250,65750,70300,74850
NY,Lewis County,17450,19950,22450,24950,26950,28950,30950,32950,10500,12000,13450,14950,16150,17350,18550,19750,27950,31950,35950,39900,43100,46300,49500,52700
NY,Livingston County,22450,25650,28850,32050,34600,37200,39750,42300,13500,15400,17350,19250,20800,22350,23850,25400,35900,41050,46150,51300,55400,59500,63600,67700
