State code,PUMA,County code,State abbr.,County_Name,allocation factor
39,100,39039,OH,Defiance OH,0.314
39,100,39051,OH,Fulton OH,0.0008
39,100,39069,OH,Henry OH,0.2267
39,100,39125,OH,Paulding OH,0.1542
39,100,39171,OH,Williams OH,0.3043
39,200,39051,OH,Fulton OH,0.3687
39,200,39063,OH,Hancock OH,0.0001
39,200,39069,OH,Henry OH,0.0001
39,200,39095,OH,Lucas OH,0.0319
39,200,39173,OH,Wood OH,0.5992
39,300,39051,OH,Fulton OH,0.0006
39,300,39095,OH,Lucas OH,0.8304
39,300,39173,OH,Wood OH,0.169
39,400,39095,OH,Lucas OH,1.0
39,500,39095,OH,Lucas OH,1.0
39,600,39095,OH,Lucas OH,0.2762
39,600,39123,OH,Ottawa OH,0.3839
39,600,39173,OH,Wood OH,0.3399
39,700,39043,OH,Erie OH,0.561
39,700,39077,OH,Huron OH,0.0014
39,700,39093,OH,Lorain OH,0.0007
39,700,39143,OH,Sandusky OH,0.4369
39,801,39093,OH,Lorain OH,1.0
39,802,39005,OH,Ashland OH,0.0001
39,802,39035,OH,Cuyahoga OH,0.0059
39,802,39077,OH,Huron OH,0.0008
39,802,39093,OH,Lorain OH,0.9932
39,901,39035,OH,Cuyahoga OH,1.0
39,902,39035,OH,Cuyahoga OH,1.0
39,903,39035,OH,Cuyahoga OH,0.9992
39,903,39103,OH,Medina OH,0.0008
39,904,39035,OH,Cuyahoga OH,1.0
39,905,39035,OH,Cuyahoga OH,1.0
39,906,39035,OH,Cuyahoga OH,1.0
39,907,39035,OH,Cuyahoga OH,1.0
39,908,39035,OH,Cuyahoga OH,1.0
39,909,39035,OH,Cuyahoga OH,1.0
39,910,39035,OH,Cuyahoga OH,0.9993
39,910,39085,OH,Lake OH,0.0007
39,1000,39085,OH,Lake OH,1.0
39,1100,39007,OH,Ashtabula OH,0.0003
39,1100,39085,OH,Lake OH,0.9997
39,1200,39055,OH,Geauga OH,0.8085
39,1200,39085,OH,Lake OH,0.1914
39,1300,39007,OH,Ashtabula OH,0.9911
39,1300,39055,OH,Geauga OH,0.0034
39,1300,39085,OH,Lake OH,0.0023
39,1300,39155,OH,Trumbull OH,0.0032
39,1400,39007,OH,Ashtabula OH,0.0041
39,1400,39029,OH,Columbiana OH,0.0011
39,1400,39055,OH,Geauga OH,0.0041
39,1400,39099,OH,Mahoning OH,0.3103
39,1400,39133,OH,Portage OH,0.0038
39,1400,39151,OH,Stark OH,0.0013
39,1400,39155,OH,Trumbull OH,0.6752
39,1500,39099,OH,Mahoning OH,0.9944
39,1500,39155,OH,Trumbull OH,0.0056
39,1600,39099,OH,Mahoning OH,0.0014
39,1600,39155,OH,Trumbull OH,0.9986
39,1700,39099,OH,Mahoning OH,0.0001
39,1700,39133,OH,Portage OH,0.9952
39,1700,39153,OH,Summit OH,0.0046
39,1700,39155,OH,Trumbull OH,0.0002
39,1801,39035,OH,Cuyahoga OH,0.0098
39,1801,39103,OH,Medina OH,0.0008
39,1801,39153,OH,Summit OH,0.9894
39,1802,39153,OH,Summit OH,1.0
39,1803,39153,OH,Summit OH,1.0
39,1804,39153,OH,Summit OH,1.0
39,1805,39103,OH,Medina OH,0.0033
39,1805,39153,OH,Summit OH,0.9953
39,1805,39169,OH,Wayne OH,0.0014
39,1900,39035,OH,Cuyahoga OH,0.0043
39,1900,39093,OH,Lorain OH,0.0001
39,1900,39103,OH,Medina OH,0.9956
39,2000,39005,OH,Ashland OH,0.0003
39,2000,39075,OH,Holmes OH,0.0037
39,2000,39103,OH,Medina OH,0.0014
39,2000,39153,OH,Summit OH,0.0002
39,2000,39169,OH,Wayne OH,0.9944
39,2100,39005,OH,Ashland OH,0.4721
39,2100,39075,OH,Holmes OH,0.0012
39,2100,39077,OH,Huron OH,0.5259
39,2100,39103,OH,Medina OH,0.0008
39,2200,39139,OH,Richland OH,1.0
39,2300,39033,OH,Crawford OH,0.3527
39,2300,39063,OH,Hancock OH,0.0013
39,2300,39147,OH,Seneca OH,0.4622
39,2300,39175,OH,Wyandot OH,0.1838
39,2400,39003,OH,Allen OH,0.0023
39,2400,39063,OH,Hancock OH,0.683
39,2400,39137,OH,Putnam OH,0.3146
39,2500,39003,OH,Allen OH,0.9983
39,2500,39137,OH,Putnam OH,0.0002
39,2500,39161,OH,Van Wert OH,0.0015
39,2600,39003,OH,Allen OH,0.0016
39,2600,39011,OH,Auglaize OH,0.3941
39,2600,39107,OH,Mercer OH,0.36
39,2600,39161,OH,Van Wert OH,0.2443
39,2700,39003,OH,Allen OH,0.0005
39,2700,39021,OH,Champaign OH,0.3328
39,2700,39023,OH,Clark OH,0.0008
39,2700,39065,OH,Hardin OH,0.2655
39,2700,39091,OH,Logan OH,0.3998
39,2700,39159,OH,Union OH,0.0006
39,2800,39005,OH,Ashland OH,0.0003
39,2800,39041,OH,Delaware OH,0.0003
39,2800,39075,OH,Holmes OH,0.0007
39,2800,39083,OH,Knox OH,0.3835
39,2800,39089,OH,Licking OH,0.0002
39,2800,39101,OH,Marion OH,0.4007
39,2800,39117,OH,Morrow OH,0.2143
39,2800,39159,OH,Union OH,0.0001
39,2900,39005,OH,Ashland OH,0.0006
