fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,state_code,County_Name,pop2017,state,metro
547,591,738,940,1001,39,Adams County,27925,OH,0
567,622,767,999,1120,39,Allen County,104155,OH,1
490,561,738,930,1198,39,Ashland County,53300,OH,0
495,566,738,982,1040,39,Ashtabula County,98620,OH,0
738,762,868,1073,1177,39,Athens County,65565,OH,0
556,591,738,1048,1152,39,Auglaize County,45780,OH,0
539,588,762,990,1140,39,Belmont County,68890,OH,1
527,603,793,980,1075,39,Brown County,43800,OH,1
643,742,968,1302,1483,39,Butler County,375700,OH,1
510,584,768,976,1041,39,Carroll County,27825,OH,1
556,579,750,1041,1144,39,Champaign County,39005,OH,0
564,635,821,1020,1113,39,Clark County,135520,OH,1
643,742,968,1302,1483,39,Clermont County,202165,OH,1
513,629,772,1027,1221,39,Clinton County,41870,OH,0
490,635,738,992,1075,39,Columbiana County,104585,OH,0
547,563,738,1000,1104,39,Coshocton County,36600,OH,0
534,610,738,938,1001,39,Crawford County,42230,OH,0
632,732,893,1169,1224,39,Cuyahoga County,1257400,OH,1
547,609,738,999,1002,39,Darke County,51920,OH,0
572,576,758,1054,1096,39,Defiance County,38310,OH,0
730,829,1032,1281,1426,39,Delaware County,193025,OH,1
636,645,808,999,1224,39,Erie County,75370,OH,0
730,829,1032,1281,1426,39,Fairfield County,151525,OH,1
526,596,750,936,1027,39,Fayette County,28660,OH,0
730,829,1032,1281,1426,39,Franklin County,1253505,OH,1
553,623,806,1094,1193,39,Fulton County,42295,OH,1
547,611,738,912,1082,39,Gallia County,30205,OH,0
632,732,893,1169,1224,39,Geauga County,93895,OH,1
606,680,872,1164,1248,39,Greene County,164825,OH,1
497,561,738,932,1147,39,Guernsey County,39415,OH,0
643,742,968,1302,1483,39,Hamilton County,808705,OH,1
562,647,820,1075,1404,39,Hancock County,75510,OH,0
547,608,738,948,1001,39,Hardin County,31575,OH,0
547,563,738,924,1001,39,Harrison County,15395,OH,0
547,648,738,1001,1098,39,Henry County,27465,OH,0
590,594,738,992,1051,39,Highland County,43030,OH,0
557,561,738,1032,1054,39,Hocking County,28545,OH,1
547,561,738,912,1001,39,Holmes County,43810,OH,0
568,575,756,965,1042,39,Huron County,58495,OH,0
547,561,738,1005,1177,39,Jackson County,32625,OH,0
557,578,738,997,1078,39,Jefferson County,67350,OH,1
600,604,746,1007,1012,39,Knox County,60945,OH,0
632,732,893,1169,1224,39,Lake County,229700,OH,1
570,659,791,1058,1179,39,Lawrence County,61055,OH,1
730,829,1032,1281,1426,39,Licking County,170680,OH,1
584,599,788,1018,1069,39,Logan County,45325,OH,0
632,732,893,1169,1224,39,Lorain County,305405,OH,1
553,623,806,1094,1193,39,Lucas County,433405,OH,1
730,829,1032,1281,1426,39,Madison County,43730,OH,1
522,589,738,977,1038,39,Mahoning County,231855,OH,1
624,629,827,1022,1121,39,Marion County,65485,OH,0
632,732,893,1169,1224,39,Medina County,176360,OH,1
490,648,738,912,1263,39,Meigs County,23235,OH,0
557,561,738,984,1001,39,Mercer County,40725,OH,0
606,680,872,1164,1248,39,Miami County,104080,OH,1
547,648,738,948,1070,39,Monroe County,14240,OH,0
606,680,872,1164,1248,39,Montgomery County,531985,OH,1
547,639,738,912,1037,39,Morgan County,14775,OH,0
730,829,1032,1281,1426,39,Morrow County,34935,OH,1
568,572,752,957,1056,39,Muskingum County,85935,OH,0
547,648,738,912,1037,39,Noble County,14500,OH,0
538,617,785,970,1148,39,Ottawa County,40770,OH,1
547,643,738,995,1060,39,Paulding County,18950,OH,0
523,561,738,912,1060,39,Perry County,35985,OH,1
730,829,1032,1281,1426,39,Pickaway County,57075,OH,1
547,583,738,946,1062,39,Pike County,28290,OH,0
610,702,890,1126,1207,39,Portage County,162080,OH,1
578,582,766,1009,1200,39,Preble County,41330,OH,0
547,628,738,912,1001,39,Putnam County,34035,OH,0
497,563,738,994,1157,39,Richland County,121535,OH,1
572,617,784,969,1063,39,Ross County,77125,OH,0
552,598,744,1040,1109,39,Sandusky County,59560,OH,0
585,648,738,1048,1125,39,Scioto County,76870,OH,0
523,589,738,917,1026,39,Seneca County,55550,OH,0
521,617,740,1002,1087,39,Shelby County,48900,OH,0
510,584,768,976,1041,39,Stark County,374275,OH,1
610,702,890,1126,1207,39,Summit County,541320,OH,1
522,589,738,977,1038,39,Trumbull County,203340,OH,1
612,616,811,1004,1135,39,Tuscarawas County,92530,OH,0
757,812,1069,1321,1450,39,Union County,54690,OH,1
547,568,738,990,1001,39,Van Wert County,28260,OH,0
547,607,738,912,1204,39,Vinton County,13140,OH,0
643,742,968,1302,1483,39,Warren County,223870,OH,1
580,584,738,912,1072,39,Washington County,60870,OH,0
584,598,787,1018,1118,39,Wayne County,115915,OH,0
547,599,738,924,1001,39,Williams County,37060,OH,0
553,623,806,1094,1193,39,Wood County,129505,OH,1
547,597,738,912,1005,39,Wyandot County,22190,OH,0
