sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,pct_ownsfd,fedhse,cbsa,placefips,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Adams County,39001,-1,-1,571.0,-1.0,4.0,16.0,2.2,1275.0,226.0,387.0,8.9,4.1,26.0,44.0,19.0,7.0,4.0,16.0,10.0,66.0,20.0,98.0,82.0,19.0,27.0,75.0,39.0,37.0,44.0,22.0,10.0,49.0,14.0,27.0,2.0,1.0,1.0,0.0,0.0,1.0,4.0,57.0,82.0,46.0,34.0,33.0,33.0,17.0,2,18,51,-1,-1,-1,-1,-1,OH,-1,-1,adams oh,99.0,1.0,99.0,0,0
9,1,All HUD,-1,Allen County,39003,-1,-1,2151.0,-1.0,4.0,19.0,2.2,4749.0,219.0,418.0,10.1,4.7,27.0,33.0,23.0,11.0,6.0,24.0,10.0,58.0,20.0,95.0,76.0,9.0,41.0,81.0,47.0,32.0,28.0,16.0,15.0,46.0,14.0,24.0,4.0,49.0,47.0,0.0,0.0,1.0,20.0,62.0,65.0,25.0,38.0,27.0,35.0,13.0,31,24,49,-1,-1,-1,-1,-1,OH,-1,-1,allen oh,51.0,49.0,51.0,0,0
9,1,All HUD,-1,Ashland County,39005,-1,-1,447.0,-1.0,5.0,14.0,1.8,808.0,252.0,378.0,11.0,6.1,14.0,35.0,32.0,12.0,6.0,16.0,10.0,70.0,25.0,97.0,65.0,9.0,24.0,78.0,29.0,49.0,23.0,24.0,9.0,36.0,17.0,38.0,6.0,4.0,2.0,0.0,0.0,1.0,17.0,56.0,57.0,22.0,55.0,28.0,17.0,8.0,4,11,58,-1,-1,-1,-1,-1,OH,-1,-1,ashland oh,96.0,4.0,96.0,0,0
9,1,All HUD,-1,Ashtabula County,39007,-1,-1,1730.0,-1.0,5.0,13.0,2.1,3563.0,226.0,435.0,10.7,5.4,23.0,34.0,24.0,12.0,7.0,16.0,7.0,68.0,21.0,97.0,77.0,12.0,28.0,78.0,37.0,41.0,31.0,21.0,10.0,40.0,18.0,32.0,5.0,20.0,13.0,0.0,0.0,7.0,16.0,64.0,58.0,13.0,45.0,27.0,28.0,14.0,15,18,58,-1,-1,-1,-1,-1,OH,-1,-1,ashtabula oh,80.0,20.0,80.0,0,0
9,1,All HUD,-1,Athens County,39009,-1,-1,1206.0,-1.0,4.0,17.0,1.9,2303.0,214.0,419.0,9.1,4.8,21.0,45.0,23.0,8.0,3.0,16.0,13.0,69.0,22.0,98.0,78.0,15.0,20.0,70.0,30.0,59.0,59.0,34.0,8.0,50.0,21.0,21.0,1.0,5.0,4.0,1.0,0.0,0.0,8.0,60.0,59.0,20.0,36.0,39.0,25.0,27.0,7,28,36,-1,-1,-1,-1,-1,OH,-1,-1,athens oh,95.0,5.0,95.0,0,0
9,1,All HUD,-1,Auglaize County,39011,-1,-1,206.0,-1.0,6.0,19.0,2.1,439.0,187.0,486.0,8.1,3.8,31.0,37.0,19.0,10.0,2.0,17.0,0.0,82.0,18.0,100.0,85.0,9.0,42.0,87.0,50.0,28.0,31.0,15.0,22.0,40.0,13.0,25.0,3.0,3.0,2.0,0.0,0.0,1.0,19.0,50.0,74.0,57.0,33.0,43.0,24.0,13.0,4,12,61,-1,-1,-1,-1,-1,OH,-1,-1,auglaize oh,97.0,3.0,97.0,0,0
9,1,All HUD,-1,Belmont County,39013,-1,-1,1558.0,-1.0,5.0,23.0,1.7,2706.0,210.0,394.0,10.3,6.1,21.0,38.0,24.0,12.0,5.0,17.0,7.0,67.0,26.0,92.0,66.0,8.0,22.0,74.0,27.0,42.0,26.0,22.0,11.0,36.0,18.0,35.0,5.0,7.0,6.0,0.0,0.0,1.0,4.0,62.0,44.0,23.0,56.0,28.0,16.0,10.0,7,23,54,-1,-1,-1,-1,-1,OH,-1,-1,belmont oh,93.0,7.0,93.0,0,0
9,1,All HUD,-1,Brown County,39015,-1,-1,437.0,-1.0,5.0,16.0,2.1,917.0,208.0,412.0,9.2,4.5,28.0,35.0,25.0,8.0,3.0,23.0,2.0,68.0,20.0,98.0,78.0,13.0,37.0,82.0,45.0,33.0,30.0,16.0,17.0,48.0,14.0,21.0,2.0,3.0,2.0,0.0,0.0,1.0,21.0,43.0,73.0,57.0,43.0,35.0,22.0,7.0,3,13,61,-1,-1,-1,-1,-1,OH,-1,-1,brown oh,97.0,3.0,97.0,0,0
9,1,All HUD,-1,Butler County,39017,-1,-1,4515.0,-1.0,6.0,18.0,2.2,9716.0,242.0,495.0,11.1,5.3,25.0,34.0,20.0,11.0,10.0,21.0,8.0,60.0,18.0,95.0,81.0,10.0,36.0,79.0,43.0,38.0,47.0,22.0,11.0,51.0,17.0,21.0,2.0,32.0,30.0,0.0,0.0,2.0,11.0,59.0,71.0,30.0,37.0,32.0,31.0,14.0,19,18,45,-1,-1,-1,-1,-1,OH,-1,-1,butler oh,68.0,32.0,68.0,0,0
9,1,All HUD,-1,Carroll County,39019,-1,-1,214.0,-1.0,4.0,13.0,1.8,379.0,254.0,351.0,11.4,6.4,12.0,30.0,36.0,14.0,7.0,16.0,9.0,73.0,27.0,95.0,59.0,10.0,21.0,80.0,28.0,32.0,17.0,15.0,7.0,30.0,12.0,50.0,14.0,1.0,0.0,1.0,0.0,0.0,8.0,65.0,52.0,23.0,51.0,33.0,16.0,14.0,1,11,49,-1,-1,-1,-1,-1,OH,-1,-1,carroll oh,99.0,1.0,99.0,0,0
