gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,OH Ohio,OH Adams County 39001,9,Summary of All HUD Programs,1,A,Adams County,39001,637.0,89,606,99,4.89820069424072,19,2.24300771809783,1274.93792649462,201.60433735441,435.815624463555,8769.64515998879,3901.34594408935,26,44,18,9,4,14,14,70,20,99,81,13,34,73,39,35,46,20,11,51,13,25,2,1,0,1,0,0,9.70414684622687,52.5233293339209,82,134.980070170349,33,33,34,16,18,2,52,A,A,A,-1,-1,OH,-1,A,adams oh,99,1,99,0,0
County,OH Ohio,OH Allen County 39003,9,Summary of All HUD Programs,1,A,Allen County,39003,2401.0,95,2174,96,5.26618221375399,10,2.16697975077068,4801.48772186366,229.437698555125,433.776143181996,9725.83621552454,4480.87656684697,24,33,25,12,6,22,12,64,21,97,76,3,44,80,44,33,29,17,12,48,15,25,4,49,47,0,0,1,16.9691394767783,63.9996017484129,66,165.872609779163,40,27,33,12,24,31,50,A,A,A,-1,-1,OH,-1,A,allen oh,51,49,51,0,0
County,OH Ohio,OH Ashland County 39005,9,Summary of All HUD Programs,1,A,Ashland County,39005,505.0,98,436,99,5.84322243923203,9,1.8774605270424,845.197367637078,260.737154604454,410.004484470646,10984.4216384821,5843.75013591393,12,35,30,16,6,15,12,72,25,98,66,7,28,78,32,47,20,23,6,42,14,38,6,5,2,1,1,1,15.0094299726581,57.7290355506327,57,161.67978762728,52,27,21,8,11,4,59,A,A,A,-1,-1,OH,-1,A,ashland oh,95,5,95,0,0
County,OH Ohio,OH Ashtabula County 39007,9,Summary of All HUD Programs,1,A,Ashtabula County,39007,1804.0,97,1764,99,5.54648244806636,14,2.06062939710219,3693.05020747041,229.842632490388,458.863422237334,9867.58561630546,4782.26618120559,22,35,22,14,7,15,11,73,21,97,76,5,34,77,36,42,32,21,8,43,19,30,5,22,14,0,0,8,23.1815180731629,61.5257483077416,58,141.767377791979,46,27,27,14,18,15,58,A,A,A,-1,-1,OH,-1,A,ashtabula oh,78,22,78,0,0
County,OH Ohio,OH Athens County 39009,9,Summary of All HUD Programs,1,A,Athens County,39009,1325.0,94,1210,96,5.18459719640643,13,1.88541334865329,2310.62351978642,214.937820194179,440.647171992777,9240.78825413833,4892.30072005322,19,44,24,9,3,15,14,71,22,99,78,11,23,67,29,57,59,34,7,50,21,22,1,6,4,1,0,1,10.2631806950971,59.2189654865444,58,130.630494336882,36,39,25,26,31,8,40,A,A,A,-1,-1,OH,-1,A,athens oh,94,6,94,0,0
County,OH Ohio,OH Auglaize County 39011,9,Summary of All HUD Programs,1,A,Auglaize County,39011,211.0,97,205,98,5.78751612940559,13,2.19663798672197,470.272359540638,189.360012602376,476.96558152778,8823.97060318752,4017.03451207064,28,35,22,11,3,16,1,81,18,100,84,8,43,84,47,27,27,13,17,44,14,26,3,3,2,0,0,1,14.7954895078356,54.7636643575523,73,85.2147044934667,32,44,24,13,12,4,61,A,A,A,-1,-1,OH,-1,A,auglaize oh,97,3,97,0,0
County,OH Ohio,OH Belmont County 39013,9,Summary of All HUD Programs,1,A,Belmont County,39013,1604.0,97,1571,99,6.09050826796909,16,1.73668228726966,2757.65980953427,216.205742697728,398.022891651296,9705.0229818581,5589.67811634093,21,38,23,11,7,16,12,71,27,90,64,3,27,73,26,41,29,23,9,39,18,35,5,8,7,0,0,1,4.38159718180901,62.3930276583562,44,104.00573682887,56,27,17,10,22,5,55,A,A,A,-1,-1,OH,-1,A,belmont oh,92,8,92,0,0
County,OH Ohio,OH Brown County 39015,9,Summary of All HUD Programs,1,A,Brown County,39015,450.0,97,439,98,5.25533913841852,12,2.05622724528435,929.582570153854,201.854347181723,408.446333617023,8780.67293571316,4265.83474865407,26,38,25,8,3,23,3,74,21,98,76,11,37,77,42,33,32,17,14,50,15,21,2,3,2,0,0,0,13.87798374888,47.0141534640421,73,98.6109063392639,43,35,22,7,13,3,61,A,A,A,-1,-1,OH,-1,A,brown oh,97,3,97,0,0
County,OH Ohio,OH Butler County 39017,9,Summary of All HUD Programs,1,A,Butler County,39017,4890.0,94,4521,97,5.32881931888202,10,2.18550001312115,9727.57514279881,235.660996179964,515.099663209411,9623.33708919654,4399.35357939368,26,35,20,11,8,18,14,67,17,99,85,4,43,80,44,38,49,22,9,53,17,21,2,36,34,0,1,3,8.21878897259768,56.3899337995387,73,125.979842326328,38,30,32,13,18,21,46,A,A,A,-1,-1,OH,-1,A,butler oh,64,36,64,0,0
County,OH Ohio,OH Carroll County 39019,9,Summary of All HUD Programs,1,A,Carroll County,39019,223.0,94,217,98,4.75621607053781,10,1.78429306133064,385.442604087253,255.211659444881,358.252558827374,11362.6586082422,6316.24660412833,10,36,30,15,8,10,10,78,26,95,63,7,21,78,24,32,19,16,7,30,11,52,14,2,0,1,0,0,12.3866816240637,64.5145221429159,53,122.891050627417,50,32,18,15,14,1,62,A,A,A,-1,-1,OH,-1,A,carroll oh,98,2,98,0,0
County,OH Ohio,OH Champaign County 39021,9,Summary of All HUD Programs,1,A,Champaign County,39021,357.0,94,307,96,6.00535425909073,12,1.56733709920633,504.670810681824,250.441655424674,401.487685504488,11524.7775881787,7333.17177154896,11,33,31,16,8,12,4,84,26,97,64,3,22,77,23,49,16,21,7,26,16,51,7,8,6,1,1,1,28.5666666666667,59.0981650245564,57,95.7782967093681,64,22,14,9,10,7,62,A,A,A,-1,-1,OH,-1,A,champaign oh,92,8,92,0,0
County,OH Ohio,OH Clark County 39023,9,Summary of All HUD Programs,1,A,Clark County,39023,3279.0,89,2811,96,5.79454229557936,11,2.13335125611439,6235.27765576492,214.881654738801,447.623105521259,9502.96877806907,4454.53704273574,24,37,22,12,6,20,20,58,20,98,80,6,39,78,41,31,26,16,10,48,18,25,3,38,37,1,0,1,7.93917713902021,56.37577072866,66,131.255631013143,45,27,29,10,17,25,51,A,A,A,-1,-1,OH,-1,A,clark oh,62,38,62,0,0
County,OH Ohio,OH Clermont County 39025,9,Summary of All HUD Programs,1,A,Clermont County,39025,2439.0,97,2354,99,5.67197881036827,14,1.96027637007587,4713.97597639297,234.858199953555,471.758123261237,10330.22903292,5268.73671631552,22,32,24,13,9,18,3,79,19,99,81,7,32,80,35,34,31,19,11,42,15,33,5,5,4,0,0,1,14.385626911315,51.5739736823785,77,100.761505991753,48,30,22,10,10,4,55,A,A,A,-1,-1,OH,-1,A,clermont oh,95,5,95,0,0
County,OH Ohio,OH Clinton County 39027,9,Summary of All HUD Programs,1,A,Clinton County,39027,846.0,95,808,96,5.68951158806253,12,1.84767497158098,1539.28370804264,247.443394757279,416.135849456388,9984.41446196669,5412.29214988098,19,39,27,10,5,15,4,81,21,98,81,5,30,73,32,48,35,25,8,42,19,31,5,10,9,1,0,1,27.3820512820513,54.1738566373806,58,140.828263569286,47,32,21,16,10,8,53,A,A,A,-1,-1,OH,-1,A,clinton oh,90,10,90,0,0
County,OH Ohio,OH Columbiana County 39029,9,Summary of All HUD Programs,1,A,Columbiana County,39029,1409.0,94,1353,100,5.37749602632373,16,2.02711610425133,2704.17288307129,203.536195754426,403.18053265676,8960.29318534294,4416.30876796294,22,44,21,9,4,18,7,75,21,97,79,4,39,75,38,43,42,22,12,47,20,21,2,5,5,0,0,0,17.5367274318456,53.1535162823252,67,111.516447223935,46,30,24,9,18,5,61,A,A,A,-1,-1,OH,-1,A,columbiana oh,95,5,95,0,0
County,OH Ohio,OH Coshocton County 39031,9,Summary of All HUD Programs,1,A,Coshocton County,39031,724.0,90,680,98,5.59173036769997,17,2.02795889857433,1382.90226417,200.742606668122,384.287547400785,9158.65323212733,4516.05476278005,27,33,23,13,4,15,20,64,22,97,73,10,35,75,39,30,24,16,14,43,12,31,6,3,2,0,0,0,9.84246907131997,50.6051506558859,71,105.665360368419,42,32,26,12,13,5,47,A,A,A,-1,-1,OH,-1,A,coshocton oh,97,3,97,0,0
County,OH Ohio,OH Crawford County 39033,9,Summary of All HUD Programs,1,A,Crawford County,39033,849.0,94,832,98,5.37392362065512,17,1.88596671132907,1606.69599050555,225.918455534316,385.140893879824,9039.51934541345,4787.87476790561,22,40,25,10,3,14,11,75,22,98,74,11,23,71,30,43,31,23,10,43,19,28,3,4,3,0,0,0,17.9369369369369,51.0061664533673,59,164.975128057139,48,34,18,14,13,4,61,A,A,A,-1,-1,OH,-1,A,crawford oh,96,4,96,0,0
County,OH Ohio,OH Cuyahoga County 39035,9,Summary of All HUD Programs,1,A,Cuyahoga County,39035,39027.0,94,35614,99,5.29681533958873,10,2.03679223714054,72159.307228596,230.984103831546,639.775137779131,9430.27289119359,4628.93708271308,27,36,19,10,8,20,12,64,18,98,82,2,38,76,38,33,33,20,7,47,19,27,3,87,83,0,1,4,22.872281600028,75.5641578100744,56,163.535017039734,44,27,29,16,32,66,32,A,A,A,-1,-1,OH,-1,A,cuyahoga oh,13,87,13,0,0
County,OH Ohio,OH Darke County 39037,9,Summary of All HUD Programs,1,A,Darke County,39037,539.0,95,521,96,5.77130877563918,11,1.75811313661517,961.187079449279,255.942999904285,332.806075847205,10366.2482525022,5882.12986979023,15,40,27,15,4,14,12,74,24,98,68,7,23,73,26,49,37,28,5,40,19,36,8,3,2,0,0,1,17.4970713626029,60.7926667509731,72,129.44358947094,44,37,19,20,11,3,66,A,A,A,-1,-1,OH,-1,A,darke oh,97,3,97,0,0
County,OH Ohio,OH Defiance County 39039,9,Summary of All HUD Programs,1,A,Defiance County,39039,317.0,92,301,97,5.48267523410663,13,2.07562380195808,652.159650680907,213.490125551309,464.367921064202,9099.1948468098,4400.7980920984,25,36,23,11,5,15,6,76,19,99,80,11,35,84,42,30,34,16,16,42,14,28,5,21,6,0,3,14,16.8255602519257,50.8242654718818,56,81.3031162532297,35,46,18,14,10,19,62,A,A,A,-1,-1,OH,-1,A,defiance oh,79,21,79,0,0
County,OH Ohio,OH Delaware County 39041,9,Summary of All HUD Programs,1,A,Delaware County,39041,815.0,99,807,98,5.49838509416922,8,1.88301326680639,1550.36861642628,277.581668285862,448.66733144563,11467.9867865605,6097.7048332204,11,36,29,15,8,16,8,75,22,99,79,9,24,75,30,52,24,25,4,39,19,38,5,14,12,1,1,1,28.1041666666667,64.644924069863,66,146.028497456896,48,29,22,14,9,9,58,A,A,A,-1,-1,OH,-1,A,delaware oh,86,14,86,0,0
County,OH Ohio,OH Erie County 39043,9,Summary of All HUD Programs,1,A,Erie County,39043,1717.0,98,1497,94,5.05402728177935,5,2.17280132119321,3506.76217124574,245.160390205762,446.152650840426,9383.50629690981,4318.28420225173,25,33,23,13,6,22,23,52,19,99,81,3,45,78,45,29,32,16,9,55,15,21,2,45,42,1,0,2,8.99985180004662,66.4897167727785,74,153.296919465353,39,29,32,13,18,27,46,A,A,A,-1,-1,OH,-1,A,erie oh,55,45,55,0,0
County,OH Ohio,OH Fairfield County 39045,9,Summary of All HUD Programs,1,A,Fairfield County,39045,1640.0,97,1613,98,5.89418918155853,12,1.9255093019677,3182.34264682162,269.317477820204,425.219234450355,11390.9968815879,5900.03985100558,12,37,28,14,9,13,5,81,21,98,79,6,30,78,32,51,31,26,5,43,17,34,5,7,5,0,0,1,27.269649330021,51.1662763420783,68,138.952595841565,49,27,24,13,10,5,58,A,A,A,-1,-1,OH,-1,A,fairfield oh,93,7,93,0,0
County,OH Ohio,OH Fayette County 39047,9,Summary of All HUD Programs,1,A,Fayette County,39047,602.0,93,599,98,5.87399520859023,18,2.08650870626663,1216.28573053694,243.041635791179,400.309200231219,10636.8509553689,5098.74324879391,15,38,26,14,7,19,5,76,25,96,69,13,24,73,31,39,49,23,8,39,17,36,3,6,6,0,0,0,11.4590277777778,50.5677964724538,72,115.117971145113,46,31,24,13,12,6,56,A,A,A,-1,-1,OH,-1,A,fayette oh,94,6,94,0,0
County,OH Ohio,OH Franklin County 39049,9,Summary of All HUD Programs,1,A,Franklin County,39049,25792.0,96,23800,98,5.6205859218012,14,2.32362458078462,54756.062142608,217.715470009172,534.905210208612,9358.15225279071,4022.35724298254,27,35,19,10,8,21,21,56,17,99,86,5,45,79,47,27,42,15,10,51,14,24,3,75,73,1,2,1,24.1099266234669,50.7187474195519,80,119.32116762325,33,35,31,15,22,48,39,A,A,A,-1,-1,OH,-1,A,franklin oh,25,75,25,0,0
County,OH Ohio,OH Fulton County 39051,9,Summary of All HUD Programs,1,A,Fulton County,39051,69.0,89,63,100,4.11703103152073,16,1.89903497783022,116.314866261731,297.392224512643,378.413985411429,11771.1703433029,6198.50107066077,5,47,27,8,13,16,10,74,24,98,76,2,32,83,34,68,80,42,2,51,24,24,0,27,3,3,0,21,21.4281172374577,76.6046674021476,100,127.432970855626,22,55,23,35,5,9,65,A,A,A,-1,-1,OH,-1,A,fulton oh,73,27,73,0,0
County,OH Ohio,OH Gallia County 39053,9,Summary of All HUD Programs,1,A,Gallia County,39053,369.0,88,315,96,5.04699949670787,9,2.47486357040985,804.379377134203,221.3368325977,397.929030993379,9448.84616603401,3817.92607843398,18,48,19,8,6,19,13,68,21,98,79,14,38,71,36,41,67,23,8,46,25,22,2,8,7,0,0,0,4.82555330482407,75.7274408812023,86,129.639406894962,18,50,31,23,16,6,54,A,A,A,-1,-1,OH,-1,A,gallia oh,92,8,92,0,0
County,OH Ohio,OH Geauga County 39055,9,Summary of All HUD Programs,1,A,Geauga County,39055,414.0,99,409,100,4.36493307047243,5,1.7993139933725,741.317365269463,277.211194116624,384.337175164237,12837.3692663218,7134.59091276251,10,27,33,18,13,24,6,69,26,94,68,4,31,80,31,48,28,24,1,43,20,36,6,15,15,0,0,0,9.84385964912281,74.3872647908073,65,89.9481872233894,50,30,20,13,6,3,64,A,A,A,-1,-1,OH,-1,A,geauga oh,85,15,85,0,0
County,OH Ohio,OH Greene County 39057,9,Summary of All HUD Programs,1,A,Greene County,39057,2667.0,95,2673,99,6.15108572731241,18,2.15421046240337,5469.73706135304,244.417874479644,455.141290105524,9943.40992566439,4614.88561835241,21,38,23,11,8,20,11,68,20,98,81,7,41,81,45,42,44,22,9,53,17,21,3,24,22,0,1,1,17.749681644091,52.1430499824491,76,153.525579129983,38,31,30,11,14,16,55,A,A,A,-1,-1,OH,-1,A,greene oh,76,24,76,0,0
County,OH Ohio,OH Guernsey County 39059,9,Summary of All HUD Programs,1,A,Guernsey County,39059,1137.0,97,1164,100,4.84143135024223,15,2.07717839525665,2332.99910596118,218.430516602802,372.160169455251,9373.05397567653,4517.76144370312,25,37,20,12,6,18,19,62,22,96,74,8,34,75,36,34,25,18,10,48,17,25,3,6,5,1,0,1,6.88546283403314,53.070757169244,71,143.873787338466,33,42,25,22,19,6,55,A,A,A,-1,-1,OH,-1,A,guernsey oh,94,6,94,0,0
County,OH Ohio,OH Hamilton County 39061,9,Summary of All HUD Programs,1,A,Hamilton County,39061,25425.0,94,23901,98,5.69937241610887,14,2.22578090577644,53365.1601145495,238.599120467271,582.099242253152,9815.0220245651,4408.78045423836,27,35,18,10,10,25,16,58,17,98,85,2,48,82,48,27,45,17,13,53,15,19,2,85,84,0,0,1,20.2754808089378,61.5799113510083,68,143.582420763092,40,29,31,10,30,62,30,A,A,A,-1,-1,OH,-1,A,hamilton oh,15,85,15,0,0
County,OH Ohio,OH Hancock County 39063,9,Summary of All HUD Programs,1,A,Hancock County,39063,1241.0,89,1097,99,4.87453626281938,18,1.85670867929246,1941.22708079613,233.79582244843,387.60847056746,10020.6709092195,5402.16965942819,21,32,26,15,5,15,7,76,21,99,76,8,28,75,32,66,31,33,9,45,17,29,5,12,5,0,0,7,9.71865671641792,40.7564460534898,75,66.4086177637145,47,38,15,13,9,8,55,A,A,A,-1,-1,OH,-1,A,hancock oh,88,12,88,0,0
County,OH Ohio,OH Hardin County 39065,9,Summary of All HUD Programs,1,A,Hardin County,39065,237.0,97,231,98,5.71760734040615,19,1.98613664033998,468.594526317392,168.024782704944,511.748590669615,7633.65670467315,3848.53873833861,34,33,20,11,2,12,8,79,18,98,79,9,26,75,28,22,18,12,11,38,16,35,8,2,1,1,0,0,10.2804679057626,54.1960968457587,60,103.728507547109,52,24,24,8,15,4,59,A,A,A,-1,-1,OH,-1,A,hardin oh,98,2,98,0,0
County,OH Ohio,OH Harrison County 39067,9,Summary of All HUD Programs,1,A,Harrison County,39067,302.0,94,299,99,4.6476689304504,21,1.91244475683129,554.693595704164,225.954013918826,312.513408361093,9317.40486244583,4871.54957697944,19,45,21,9,5,15,16,64,22,97,78,8,27,78,31,48,52,28,10,45,23,21,2,13,13,0,0,0,6.73626522327469,49.2675915578729,52,149.58282208589,40,38,22,20,14,8,62,A,A,A,-1,-1,OH,-1,A,harrison oh,87,13,87,0,0
County,OH Ohio,OH Henry County 39069,9,Summary of All HUD Programs,1,A,Henry County,39069,80.0,91,76,99,6.07124555089131,15,1.29255353147971,98.1650485436895,280.607579276304,327.326298070697,12788.4079727282,9893.90973856854,4,31,30,27,8,4,3,94,29,97,59,0,10,79,9,71,17,29,0,18,13,69,21,5,0,0,0,5,22.1333333333333,78.8390088893622,38,121.1,75,19,6,13,12,12,47,A,A,A,-1,-1,OH,-1,A,henry oh,95,5,95,0,0
County,OH Ohio,OH Highland County 39071,9,Summary of All HUD Programs,1,A,Highland County,39071,413.0,95,401,98,6.05994876093323,19,2.13997099714946,854.298868546269,211.452554158918,407.314584695198,9215.48376470838,4254.88665828519,19,47,20,9,4,15,7,78,22,98,79,16,29,72,38,40,48,23,11,43,17,28,2,6,4,1,1,3,9.935918706304,52.7157858746908,40,112.148122778684,37,37,26,12,12,5,58,A,A,A,-1,-1,OH,-1,A,highland oh,94,6,94,0,0
County,OH Ohio,OH Hocking County 39073,9,Summary of All HUD Programs,1,A,Hocking County,39073,599.0,92,562,100,4.93946237843215,14,2.13872070318125,1189.12071542992,229.62965839369,359.594700984031,10060.9256175957,4704.17927999226,19,42,22,11,7,16,11,73,24,96,75,13,30,74,36,42,48,23,8,50,16,26,2,2,1,0,0,1,10.7765391517899,53.1990369037929,62,139.394374927771,40,38,23,15,16,3,58,A,A,A,-1,-1,OH,-1,A,hocking oh,98,2,98,0,0
County,OH Ohio,OH Holmes County 39075,9,Summary of All HUD Programs,1,A,Holmes County,39075,62.0,98,61,98,5.27724906862047,14,2.83880317493227,186.732825767526,215.500084972532,482.301521837816,8702.41318152139,3064.87922798856,23,43,22,8,5,27,16,52,19,97,87,23,40,75,52,29,45,13,6,68,12,14,2,0,0,0,0,0,16.7426828291712,54.5984453422456,56,174.818187273733,20,37,43,15,11,3,54,A,A,A,-1,-1,OH,-1,A,holmes oh,100,0,100,0,0
County,OH Ohio,OH Huron County 39077,9,Summary of All HUD Programs,1,A,Huron County,39077,719.0,93,689,99,4.57591597383472,10,2.1868365089108,1491.92301267386,237.581983833384,412.185199666431,10085.0088127078,4611.68851517431,20,34,26,14,5,15,14,66,22,99,76,8,37,80,41,38,32,20,9,49,18,25,3,9,3,0,0,5,15.7925170068027,59.625447315565,81,161.045087906434,44,31,25,10,11,9,56,A,A,A,-1,-1,OH,-1,A,huron oh,91,9,91,0,0
County,OH Ohio,OH Jackson County 39079,9,Summary of All HUD Programs,1,A,Jackson County,39079,530.0,98,525,99,5.34152841207417,10,1.96590208678508,1043.84349239756,236.787126881625,345.026370650724,10071.8537616678,5118.90487481851,14,47,23,10,5,19,8,73,24,97,76,15,23,72,31,48,33,26,8,44,20,29,3,1,0,0,0,1,8.07612724459319,50.6217153653924,74,116.600673662335,56,29,15,2,17,3,59,A,A,A,-1,-1,OH,-1,A,jackson oh,99,1,99,0,0
County,OH Ohio,OH Jefferson County 39081,9,Summary of All HUD Programs,1,A,Jefferson County,39081,2019.0,91,1872,99,6.11695027962195,14,1.90691396455654,3628.76658907853,219.076702125781,499.674421313577,9472.13239320462,4965.45625315371,23,38,20,12,6,18,18,62,23,95,73,5,33,80,35,38,35,22,10,47,18,25,3,31,30,0,0,1,12.8308208289117,67.5465621381114,65,161.96727890606,40,33,27,21,26,21,48,A,A,A,-1,-1,OH,-1,A,jefferson oh,69,31,69,0,0
County,OH Ohio,OH Knox County 39083,9,Summary of All HUD Programs,1,A,Knox County,39083,754.0,95,718,96,5.54896296937543,12,2.02187841867705,1494.94102860609,264.105109823277,428.834834336718,10727.0900420885,5288.96110568176,15,42,21,13,8,14,16,67,25,94,71,9,29,74,33,50,33,26,7,45,22,26,5,3,1,1,0,1,14.3888888888889,55.0251115068155,72,141.761039254595,45,27,28,13,13,4,59,A,A,A,-1,-1,OH,-1,A,knox oh,97,3,97,0,0
County,OH Ohio,OH Lake County 39085,9,Summary of All HUD Programs,1,A,Lake County,39085,2472.0,99,2153,100,5.28670990814047,9,2.12285398043776,4603.90305719955,270.620885415071,547.852014366927,11037.4047761395,5197.05539240677,20,31,25,14,11,17,13,69,22,96,76,5,40,81,42,41,38,22,5,53,16,26,5,23,20,0,0,3,37.7508275224423,64.0837283547257,73,119.407727149664,34,40,26,18,10,14,54,A,A,A,-1,-1,OH,-1,A,lake oh,77,23,77,0,0
