State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
OH,Adams County,18550,21200,23850,26450,28600,30700,32800,34950,11100,12700,14300,15850,17150,18400,19700,20950,29650,33850,38100,42300,45700,49100,52500,55850
OH,Allen County,20300,23200,26100,29000,31350,33650,36000,38300,12200,13950,15700,17400,18800,20200,21600,23000,32500,37150,41800,46400,50150,53850,57550,61250
OH,Ashland County,20500,23400,26350,29250,31600,33950,36300,38650,12300,14050,15800,17550,19000,20400,21800,23200,32800,37450,42150,46800,50550,54300,58050,61800
OH,Ashtabula County,19050,21800,24500,27200,29400,31600,33750,35950,11450,13050,14700,16300,17650,18950,20250,21550,30450,34800,39150,43500,47000,50500,53950,57450
OH,Athens County,18550,21200,23850,26450,28600,30700,32800,34950,11100,12700,14300,15850,17150,18400,19700,20950,29650,33850,38100,42300,45700,49100,52500,55850
OH,Auglaize County,22400,25600,28800,32000,34600,37150,39700,42250,13450,15400,17300,19200,20750,22300,23850,25350,35850,41000,46100,51200,55300,59400,63500,67600
OH,Belmont County,17650,20200,22700,25200,27250,29250,31250,33300,10600,12100,13600,15100,16350,17550,18750,19950,28250,32250,36300,40300,43550,46750,50000,53200
OH,Brown County,19750,22550,25350,28150,30450,32700,34950,37200,11850,13550,15250,16900,18300,19650,21000,22350,31550,36050,40550,45050,48700,52300,55900,59500
OH,Butler County,24650,28200,31700,35200,38050,40850,43650,46500,14800,16900,19000,21100,22800,24500,26200,27900,39450,45050,50700,56300,60850,65350,69850,74350
OH,Carroll County,20350,23250,26150,29050,31400,33700,36050,38350,12250,14000,15750,17450,18850,20250,21650,23050,32550,37200,41850,46500,50250,53950,57700,61400
OH,Champaign County,21200,24200,27250,30250,32700,35100,37550,39950,12750,14550,16350,18150,19650,21100,22550,24000,33900,38750,43600,48400,52300,56150,60050,63900
OH,Clark County,19650,22450,25250,28050,30300,32550,34800,37050,11800,13500,15200,16850,18200,19550,20900,22250,31450,35950,40450,44900,48500,52100,55700,59300
OH,Clermont County,24650,28200,31700,35200,38050,40850,43650,46500,14800,16900,19000,21100,22800,24500,26200,27900,39450,45050,50700,56300,60850,65350,69850,74350
OH,Clinton County,21150,24150,27150,30150,32600,35000,37400,39800,12700,14500,16300,18100,19550,21000,22450,23900,33800,38600,43450,48250,52150,56000,59850,63700
OH,Columbiana County,18550,21200,23850,26450,28600,30700,32800,34950,11100,12700,14300,15850,17150,18400,19700,20950,29650,33850,38100,42300,45700,49100,52500,55850
OH,Coshocton County,18550,21200,23850,26450,28600,30700,32800,34950,11100,12700,14300,15850,17150,18400,19700,20950,29650,33850,38100,42300,45700,49100,52500,55850
OH,Crawford County,18550,21200,23850,26450,28600,30700,32800,34950,11100,12700,14300,15850,17150,18400,19700,20950,29650,33850,38100,42300,45700,49100,52500,55850
OH,Cuyahoga County,22000,25150,28300,31400,33950,36450,38950,41450,13200,15100,17000,18850,20400,21900,23400,24900,35200,40200,45250,50250,54300,58300,62350,66350
OH,Darke County,20200,23050,25950,28800,31150,33450,35750,38050,12150,13850,15600,17300,18700,20100,21500,22850,32300,36900,41500,46100,49800,53500,57200,60900
OH,Defiance County,21150,24200,27200,30200,32650,35050,37450,39900,12700,14500,16300,18100,19550,21000,22450,23900,33850,38650,43500,48300,52200,56050,59900,63800
OH,Delaware County,23350,26650,30000,33300,36000,38650,41300,44000,14000,16000,18000,20000,21600,23200,24800,26400,37350,42650,48000,53300,57600,61850,66100,70400
OH,Erie County,22200,25350,28500,31650,34200,36750,39250,41800,13300,15200,17100,19000,20550,22050,23600,25100,35500,40550,45600,50650,54750,58800,62850,66900
OH,Fairfield County,23350,26650,30000,33300,36000,38650,41300,44000,14000,16000,18000,20000,21600,23200,24800,26400,37350,42650,48000,53300,57600,61850,66100,70400
OH,Fayette County,18550,21200,23850,26450,28600,30700,32800,34950,11100,12700,14300,15850,17150,18400,19700,20950,29650,33850,38100,42300,45700,49100,52500,55850
OH,Franklin County,23350,26650,30000,33300,36000,38650,41300,44000,14000,16000,18000,20000,21600,23200,24800,26400,37350,42650,48000,53300,57600,61850,66100,70400
OH,Fulton County,21600,24700,27800,30850,33350,35800,38300,40750,12950,14800,16650,18500,20000,21500,22950,24450,34550,39500,44450,49350,53300,57250,61200,65150
OH,Gallia County,18550,21200,23850,26450,28600,30700,32800,34950,11100,12700,14300,15850,17150,18400,19700,20950,29650,33850,38100,42300,45700,49100,52500,55850
OH,Geauga County,22000,25150,28300,31400,33950,36450,38950,41450,13200,15100,17000,18850,20400,21900,23400,24900,35200,40200,45250,50250,54300,58300,62350,66350
OH,Greene County,21850,25000,28100,31200,33700,36200,38700,41200,13100,15000,16850,18700,20200,21700,23200,24700,34950,39950,44950,49900,53900,57900,61900,65900
OH,Guernsey County,18550,21200,23850,26450,28600,30700,32800,34950,11100,12700,14300,15850,17150,18400,19700,20950,29650,33850,38100,42300,45700,49100,52500,55850
OH,Hamilton County,24650,28200,31700,35200,38050,40850,43650,46500,14800,16900,19000,21100,22800,24500,26200,27900,39450,45050,50700,56300,60850,65350,69850,74350
OH,Hancock County,21850,24950,28050,31150,33650,36150,38650,41150,13100,15000,16850,18700,20200,21700,23200,24700,34900,39900,44900,49850,53850,57850,61850,65850
OH,Hardin County,19950,22800,25650,28450,30750,33050,35300,37600,11950,13650,15350,17050,18450,19800,21150,22550,31850,36400,40950,45500,49150,52800,56450,60100
OH,Harrison County,18550,21200,23850,26450,28600,30700,32800,34950,11100,12700,14300,15850,17150,18400,19700,20950,29650,33850,38100,42300,45700,49100,52500,55850
