gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,OK Oklahoma,OK Adair County 40001,9,Summary of All HUD Programs,1,A,Adair County,40001,134.0,95,128,96,5.50351280388893,17,2.07948646542789,274.42842673869,228.126131109269,324.506488796998,9919.93904746348,4770.37923178897,21,34,27,9,7,26,18,56,26,93,69,1,35,61,26,28,57,19,11,39,21,29,1,57,1,56,1,0,3.43273164861612,40.5374705923773,90,116.307739603144,52,23,25,5,29,58,46,A,A,A,-1,-1,OK,-1,A,adair ok,43,57,43,0,0
County,OK Oklahoma,OK Alfalfa County 40003,9,Summary of All HUD Programs,1,A,Alfalfa County,40003,1.0,98,1,100,6.1,-4,-4.0,-4.0,-4.0,-4.0,-4.0,8580.0,-4,-4,-4,-4,-4,-4,-4,-4,25,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,181.066666666667,-4,-4.0,-4,-4,-4,-4,12,4,78,A,A,A,-1,-1,OK,-1,A,alfalfa ok,100,0,100,0,0
County,OK Oklahoma,OK Atoka County 40005,9,Summary of All HUD Programs,1,A,Atoka County,40005,138.0,95,131,95,5.43760365089499,27,1.47099059621178,202.959100993537,204.7896206675,301.063547404503,12096.0520150925,8223.06549494148,14,39,27,8,12,21,8,70,33,84,56,4,18,73,20,35,39,28,13,22,14,51,2,18,6,8,1,5,4.11576194482393,45.9059229440734,83,125.02042804168,74,17,9,7,22,28,56,A,A,A,-1,-1,OK,-1,A,atoka ok,82,18,82,0,0
County,OK Oklahoma,OK Beaver County 40007,9,Summary of All HUD Programs,1,A,Beaver County,40007,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,OK,-1,A,beaver ok,-1,-1,-1,0,0
County,OK Oklahoma,OK Beckham County 40009,9,Summary of All HUD Programs,1,A,Beckham County,40009,389.0,95,374,99,5.18510425028367,15,1.78573222141007,687.424741235005,228.81783963258,374.006072213447,12947.0898439973,7252.92785821103,13,36,24,14,14,28,3,68,33,84,54,4,32,77,33,41,42,25,9,37,20,33,2,14,8,2,0,5,3.97083333333333,44.9287805463807,81,121.905313935168,42,43,16,19,18,15,62,A,A,A,-1,-1,OK,-1,A,beckham ok,86,14,86,0,0
County,OK Oklahoma,OK Blaine County 40011,9,Summary of All HUD Programs,1,A,Blaine County,40011,114.0,92,110,97,5.85638142955341,18,2.12997548136553,240.66545092406,165.372171667128,332.941187418098,10583.4077429647,4934.24397589784,25,30,19,13,12,36,4,60,27,83,64,11,34,65,37,19,75,19,13,53,17,18,1,39,13,22,2,10,10.9148148148148,32.4696068731394,68,93.9589959399847,42,32,25,8,18,37,65,A,A,A,-1,-1,OK,-1,A,blaine ok,61,39,61,0,0
County,OK Oklahoma,OK Bryan County 40013,9,Summary of All HUD Programs,1,A,Bryan County,40013,212.0,95,209,100,6.26283451760138,18,1.23522191912731,261.330278769171,244.215167763407,343.63152289182,10613.9368435403,8592.7368023384,5,51,29,11,3,3,2,94,30,94,59,2,8,78,8,75,27,37,0,16,20,64,12,9,1,6,0,1,12.1589743589744,44.3116299844815,99,104.282636432175,67,27,6,21,23,21,45,A,A,A,-1,-1,OK,-1,A,bryan ok,91,9,91,0,0
County,OK Oklahoma,OK Caddo County 40015,9,Summary of All HUD Programs,1,A,Caddo County,40015,298.0,96,248,100,5.90099515343211,16,2.04467801976608,504.815954470917,214.817417235533,253.626917162812,12151.2601998956,5942.87221872016,14,44,17,12,13,31,3,66,31,87,63,10,26,66,28,37,51,21,7,47,17,30,3,38,11,22,0,7,4.53916666666667,44.6321354469456,66,61.2364992311001,48,30,23,10,27,52,59,A,A,A,-1,-1,OK,-1,A,caddo ok,62,38,62,0,0
County,OK Oklahoma,OK Canadian County 40017,9,Summary of All HUD Programs,1,A,Canadian County,40017,533.0,96,523,99,5.29122008971924,16,1.58669615051553,826.964113520742,296.451189234474,378.484827672569,12062.9975424613,7602.58827031376,5,35,36,18,6,7,6,86,27,98,68,1,23,82,22,62,52,39,1,33,14,52,5,19,12,5,1,3,20.7914728682171,53.3424181926089,98,120.654412766458,55,24,20,20,10,20,69,A,A,A,-1,-1,OK,-1,A,canadian ok,81,19,81,0,0
County,OK Oklahoma,OK Carter County 40019,9,Summary of All HUD Programs,1,A,Carter County,40019,464.0,90,414,92,6.62582542835525,26,1.88192405438419,853.527621419713,213.700350542574,418.407616028179,9205.33509307613,4860.51582247142,21,42,21,11,4,17,2,80,24,99,71,6,27,78,31,42,24,21,11,35,18,35,5,34,22,9,1,2,12.7538461538462,42.1568051146115,96,90.0509446032692,49,25,26,15,17,28,59,A,A,A,-1,-1,OK,-1,A,carter ok,66,34,66,0,0
County,OK Oklahoma,OK Cherokee County 40021,9,Summary of All HUD Programs,1,A,Cherokee County,40021,360.0,89,302,100,6.09602166000284,28,2.1378647406321,649.244159338615,199.561857482555,336.407231010019,8407.216054692,3906.99562838391,27,43,19,8,2,18,5,76,22,100,75,10,34,70,36,38,23,17,7,50,18,25,1,44,7,35,1,0,6.35549333865292,36.9084038193476,93,96.8374932213,51,9,40,8,25,48,45,A,A,A,-1,-1,OK,-1,A,cherokee ok,56,44,56,0,0
County,OK Oklahoma,OK Choctaw County 40023,9,Summary of All HUD Programs,1,A,Choctaw County,40023,534.0,82,441,97,5.83779530180818,20,1.99274492278715,916.604803623634,205.335323218819,345.64894901029,10806.5510571367,5433.02198464029,18,40,21,12,8,29,11,58,28,94,64,6,35,75,38,27,44,17,15,41,18,25,2,50,41,8,0,2,8.98989330666,49.8975062778645,84,138.084002183706,33,36,31,24,27,38,54,A,A,A,-1,-1,OK,-1,A,choctaw ok,50,50,50,0,0
County,OK Oklahoma,OK Cimarron County 40025,9,Summary of All HUD Programs,1,A,Cimarron County,40025,1.0,98,1,100,1.0,-4,-4.0,-4.0,-4.0,-4.0,-4.0,8820.0,-4,-4,-4,-4,-4,-4,-4,-4,25,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,245.1,-4,-4.0,-4,-4,-4,-4,-1,-1,-1,A,A,A,-1,-1,OK,-1,A,cimarron ok,100,0,100,0,0
