gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,OK Oklahoma,OK Adair County 40001,9,Summary of All HUD Programs,1,A,Adair County,40001,133.0,95,128,98,5.11189520093783,22,2.10978463543032,274.122154115587,224.867743988738,311.834174148764,10789.3612265147,5113.96331422903,26,32,17,10,15,26,16,57,27,88,64,4,32,59,27,27,42,17,6,44,16,33,1,65,1,65,0,1,2.17252481963864,45.1944248458027,79,105.383129851927,54,23,23,5,43,67,64,A,A,A,-1,-1,OK,-1,A,adair ok,35,65,35,0,0
County,OK Oklahoma,OK Adair County 40001,9,Public Housing,2,A,Adair County,40001,80.0,100,80,100,5.75392156862745,19,2.05,164.0,188.575,355.0,10666.6875,5203.26219512195,34,30,10,5,21,31,18,50,27,83,65,4,36,60,31,25,53,16,10,50,19,21,1,73,1,71,0,1,2.11555555555556,46.0033333333333,71,87.8245614035088,53,28,20,3,43,67,64,A,A,A,-1,-1,OK,-1,A,adair ok,27,73,27,0,0
County,OK Oklahoma,OK Adair County 40001,9,Housing Choice Vouchers,3,A,Adair County,40001,34.0,90,29,93,4.20170810330336,17,2.91384229665794,90.1221541155867,308.831299073888,310.042431611134,11531.9258213585,3957.63553661951,20,20,25,28,7,28,21,48,27,93,62,7,42,62,31,31,85,19,0,56,20,24,0,52,0,52,0,0,2.33317876958722,58.4500015204517,86,164.72059264679,31,24,45,13,41,65,64,A,A,A,-1,-1,OK,-1,A,adair ok,48,52,48,0,0
County,OK Oklahoma,OK Adair County 40001,9,Mod Rehab,4,A,Adair County,40001,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,OK,-1,A,adair ok,-1,-1,-1,0,0
County,OK Oklahoma,OK Adair County 40001,9,Section 8 NC/SR,5,A,Adair County,40001,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,OK,-1,A,adair ok,-1,-1,-1,0,0
County,OK Oklahoma,OK Adair County 40001,9,Section 236,6,A,Adair County,40001,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,OK,-1,A,adair ok,-1,-1,-1,0,0
County,OK Oklahoma,OK Adair County 40001,9,Multi-Family Other,7,A,Adair County,40001,19.0,84,19,100,4.24385964912281,42,1.05263157894737,20.0,241.0,133.0,10097.1052631579,9592.25,0,58,37,5,0,0,0,100,29,100,63,0,0,47,0,-1,16,15,0,0,0,100,0,58,0,58,0,0,-1.0,20.2105263157895,100,75.0,100,0,0,0,43,67,64,A,A,A,-1,-1,OK,-1,A,adair ok,42,58,42,0,0
County,OK Oklahoma,OK Adair County 40001,9,LIHTC,8,A,Adair County,40001,85.0,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,OK,-1,A,adair ok,-1,-1,-1,0,0
County,OK Oklahoma,OK Alfalfa County 40003,9,Public Housing,2,A,Alfalfa County,40003,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,OK,-1,A,alfalfa ok,-1,-1,-1,0,0
County,OK Oklahoma,OK Alfalfa County 40003,9,Mod Rehab,4,A,Alfalfa County,40003,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,OK,-1,A,alfalfa ok,-1,-1,-1,0,0
