Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2017-12-31 00:00:00,County,OK Oklahoma,OK Cleveland County 40027,9,811/PRAC,9,,Cleveland County,40027,39,98,40,100,6,13,1.0,41,276,106,12067,11772,-1,50,35,8,8,10,-1,90,26,95,85,-1,-1,33,-1,100,100,98,-1,48,35,18,-1,0,-1,-1,-1,5,-1,-1,-1,0,0,-1,93,100,84,100,-1,-1,-1,47,26,38,,,,,,OK,,,cleveland ok,0,5,95,0
2017-12-31 00:00:00,County,OK Oklahoma,OK Cleveland County 40027,9,202/PRAC,8,,Cleveland County,40027,89,98,88,100,6,15,1.0,89,298,153,13436,13285,-1,31,38,24,8,2,-1,98,29,98,60,-1,-1,77,-1,-1,9,9,-1,-1,-1,100,10,5,1,2,-1,55,-1,1,-1,1,0,-1,60,100,99,100,-1,-1,-1,9,21,75,,,,,,OK,,,cleveland ok,5,55,40,0
2017-12-31 00:00:00,County,OK Oklahoma,OK Le Flore County 40079,9,202/PRAC,8,,Le Flore County,40079,33,93,31,100,6,29,1.0,31,257,185,11294,11294,-1,42,48,10,-1,-1,-1,100,34,100,45,-1,-1,61,-1,-1,-1,0,-1,-1,-1,100,10,16,-1,13,-1,48,-1,-1,3,3,0,-1,48,100,59,100,-1,-1,-1,24,29,78,,,,,,OK,,,le flore ok,16,48,36,0
2017-12-31 00:00:00,County,OK Oklahoma,OK Tulsa County 40143,9,811/PRAC,9,,Tulsa County,40143,64,91,60,100,7,13,1.0,60,288,135,12405,12405,-1,43,32,20,5,10,-1,90,28,97,65,-1,-1,48,-1,100,100,100,2,45,32,22,-1,10,5,2,2,65,2,-1,-1,2,2,-1,82,-1,-1,100,-1,-1,-1,11,27,66,,,,,,OK,,,tulsa ok,10,65,25,0
2017-12-31 00:00:00,County,OK Oklahoma,OK Carter County 40019,9,202/PRAC,8,,Carter County,40019,16,93,15,100,6,33,1.1,16,241,265,10576,9915,-1,60,27,13,-1,7,-1,93,26,100,80,-1,-1,60,-1,-1,-1,0,-1,-1,-1,100,7,73,60,-1,-1,7,-1,13,-1,13,7,-1,26,100,77,100,-1,-1,-1,26,48,84,,,,,,OK,,,carter ok,73,7,20,0
2017-12-31 00:00:00,County,OK Oklahoma,OK Kay County 40071,9,811/PRAC,9,,Kay County,40071,22,97,21,98,7,19,1.0,21,200,330,8439,8439,-1,47,53,-1,-1,10,-1,71,23,100,67,-1,-1,29,-1,100,100,100,-1,62,29,10,-1,5,-1,5,-1,81,-1,-1,-1,0,0,-1,56,-1,-1,100,-1,-1,-1,11,19,67,,,,,,OK,,,kay ok,5,81,14,0
2017-12-31 00:00:00,County,OK Oklahoma,OK Carter County 40019,9,Project Based Section 8,5,,Carter County,40019,335,93,324,100,6,32,1.8,590,194,497,8772,4817,21,35,23,17,4,14,1,72,21,98,73,4,32,82,34,20,12,10,14,32,13,41,4,26,15,7,2,63,-1,0,2,2,3,-1,46,100,63,53,22,25,10,17,31,74,,,,,,OK,,,carter ok,26,63,11,0
2017-12-31 00:00:00,County,OK Oklahoma,OK Osage County 40113,9,811/PRAC,9,,Osage County,40113,23,98,23,100,6,9,1.0,23,288,103,12218,12218,-1,30,57,13,-1,4,-1,96,28,100,65,-1,-1,26,-1,100,100,100,4,74,9,13,-1,13,4,4,-1,78,-1,4,-1,4,0,-1,92,-1,-1,100,-1,-1,-1,22,44,77,,,,,,OK,,,osage ok,13,78,9,0
2017-12-31 00:00:00,County,OK Oklahoma,OK Seminole County 40133,9,202/PRAC,8,,Seminole County,40133,11,99,11,100,5,36,1.0,11,237,225,10851,10851,-1,55,27,18,-1,-1,-1,100,29,100,73,-1,-1,82,-1,-1,-1,0,-1,-1,-1,100,9,27,-1,27,-1,64,-1,-1,-1,0,0,-1,32,-1,-1,100,-1,-1,-1,17,27,71,,,,,,OK,,,seminole ok,27,64,9,0
2017-12-31 00:00:00,County,OK Oklahoma,OK Woodward County 40153,9,811/PRAC,9,,Woodward County,40153,16,97,15,97,11,13,1.1,16,240,260,10465,9811,-1,38,46,15,-1,7,-1,80,22,100,80,-1,-1,73,-1,100,100,100,-1,20,53,27,-1,0,-1,-1,-1,93,-1,-1,-1,0,0,-1,48,-1,-1,100,-1,-1,-1,16,21,81,,,,,,OK,,,woodward ok,0,93,7,0
2017-12-31 00:00:00,County,OK Oklahoma,OK McCurtain County 40089,9,202/PRAC,8,,Mccurtain County,40089,19,87,18,100,6,39,1.0,18,286,254,11831,11831,-1,39,39,22,-1,-1,-1,100,32,100,44,-1,-1,56,-1,-1,-1,0,-1,-1,-1,100,6,28,6,22,-1,67,-1,-1,-1,0,0,-1,32,100,60,100,-1,-1,-1,20,35,78,,,,,,OK,,,mccurtain ok,28,67,5,0
2017-12-31 00:00:00,County,OK Oklahoma,OK Adair County 40001,9,Summary of All HUD Programs,1,,Adair County,40001,130,96,123,98,5,21,2.0,248,259,310,12463,6181,14,35,18,17,16,37,2,58,30,87,62,5,34,67,35,28,48,18,10,42,21,27,2,67,3,63,-1,33,-1,1,1,2,0,3,51,93,100,53,22,25,7,37,67,64,,,,,,OK,,,adair ok,67,33,0,0
2017-12-31 00:00:00,County,OK Oklahoma,OK Adair County 40001,9,Public Housing,2,,Adair County,40001,80,100,80,100,5,25,2.0,161,253,328,13236,6577,21,29,8,19,23,43,4,50,32,80,55,4,36,64,35,26,55,16,13,48,26,14,3,75,4,70,-1,25,-1,-1,1,1,0,3,54,91,88,53,28,20,3,38,67,64,,,,,,OK,,,adair ok,75,25,0,0
2017-12-31 00:00:00,County,OK Oklahoma,OK Adair County 40001,9,Housing Choice Vouchers,3,,Adair County,40001,31,87,26,96,4,12,2.7,70,277,381,11105,4125,4,40,36,16,4,42,-1,54,24,100,81,12,50,85,58,33,80,17,8,54,19,19,-1,62,4,54,-1,38,-1,4,-1,4,0,-1,46,92,155,23,19,58,23,37,66,64,,,,,,OK,,,adair ok,62,38,0,0
2017-12-31 00:00:00,County,OK Oklahoma,OK Adair County 40001,9,202/PRAC,8,,Adair County,40001,19,98,17,92,5,18,1.0,17,261,131,10898,10898,-1,59,35,6,-1,-1,-1,100,29,100,65,-1,-1,59,-1,-1,35,35,-1,-1,-1,100,-1,41,-1,41,-1,59,-1,-1,-1,0,0,-1,44,100,75,100,-1,-1,-1,38,67,64,,,,,,OK,,,adair ok,41,59,0,0
2017-12-31 00:00:00,County,OK Oklahoma,OK Atoka County 40005,9,Summary of All HUD Programs,1,,Atoka County,40005,133,94,125,100,5,33,1.6,195,256,289,13729,8801,9,39,20,15,17,22,-1,75,34,83,58,6,18,70,21,40,43,30,16,24,13,47,-1,16,8,6,1,84,-1,1,1,2,1,2,52,86,106,76,15,9,2,32,32,72,,,,,,OK,,,atoka ok,16,84,0,0
2017-12-31 00:00:00,County,OK Oklahoma,OK Atoka County 40005,9,Public Housing,2,,Atoka County,40005,121,93,113,100,5,35,1.6,183,254,288,13917,8594,10,37,20,15,18,25,-1,73,34,82,59,6,20,72,23,40,54,32,18,27,14,42,-1,12,8,2,1,88,-1,1,1,2,0,2,52,85,111,73,17,10,3,32,32,72,,,,,,OK,,,atoka ok,12,88,0,0
2017-12-31 00:00:00,County,OK Oklahoma,OK Atoka County 40005,9,202/PRAC,8,,Atoka County,40005,12,100,12,100,5,8,1.0,12,277,298,11958,11958,-1,50,25,17,8,-1,-1,100,32,92,50,-1,-1,50,-1,-1,-1,0,-1,-1,-1,100,-1,50,8,42,-1,50,-1,-1,-1,0,8,-1,48,100,65,100,-1,-1,-1,32,32,72,,,,,,OK,,,atoka ok,50,50,0,0
2017-12-31 00:00:00,County,OK Oklahoma,OK Beckham County 40009,9,Summary of All HUD Programs,1,,Beckham County,40009,374,95,350,98,5,26,1.8,615,247,402,11486,6537,9,37,26,13,14,24,1,65,23,95,76,4,29,73,29,40,44,25,10,33,20,37,1,16,7,3,0,83,0,5,1,6,1,5,51,97,101,43,40,17,20,12,21,72,,,,,,OK,,,beckham ok,17,83,0,0
2017-12-31 00:00:00,County,OK Oklahoma,OK Beckham County 40009,9,Public Housing,2,,Beckham County,40009,182,98,179,100,3,32,1.9,338,263,242,12664,6707,11,31,25,12,20,32,2,58,25,93,72,6,32,76,35,31,46,20,13,36,14,37,2,16,8,3,-1,84,-1,5,-1,5,0,4,50,95,73,40,39,22,18,6,19,64,,,,,,OK,,,beckham ok,16,84,0,0
2017-12-31 00:00:00,County,OK Oklahoma,OK Beckham County 40009,9,Project Based Section 8,5,,Beckham County,40009,186,93,166,96,6,19,1.6,269,226,564,10069,6214,7,45,27,13,7,14,1,72,21,98,81,2,25,69,23,49,40,31,8,30,27,36,1,16,5,4,1,83,1,4,2,7,2,-1,53,100,129,47,42,11,22,18,23,80,,,,,,OK,,,beckham ok,17,83,0,0
2017-12-31 00:00:00,County,OK Oklahoma,OK Blaine County 40011,9,Summary of All HUD Programs,1,,Blaine County,40011,114,95,111,100,6,22,1.7,192,216,385,11283,6523,14,32,29,13,13,29,1,63,27,91,63,8,17,69,22,34,57,25,10,30,29,32,2,36,16,15,1,64,-1,3,1,4,1,11,54,90,99,42,32,26,30,14,50,82,,,,,,OK,,,blaine ok,36,64,0,0
