State code,PUMA,County code,State abbr.,County_Name,allocation factor
41,500,41003,OR,Benton OR,1.0
41,600,41003,OR,Benton OR,0.8937
41,600,41043,OR,Linn OR,0.1063
41,705,41003,OR,Benton OR,0.4167
41,705,41043,OR,Linn OR,0.5833
41,1316,41005,OR,Clackamas OR,1.0
41,1317,41005,OR,Clackamas OR,1.0
41,1318,41005,OR,Clackamas OR,1.0
41,1317,41005,OR,Clackamas OR,1.0
41,1318,41005,OR,Clackamas OR,1.0
41,200,41005,OR,Clackamas OR,1.0
41,1105,41005,OR,Clackamas OR,1.0
41,1317,41005,OR,Clackamas OR,1.0
41,1319,41005,OR,Clackamas OR,1.0
41,1105,41005,OR,Clackamas OR,1.0
41,1319,41005,OR,Clackamas OR,1.0
41,1320,41005,OR,Clackamas OR,1.0
41,400,41017,OR,Deschutes OR,1.0
41,200,41013,OR,Crook OR,0.5022
41,200,41017,OR,Deschutes OR,0.0003
41,200,41031,OR,Jefferson OR,0.4974
41,300,41013,OR,Crook OR,0.0543
41,300,41017,OR,Deschutes OR,0.9457
41,400,41017,OR,Deschutes OR,0.9999
41,400,41031,OR,Jefferson OR,0.0001
41,705,41019,OR,Douglas OR,1.0
41,800,41019,OR,Douglas OR,1.0
41,1000,41019,OR,Douglas OR,1.0
41,901,41029,OR,Jackson OR,1.0
41,902,41029,OR,Jackson OR,1.0
41,901,41029,OR,Jackson OR,1.0
41,902,41029,OR,Jackson OR,1.0
41,1000,41029,OR,Jackson OR,1.0
41,703,41039,OR,Lane OR,1.0
41,705,41039,OR,Lane OR,1.0
41,704,41039,OR,Lane OR,1.0
41,705,41039,OR,Lane OR,1.0
41,600,41039,OR,Lane OR,1.0
41,703,41039,OR,Lane OR,1.0
41,705,41039,OR,Lane OR,1.0
41,1000,41039,OR,Lane OR,1.0
41,600,41043,OR,Linn OR,1.0
41,705,41043,OR,Linn OR,1.0
41,1105,41043,OR,Linn OR,1.0
41,1103,41047,OR,Marion OR,1.0
41,1105,41047,OR,Marion OR,1.0
41,1104,41047,OR,Marion OR,1.0
41,1105,41047,OR,Marion OR,1.0
41,200,41047,OR,Marion OR,1.0
41,600,41047,OR,Marion OR,1.0
41,1103,41047,OR,Marion OR,1.0
41,1104,41047,OR,Marion OR,1.0
41,1105,41047,OR,Marion OR,1.0
41,1317,41047,OR,Marion OR,1.0
41,1319,41047,OR,Marion OR,1.0
41,1301,41051,OR,Multnomah OR,1.0
41,1302,41051,OR,Multnomah OR,1.0
41,1305,41051,OR,Multnomah OR,1.0
41,1301,41051,OR,Multnomah OR,1.0
41,1302,41051,OR,Multnomah OR,1.0
41,1303,41051,OR,Multnomah OR,1.0
41,1302,41051,OR,Multnomah OR,1.0
41,1303,41051,OR,Multnomah OR,1.0
41,1302,41051,OR,Multnomah OR,1.0
41,1303,41051,OR,Multnomah OR,1.0
41,1305,41051,OR,Multnomah OR,1.0
41,500,41051,OR,Multnomah OR,1.0
41,1303,41051,OR,Multnomah OR,1.0
41,1314,41051,OR,Multnomah OR,1.0
41,1319,41051,OR,Multnomah OR,1.0
41,1320,41051,OR,Multnomah OR,1.0
41,1324,41051,OR,Multnomah OR,1.0
41,1316,41051,OR,Multnomah OR,1.0
41,1317,41051,OR,Multnomah OR,1.0
41,1318,41051,OR,Multnomah OR,1.0
41,100,41001,OR,Baker OR,0.1632
41,100,41059,OR,Umatilla OR,0.5078
41,100,41061,OR,Union OR,0.2566
41,100,41063,OR,Wallowa OR,0.0724
41,100,41023,OR,Grant OR,0.0
41,100,41049,OR,Morrow OR,0.0004
41,100,41059,OR,Umatilla OR,0.9996
41,200,41021,OR,Gilliam OR,0.0265
41,200,41023,OR,Grant OR,0.096
41,200,41027,OR,Hood River OR,0.318
41,200,41049,OR,Morrow OR,0.1616
41,200,41055,OR,Sherman OR,0.0248
41,200,41065,OR,Wasco OR,0.3539
41,200,41069,OR,Wheeler OR,0.0193
41,1316,41027,OR,Hood River OR,1.0
41,1317,41027,OR,Hood River OR,1.0
41,1314,41067,OR,Washington OR,1.0
41,1319,41067,OR,Washington OR,1.0
41,1320,41067,OR,Washington OR,1.0
41,1200,41067,OR,Washington OR,1.0
41,1314,41067,OR,Washington OR,1.0
41,1321,41067,OR,Washington OR,1.0
41,1322,41067,OR,Washington OR,1.0
41,1324,41067,OR,Washington OR,1.0
41,1200,41067,OR,Washington OR,1.0
41,1321,41067,OR,Washington OR,1.0
41,1322,41067,OR,Washington OR,1.0
41,1323,41067,OR,Washington OR,1.0
41,1320,41067,OR,Washington OR,1.0
41,1323,41067,OR,Washington OR,1.0
41,1324,41067,OR,Washington OR,1.0
41,1314,41067,OR,Washington OR,1.0
41,1324,41067,OR,Washington OR,1.0
41,1200,41071,OR,Yamhill OR,1.0
41,1320,41071,OR,Yamhill OR,1.0
41,1321,41071,OR,Yamhill OR,1.0
41,1322,41071,OR,Yamhill OR,1.0
41,500,41007,OR,Clatsop OR,0.3393
41,500,41009,OR,Columbia OR,0.4344
41,500,41057,OR,Tillamook OR,0.2263
41,800,41011,OR,Coos OR,0.3681
41,800,41015,OR,Curry OR,0.1329
41,800,41033,OR,Josephine OR,0.499
41,1000,41033,OR,Josephine OR,1.0
41,300,41025,OR,Harney OR,0.0643
41,300,41035,OR,Klamath OR,0.595
41,300,41037,OR,Lake OR,0.07
41,300,41045,OR,Malheur OR,0.2707
41,1000,41035,OR,Klamath OR,1.0
41,500,41041,OR,Lincoln OR,1.0
41,600,41041,OR,Lincoln OR,0.087
41,600,41053,OR,Polk OR,0.913
41,1200,41053,OR,Polk OR,1.0
