fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,state_code,County_Name,pop2017,state,metro
569,678,856,1216,1273,41,Baker County,15980,OR,0
1000,1065,1272,1807,2177,41,Benton County,88250,OR,1
1416,1512,1735,2451,2903,41,Clackamas County,399960,OR,1
763,919,1079,1533,1847,41,Clatsop County,38020,OR,0
1416,1512,1735,2451,2903,41,Columbia County,50205,OR,1
624,744,939,1334,1607,41,Coos County,62920,OR,0
668,810,1005,1314,1493,41,Crook County,21715,OR,0
730,869,1099,1561,1803,41,Curry County,22375,OR,0
866,1048,1303,1851,2230,41,Deschutes County,175320,OR,1
765,876,1152,1636,1816,41,Douglas County,107575,OR,0
678,779,1021,1264,1542,41,Gilliam County,1910,OR,0
565,663,850,1207,1421,41,Grant County,7210,OR,0
503,575,757,1075,1265,41,Harney County,7195,OR,0
838,958,1261,1791,2136,41,Hood River County,22940,OR,0
825,908,1195,1697,2045,41,Jackson County,212070,OR,1
646,809,972,1381,1626,41,Jefferson County,22705,OR,0
795,848,1116,1585,1910,41,Josephine County,84515,OR,1
606,693,912,1295,1552,41,Klamath County,66020,OR,0
537,709,808,1138,1359,41,Lake County,7805,OR,0
833,958,1254,1781,2146,41,Lane County,363470,OR,1
732,877,1102,1556,1886,41,Lincoln County,47305,OR,0
808,865,1138,1584,1859,41,Linn County,121075,OR,1
605,655,862,1165,1387,41,Malheur County,30420,OR,0
846,882,1132,1608,1938,41,Marion County,330455,OR,1
638,730,960,1187,1346,41,Morrow County,11155,OR,0
1416,1512,1735,2451,2903,41,Multnomah County,788460,OR,1
846,882,1132,1608,1938,41,Polk County,79665,OR,1
583,667,877,1246,1399,41,Sherman County,1635,OR,0
701,781,1027,1459,1706,41,Tillamook County,25840,OR,0
643,738,911,1294,1559,41,Umatilla County,76735,OR,0
618,707,930,1321,1506,41,Union County,25810,OR,0
567,700,853,1212,1352,41,Wallowa County,6865,OR,0
816,954,1228,1705,2102,41,Wasco County,25685,OR,0
1416,1512,1735,2451,2903,41,Washington County,572070,OR,1
530,609,798,1134,1334,41,Wheeler County,1415,OR,0
1416,1512,1735,2451,2903,41,Yamhill County,102365,OR,1
