sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,pct_ownsfd,fedhse,cbsa,placefips,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Baker County,41001,-1,-1,274.0,-1.0,5.0,21.0,1.9,517.0,249.0,381.0,10.7,5.7,10.0,47.0,24.0,14.0,5.0,18.0,10.0,68.0,27.0,95.0,66.0,13.0,20.0,72.0,30.0,57.0,45.0,31.0,4.0,43.0,25.0,28.0,3.0,7.0,1.0,3.0,0.0,3.0,15.0,60.0,81.0,0.0,36.0,41.0,24.0,28.0,4,14,54,-1,-1,-1,-1,-1,OR,-1,-1,baker or,93.0,7.0,93.0,0,0
9,1,All HUD,-1,Benton County,41003,-1,-1,935.0,-1.0,4.0,20.0,2.0,1866.0,285.0,477.0,11.9,6.0,10.0,43.0,25.0,12.0,11.0,20.0,14.0,62.0,21.0,98.0,80.0,11.0,29.0,75.0,35.0,53.0,46.0,29.0,5.0,54.0,19.0,21.0,3.0,11.0,2.0,2.0,2.0,5.0,15.0,64.0,75.0,17.0,39.0,38.0,23.0,17.0,16,20,34,-1,-1,-1,-1,-1,OR,-1,-1,benton or,89.0,11.0,89.0,0,0
9,1,All HUD,-1,Clackamas County,41005,-1,-1,2521.0,-1.0,4.0,14.0,2.2,5556.0,295.0,529.0,12.6,5.8,12.0,40.0,23.0,12.0,13.0,22.0,7.0,64.0,21.0,97.0,80.0,14.0,30.0,77.0,39.0,45.0,33.0,22.0,4.0,54.0,18.0,25.0,3.0,10.0,3.0,2.0,1.0,4.0,54.0,71.0,93.0,50.0,33.0,39.0,27.0,15.0,12,9,52,-1,-1,-1,-1,-1,OR,-1,-1,clackamas or,90.0,10.0,90.0,0,0
9,1,All HUD,-1,Clatsop County,41007,-1,-1,548.0,-1.0,5.0,18.0,1.6,903.0,266.0,430.0,11.2,6.9,8.0,46.0,27.0,11.0,7.0,17.0,7.0,73.0,26.0,95.0,67.0,7.0,17.0,73.0,22.0,61.0,36.0,33.0,3.0,36.0,28.0,33.0,3.0,5.0,1.0,2.0,1.0,2.0,18.0,61.0,69.0,34.0,61.0,28.0,10.0,7.0,11,16,45,-1,-1,-1,-1,-1,OR,-1,-1,clatsop or,95.0,5.0,95.0,0,0
9,1,All HUD,-1,Columbia County,41009,-1,-1,565.0,-1.0,4.0,22.0,2.1,1179.0,260.0,552.0,11.2,5.4,15.0,39.0,25.0,13.0,8.0,23.0,12.0,59.0,19.0,100.0,84.0,13.0,28.0,80.0,38.0,42.0,40.0,23.0,4.0,56.0,15.0,25.0,2.0,4.0,0.0,1.0,0.0,3.0,19.0,51.0,93.0,0.0,34.0,42.0,25.0,21.0,7,10,54,-1,-1,-1,-1,-1,OR,-1,-1,columbia or,96.0,4.0,96.0,0,0
9,1,All HUD,-1,Coos County,41011,-1,-1,1026.0,-1.0,4.0,26.0,1.9,1974.0,275.0,354.0,11.2,5.8,8.0,47.0,27.0,11.0,7.0,20.0,11.0,65.0,28.0,94.0,62.0,12.0,23.0,74.0,29.0,47.0,42.0,26.0,8.0,43.0,21.0,27.0,2.0,7.0,1.0,3.0,1.0,3.0,16.0,55.0,84.0,42.0,45.0,38.0,17.0,14.0,10,16,49,-1,-1,-1,-1,-1,OR,-1,-1,coos or,93.0,7.0,93.0,0,0
9,1,All HUD,-1,Crook County,41013,-1,-1,135.0,-1.0,5.0,16.0,1.9,262.0,228.0,415.0,9.5,4.9,16.0,50.0,21.0,9.0,4.0,21.0,13.0,64.0,24.0,98.0,71.0,9.0,36.0,79.0,42.0,45.0,43.0,24.0,9.0,43.0,22.0,26.0,5.0,4.0,0.0,4.0,0.0,0.0,0.0,51.0,76.0,29.0,41.0,33.0,26.0,17.0,9,11,53,-1,-1,-1,-1,-1,OR,-1,-1,crook or,96.0,4.0,96.0,0,0
9,1,All HUD,-1,Curry County,41015,-1,-1,151.0,-1.0,5.0,21.0,1.6,235.0,279.0,305.0,10.9,7.0,4.0,52.0,28.0,13.0,4.0,13.0,7.0,77.0,29.0,93.0,62.0,6.0,15.0,74.0,19.0,62.0,33.0,35.0,4.0,33.0,23.0,40.0,3.0,4.0,1.0,2.0,0.0,1.0,17.0,56.0,74.0,13.0,48.0,40.0,13.0,25.0,6,7,32,-1,-1,-1,-1,-1,OR,-1,-1,curry or,96.0,4.0,96.0,0,0
9,1,All HUD,-1,Deschutes County,41017,-1,-1,1209.0,-1.0,5.0,6.0,2.0,2403.0,260.0,509.0,11.3,5.8,13.0,39.0,28.0,13.0,7.0,23.0,10.0,61.0,23.0,97.0,75.0,11.0,28.0,79.0,35.0,48.0,42.0,26.0,6.0,50.0,14.0,30.0,5.0,5.0,1.0,1.0,1.0,3.0,2.0,59.0,91.0,24.0,36.0,36.0,28.0,21.0,8,11,52,-1,-1,-1,-1,-1,OR,-1,-1,deschutes or,95.0,5.0,95.0,0,0
9,1,All HUD,-1,Douglas County,41019,-1,-1,1227.0,-1.0,6.0,24.0,1.9,2298.0,256.0,352.0,10.7,5.8,7.0,48.0,28.0,11.0,5.0,19.0,8.0,70.0,28.0,96.0,62.0,11.0,24.0,77.0,32.0,43.0,29.0,22.0,8.0,40.0,17.0,35.0,4.0,5.0,0.0,1.0,0.0,3.0,25.0,52.0,86.0,32.0,49.0,34.0,16.0,14.0,7,14,44,-1,-1,-1,-1,-1,OR,-1,-1,douglas or,95.0,5.0,95.0,0,0
