gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,OR Oregon,OR Baker County 41001,9,Summary of All HUD Programs,1,A,Baker County,41001,329.0,97,309,97,5.77097369752151,10,1.95885051748053,585.925531914895,271.586430985183,400.216697726426,11060.7976668919,5646.57566679375,7,50,25,11,7,9,18,71,26,94,69,10,25,75,30,59,57,33,4,43,26,27,2,8,1,3,0,4,14.1696190852775,67.3509004042632,76,145.16552436391,35,41,24,26,21,8,72,A,A,A,-1,-1,OR,-1,A,baker or,92,8,92,0,0
County,OR Oregon,OR Benton County 41003,9,Summary of All HUD Programs,1,A,Benton County,41003,1016.0,98,924,97,4.71612788876939,8,1.89133455612438,1522.184750138,306.777675329726,495.790636806965,11622.0513084707,6144.89449835149,9,42,27,14,9,14,7,78,20,99,85,7,27,72,29,57,50,32,2,47,25,26,4,11,2,2,2,6,30.8731481481482,80.8072815325559,71,124.51617268501,43,37,20,19,29,22,42,A,A,A,-1,-1,OR,-1,A,benton or,89,11,89,0,0
County,OR Oregon,OR Clackamas County 41005,9,Summary of All HUD Programs,1,A,Clackamas County,41005,2770.0,97,2674,99,5.18785465101709,7,2.15565695857973,5834.84205841129,316.369609325764,553.909616965097,12182.790118402,5651.5439851936,10,40,26,12,13,19,10,71,21,98,81,6,32,77,34,47,42,24,2,50,20,28,3,12,4,3,1,5,48.6139220838355,80.1222488432903,93,109.50571500747,36,37,26,16,13,18,61,A,A,A,-1,-1,OR,-1,A,clackamas or,88,12,88,0,0
County,OR Oregon,OR Clatsop County 41007,9,Summary of All HUD Programs,1,A,Clatsop County,41007,536.0,91,450,96,5.27923900639772,12,1.61615385912519,832.811680911678,313.59240750155,448.624850098895,11564.5460987732,7155.59724309476,9,39,31,13,8,13,9,76,27,95,66,4,19,68,20,59,55,38,3,33,28,36,3,7,1,2,1,2,27.3635619314206,73.3726397229274,68,97.1857453853613,59,31,9,11,14,14,60,A,A,A,-1,-1,OR,-1,A,clatsop or,93,7,93,0,0
County,OR Oregon,OR Columbia County 41009,9,Summary of All HUD Programs,1,A,Columbia County,41009,586.0,89,506,97,4.36089744493021,7,2.00394024574368,1046.50641025641,309.942085354972,576.234774770329,11543.3647552523,5760.33381223322,10,41,25,15,9,14,16,68,20,99,85,7,28,75,31,51,53,29,2,51,20,27,2,6,1,2,1,3,42.3172043010753,75.5155839075158,91,132.179653679655,27,44,29,31,13,12,72,A,A,A,-1,-1,OR,-1,A,columbia or,94,6,94,0,0
County,OR Oregon,OR Coos County 41011,9,Summary of All HUD Programs,1,A,Coos County,41011,1066.0,91,990,100,5.36736366869135,14,1.82716109349395,1856.7008122955,275.629831019448,392.562888335265,10859.1999497737,5943.20883278464,8,47,26,12,6,15,15,68,26,96,68,7,25,72,27,52,56,32,4,44,24,28,2,8,1,4,1,3,19.5294965769645,62.7123490677257,85,90.3641761376446,43,42,15,18,17,15,67,A,A,A,-1,-1,OR,-1,A,coos or,92,8,92,0,0
County,OR Oregon,OR Crook County 41013,9,Summary of All HUD Programs,1,A,Crook County,41013,105.0,91,107,97,5.67311699082616,26,2.01995372653966,246.252491694352,267.086062223248,445.699543469251,10287.8705220617,5093.12188041337,9,50,23,12,5,16,13,71,23,99,82,11,29,67,30,53,49,29,3,47,24,26,2,3,0,2,0,1,4.28333333333333,55.8123225661696,74,132.836969431769,39,36,25,15,13,11,73,A,A,A,-1,-1,OR,-1,A,crook or,97,3,97,0,0
County,OR Oregon,OR Curry County 41015,9,Summary of All HUD Programs,1,A,Curry County,41015,238.0,92,216,99,5.33835829387935,13,1.54404350507359,270.087915919506,292.588778072356,370.444400886891,11374.2311823063,7366.52247487299,3,42,36,16,4,9,6,83,28,98,69,5,17,68,17,67,51,43,2,31,28,39,2,6,1,4,1,1,16.4086356718035,62.2249845937566,73,107.397684984104,45,41,14,32,14,10,65,A,A,A,-1,-1,OR,-1,A,curry or,94,6,94,0,0
County,OR Oregon,OR Deschutes County 41017,9,Summary of All HUD Programs,1,A,Deschutes County,41017,1179.0,94,1237,100,5.73580230931178,11,2.05994299776179,2490.06425871225,276.255788544569,547.542866109317,11143.0880439602,5409.41572464267,14,39,24,13,10,15,20,64,21,98,79,6,32,75,32,47,46,26,4,50,18,28,3,7,1,1,1,4,4.12200000000001,69.0668126600798,90,113.087522768639,32,36,32,25,13,15,62,A,A,A,-1,-1,OR,-1,A,deschutes or,93,7,93,0,0
County,OR Oregon,OR Douglas County 41019,9,Summary of All HUD Programs,1,A,Douglas County,41019,1268.0,98,1182,96,4.85971526640159,13,1.80392558657737,2193.49810619258,284.425673713629,351.943592077567,11055.5251272632,6133.72743291606,7,46,27,13,6,12,12,74,27,96,66,6,24,74,27,52,34,27,4,41,21,34,4,5,1,1,0,3,11.0151985011146,55.7855392006473,84,81.016122564916,52,32,15,14,19,11,61,A,A,A,-1,-1,OR,-1,A,douglas or,95,5,95,0,0
County,OR Oregon,OR Gilliam County 41021,9,Summary of All HUD Programs,1,A,Gilliam County,41021,6.0,91,5,98,6.59333333333333,-4,-4.0,-4.0,-4.0,-4.0,-4.0,5314.14285714286,-4,-4,-4,-4,-4,-4,-4,-4,19,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,20,-4,-4,-4,-4,-1.0,66.54,-4,-4.0,-4,-4,-4,-4,11,8,68,A,A,A,-1,-1,OR,-1,A,gilliam or,80,20,80,0,0
County,OR Oregon,OR Grant County 41023,9,Summary of All HUD Programs,1,A,Grant County,41023,80.0,95,70,88,6.76880728082667,20,1.7710219585805,181.039893617021,250.970452155626,458.40094637224,10416.8241492351,5881.81535455627,13,35,38,6,8,26,7,66,26,95,67,9,26,63,27,46,48,28,11,41,21,28,4,6,0,2,0,4,15.8264034068912,42.3958918722032,78,109.2532907858,38,28,34,28,14,7,65,A,A,A,-1,-1,OR,-1,A,grant or,94,6,94,0,0
County,OR Oregon,OR Harney County 41025,9,Summary of All HUD Programs,1,A,Harney County,41025,83.0,92,70,89,6.20705150135812,21,1.41290497492206,144.301384451544,246.933344999074,324.85794114797,10770.486247971,7622.93745095289,16,38,24,11,10,19,6,76,28,91,60,1,21,61,20,39,28,25,14,31,16,39,5,5,0,2,1,3,44.7333333333333,43.4529405572512,79,96.875064165844,65,21,14,13,19,12,74,A,A,A,-1,-1,OR,-1,A,harney or,95,5,95,0,0
County,OR Oregon,OR Hood River County 41027,9,Summary of All HUD Programs,1,A,Hood River County,41027,175.0,91,161,97,5.87190958265775,18,1.90449093719903,313.249732715609,313.561029525976,463.857081212798,12351.3387724945,6485.37545190939,6,41,24,16,13,25,5,70,27,94,66,9,27,74,31,46,30,22,7,41,23,30,3,23,0,2,3,17,29.85,65.1288738723502,79,86.5135841170324,46,38,16,10,9,31,63,A,A,A,-1,-1,OR,-1,A,hood river or,77,23,77,0,0
County,OR Oregon,OR Jackson County 41029,9,Summary of All HUD Programs,1,A,Jackson County,41029,2704.0,91,2584,96,5.17546423621093,10,2.01566329282976,5111.62360122431,305.959097959621,457.639641443953,12084.9680585819,5995.52916480211,7,40,26,16,11,18,13,67,26,96,67,8,29,74,33,40,35,21,3,46,20,31,3,12,3,3,1,7,39.3615555555554,66.2942083749297,96,72.4950291668258,44,34,22,14,18,20,55,A,A,A,-1,-1,OR,-1,A,jackson or,88,12,88,0,0
County,OR Oregon,OR Jefferson County 41031,9,Summary of All HUD Programs,1,A,Jefferson County,41031,135.0,94,85,98,5.16944766766214,19,2.0725798458995,174.461646363972,266.94153912978,507.036539151941,10895.4174996601,5256.93498429806,8,44,26,17,6,15,22,63,26,93,63,3,38,77,36,29,15,13,4,44,13,39,4,11,1,4,0,7,4.46666666666667,57.6500641866163,97,119.470654039684,31,36,34,26,19,44,53,A,A,A,-1,-1,OR,-1,A,jefferson or,89,11,89,0,0
County,OR Oregon,OR Josephine County 41033,9,Summary of All HUD Programs,1,A,Josephine County,41033,1074.0,92,924,98,5.19243154188896,12,2.00199164633068,1935.90367765012,287.940478029324,436.7752124959,10691.2820558651,5340.32301056822,5,53,25,11,6,15,17,68,25,96,73,11,27,75,33,48,46,26,3,48,25,24,2,8,0,3,1,4,27.5793650793651,60.199181872215,90,101.79844867331,41,40,19,17,21,13,61,A,A,A,-1,-1,OR,-1,A,josephine or,92,8,92,0,0
County,OR Oregon,OR Klamath County 41035,9,Summary of All HUD Programs,1,A,Klamath County,41035,953.0,97,942,98,4.81729924357606,15,2.1490483048111,1968.31115319315,256.291190473288,421.375236510333,10089.6009976275,4694.9158727795,12,50,22,9,6,14,25,59,23,97,77,9,36,75,36,37,43,19,5,50,19,25,3,17,2,7,1,7,44.9493298387632,53.0433063072449,87,126.816306909143,42,37,20,10,23,24,61,A,A,A,-1,-1,OR,-1,A,klamath or,83,17,83,0,0
County,OR Oregon,OR Lake County 41037,9,Summary of All HUD Programs,1,A,Lake County,41037,62.0,98,64,100,5.40107526881719,16,1.921875,115.522332506203,279.0,373.031249999999,10364.625,5392.9756097561,8,55,20,11,6,14,13,72,24,97,75,6,31,75,30,43,67,28,2,48,22,28,3,3,0,2,0,2,29.9566666666667,61.2515624999999,100,157.75,34,45,20,19,16,14,69,A,A,A,-1,-1,OR,-1,A,lake or,97,3,97,0,0
County,OR Oregon,OR Lane County 41039,9,Summary of All HUD Programs,1,A,Lane County,41039,5166.0,97,4951,99,5.55862780261243,12,1.93251927022652,9352.72907713367,276.960678607561,452.378810447551,10894.0649765205,5637.23484901838,12,43,24,13,8,16,9,75,23,97,75,7,27,73,31,48,40,26,3,46,21,30,3,12,3,3,2,5,18.0315197241635,80.4001435168985,83,86.1523509354625,46,35,19,13,21,18,51,A,A,A,-1,-1,OR,-1,A,lane or,88,12,88,0,0
