Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,Unnamed: 50,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2019-12-31 00:00:00,County,OR Oregon,OR Gilliam County 41021,9,Summary of All HUD Programs,1,,Gilliam County,41021,6,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-8.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,OR,,,gilliam or,-4,-4,0,0
2019-12-31 00:00:00,County,OR Oregon,OR Wheeler County 41069,9,Summary of All HUD Programs,1,,Wheeler County,41069,1,-4,-4,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-8.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,OR,,,wheeler or,-4,-4,0,0
2019-12-31 00:00:00,County,OR Oregon,OR Douglas County 41019,9,Summary of All HUD Programs,1,,Douglas County,41019,1351,95,1319,100,5,19,1.6,2148,299,458,12708,7804,3,38,32,16,10,15,4,79,28,95,63,3,19,66,18,58,45,35,2,32,24,42,3,7,1,2,1,90,97.0,0,3,1,3,2,16,67,83,82,56,31,13,18,17,11,63,,,,,,OR,,,douglas or,10,90,0,0
2019-12-31 00:00:00,County,OR Oregon,OR Crook County 41013,9,Summary of All HUD Programs,1,,Crook County,41013,147,92,140,100,5,15,2.1,290,355,591,13572,6552,5,39,23,15,18,14,5,79,30,92,60,8,25,74,31,57,46,31,2,42,23,33,1,5,-1,1,1,93,98.0,-1,3,-1,3,1,9,79,71,106,43,34,23,14,15,11,74,,,,,,OR,,,crook or,7,93,0,0
2019-12-31 00:00:00,County,OR Oregon,OR Deschutes County 41017,9,Summary of All HUD Programs,1,,Deschutes County,41017,1322,95,1301,100,5,15,1.9,2494,361,636,14836,7739,5,27,29,17,23,22,3,71,25,95,71,5,28,75,29,53,51,30,2,41,20,37,4,9,2,2,1,89,98.0,0,4,1,5,2,8,88,91,98,37,37,26,26,14,15,61,,,,,,OR,,,deschutes or,11,89,0,0
2019-12-31 00:00:00,County,OR Oregon,OR Josephine County 41033,9,Summary of All HUD Programs,1,,Josephine County,41033,1025,87,972,100,5,13,1.8,1751,324,566,12994,7213,4,40,28,14,13,18,8,73,29,92,63,6,26,76,28,49,54,31,3,41,21,36,2,10,1,3,1,88,98.0,0,5,1,5,3,10,77,90,98,46,41,13,18,21,13,65,,,,,,OR,,,josephine or,12,88,0,0
2019-12-31 00:00:00,County,OR Oregon,OR Grant County 41023,9,Summary of All HUD Programs,1,,Grant County,41023,108,93,102,100,6,23,1.5,152,281,505,11616,7795,9,34,37,11,9,20,8,71,27,91,59,2,19,66,18,42,67,36,6,36,14,44,3,11,3,5,1,87,98.0,-1,2,-1,2,1,11,58,78,123,39,29,31,41,14,7,69,,,,,,OR,,,grant or,13,87,0,0
2019-12-31 00:00:00,County,OR Oregon,OR Jackson County 41029,9,Summary of All HUD Programs,1,,Jackson County,41029,2964,98,2879,99,5,18,1.8,5239,345,541,14037,7714,4,32,29,18,17,20,5,72,28,94,64,8,21,71,25,51,46,30,3,38,20,39,3,13,3,2,1,85,98.0,0,6,1,7,2,37,77,95,76,56,31,13,12,23,21,53,,,,,,OR,,,jackson or,15,85,0,0
2019-12-31 00:00:00,County,OR Oregon,OR Lane County 41039,9,Summary of All HUD Programs,1,,Lane County,41039,5216,95,4906,99,5,10,1.8,8982,345,530,13207,7214,7,36,27,15,16,18,4,75,26,95,70,5,24,70,26,53,53,33,1,39,22,37,2,15,4,3,2,83,98.0,0,5,1,6,3,18,97,84,93,51,32,17,13,24,18,49,,,,,,OR,,,lane or,17,83,0,0
2019-12-31 00:00:00,County,OR Oregon,OR Marion County 41047,9,Summary of All HUD Programs,1,,Marion County,41047,5066,86,4251,98,7,11,2.2,9184,371,557,14467,6696,5,35,24,15,21,25,7,66,26,95,69,6,31,75,33,42,52,25,2,43,19,35,2,27,4,3,3,71,98.0,0,15,2,17,3,26,88,95,92,43,36,21,14,20,36,55,,,,,,OR,,,marion or,29,71,0,0
2019-12-31 00:00:00,County,OR Oregon,OR Multnomah County 41051,9,Summary of All HUD Programs,1,,Multnomah County,41051,15963,92,15346,100,8,10,1.9,29030,382,841,13256,7008,6,40,25,12,18,20,5,68,19,98,84,6,20,20,3,49,49,29,1,35,23,41,3,45,27,3,7,53,98.0,1,6,1,8,3,1,104,81,127,58,25,18,11,22,32,41,,,,,,OR,,,multnomah or,47,53,0,0
2019-12-31 00:00:00,County,OR Oregon,OR Curry County 41015,9,Summary of All HUD Programs,1,,Curry County,41015,179,89,166,100,6,13,1.5,241,290,475,11804,8131,2,41,32,18,8,12,1,80,28,96,64,2,14,66,11,58,53,43,1,22,22,55,5,4,1,2,1,95,99.0,-1,-1,-1,0,1,12,81,72,96,46,43,10,34,16,11,68,,,,,,OR,,,curry or,5,95,0,0
2019-12-31 00:00:00,County,OR Oregon,OR Columbia County 41009,9,Summary of All HUD Programs,1,,Columbia County,41009,658,82,533,99,6,5,1.9,1033,344,630,13795,7118,7,32,26,17,19,17,5,74,20,99,86,6,22,72,24,54,64,33,1,36,27,37,2,5,0,1,0,94,99.0,0,3,0,3,0,26,103,92,144,30,49,21,34,15,12,69,,,,,,OR,,,columbia or,6,94,0,0
2019-12-31 00:00:00,County,OR Oregon,OR Harney County 41025,9,Summary of All HUD Programs,1,,Harney County,41025,120,93,112,100,7,17,1.4,155,287,355,12141,8773,5,40,28,21,6,13,1,83,29,94,54,4,12,57,12,62,46,41,1,30,16,53,4,7,-1,2,1,92,99.0,-1,2,3,4,1,24,71,83,126,78,21,1,5,19,12,70,,,,,,OR,,,harney or,8,92,0,0
2019-12-31 00:00:00,County,OR Oregon,OR Wasco County 41065,9,Summary of All HUD Programs,1,,Wasco County,41065,551,95,546,100,5,21,1.9,1059,338,577,13759,7094,3,35,26,15,21,26,4,64,28,92,63,10,25,73,31,49,65,30,5,45,23,27,1,13,1,2,1,86,99.0,-1,8,1,8,2,28,67,89,85,43,40,16,17,15,24,61,,,,,,OR,,,wasco or,14,86,0,0
2019-12-31 00:00:00,County,OR Oregon,OR Clackamas County 41005,9,Summary of All HUD Programs,1,,Clackamas County,41005,2935,89,2747,100,6,12,2.0,5440,381,802,15106,7628,4,33,25,15,23,21,5,68,22,96,79,5,26,76,28,50,52,30,1,41,23,35,3,16,5,2,2,83,99.0,0,6,1,7,2,49,102,93,111,41,39,20,17,12,19,58,,,,,,OR,,,clackamas or,17,83,0,0
2019-12-31 00:00:00,County,OR Oregon,OR Benton County 41003,9,Summary of All HUD Programs,1,,Benton County,41003,982,96,965,100,5,15,1.8,1781,365,577,13979,7574,4,34,26,15,21,18,7,72,21,98,79,5,25,72,27,59,51,35,3,45,21,32,3,18,3,3,2,81,99.0,0,7,1,9,2,26,84,71,132,49,32,19,16,30,22,41,,,,,,OR,,,benton or,19,81,0,0
2019-12-31 00:00:00,County,OR Oregon,OR Umatilla County 41059,9,Summary of All HUD Programs,1,,Umatilla County,41059,755,90,693,100,6,19,1.9,1327,306,441,13190,6888,5,36,27,14,18,21,7,68,28,93,61,6,30,73,31,43,39,23,6,38,18,38,3,23,1,4,2,76,99.0,0,13,2,16,2,8,65,80,94,43,33,23,18,20,30,64,,,,,,OR,,,umatilla or,24,76,0,0
2019-12-31 00:00:00,County,OR Oregon,OR Hood River County 41027,9,Summary of All HUD Programs,1,,Hood River County,41027,188,96,186,100,6,18,2.0,375,391,578,16228,8049,7,27,19,18,29,38,5,55,28,89,60,10,32,74,36,36,42,20,4,42,23,31,3,28,1,3,2,71,99.0,1,23,-1,23,2,28,72,96,88,44,38,18,12,13,31,65,,,,,,OR,,,hood river or,29,71,0,0
2019-12-31 00:00:00,County,OR Oregon,OR Malheur County 41045,9,Summary of All HUD Programs,1,,Malheur County,41045,524,94,478,99,5,28,2.4,1129,289,465,12043,5099,6,42,25,14,14,23,10,60,26,95,69,12,30,72,34,48,69,25,3,47,23,26,1,34,3,1,0,65,99.0,-1,28,1,29,0,54,59,90,115,40,33,27,13,30,49,53,,,,,,OR,,,malheur or,35,65,0,0
2019-12-31 00:00:00,County,OR Oregon,OR Washington County 41067,9,Summary of All HUD Programs,1,,Washington County,41067,3952,93,3716,100,5,8,2.1,7854,417,840,16019,7579,4,32,23,15,27,24,3,69,23,96,76,8,23,71,25,50,53,29,1,39,23,38,4,35,10,1,8,64,99.0,0,14,1,15,1,26,121,98,117,41,34,24,17,15,38,48,,,,,,OR,,,washington or,36,64,0,0
2019-12-31 00:00:00,County,OR Oregon,OR Sherman County 41055,9,Summary of All HUD Programs,1,,Sherman County,41055,16,98,16,100,5,13,1.4,23,333,560,13773,9581,-1,13,47,27,13,13,-1,81,28,100,63,-1,25,75,25,67,90,61,-1,25,13,63,13,0,-1,-1,-1,100,100.0,-1,-1,-1,0,0,15,87,100,134,63,25,13,19,13,8,69,,,,,,OR,,,sherman or,0,100,0,0
2019-12-31 00:00:00,County,OR Oregon,OR Morrow County 41049,9,Summary of All HUD Programs,1,,Morrow County,41049,37,84,30,97,5,7,1.3,40,285,424,11409,8556,-1,36,46,14,4,7,-1,87,26,100,73,-1,7,67,7,73,27,40,-1,20,30,50,-1,3,-1,-1,-1,97,100.0,-1,3,-1,3,0,2,84,60,138,53,27,20,33,14,28,64,,,,,,OR,,,morrow or,3,97,0,0
2019-12-31 00:00:00,County,OR Oregon,OR Tillamook County 41057,9,Summary of All HUD Programs,1,,Tillamook County,41057,169,81,136,99,6,6,1.5,209,332,640,12328,8022,5,37,35,15,7,10,-1,86,29,96,60,2,14,71,15,69,76,50,-1,23,35,42,4,4,1,1,1,96,100.0,-1,1,-1,1,0,29,104,76,92,58,26,15,22,19,17,68,,,,,,OR,,,tillamook or,4,96,0,0
2019-12-31 00:00:00,County,OR Oregon,OR Wallowa County 41063,9,Summary of All HUD Programs,1,,Wallowa County,41063,94,92,86,100,6,20,1.5,128,281,452,10769,7236,6,40,38,15,1,12,3,80,25,100,70,-1,21,63,17,60,46,38,-1,37,35,28,1,5,2,-1,1,95,100.0,-1,1,-1,1,0,31,78,98,114,53,28,19,27,15,6,73,,,,,,OR,,,wallowa or,5,95,0,0
2019-12-31 00:00:00,County,OR Oregon,OR Clatsop County 41007,9,Summary of All HUD Programs,1,,Clatsop County,41007,551,85,468,100,7,7,1.5,698,369,587,13477,9036,3,32,33,17,15,15,1,80,28,92,64,3,14,67,14,62,59,43,1,24,25,49,2,6,1,0,1,94,100.0,-1,3,0,3,0,25,97,76,98,64,28,9,15,11,14,63,,,,,,OR,,,clatsop or,6,94,0,0
2019-12-31 00:00:00,County,OR Oregon,OR Lake County 41037,9,Summary of All HUD Programs,1,,Lake County,41037,44,94,43,100,5,14,1.6,69,207,468,7929,4941,21,49,23,8,-1,7,5,79,19,100,84,2,23,77,21,47,85,38,5,35,30,30,-1,7,-1,5,2,93,100.0,-1,-1,-1,0,2,12,74,100,107,35,53,12,33,17,14,73,,,,,,OR,,,lake or,7,93,0,0
2019-12-31 00:00:00,County,OR Oregon,OR Union County 41061,9,Summary of All HUD Programs,1,,Union County,41061,656,93,604,99,5,21,2.1,1266,300,487,12557,5991,6,39,25,15,14,22,8,65,26,95,70,9,32,70,34,50,64,29,4,45,24,26,1,9,2,2,3,91,100.0,-1,3,0,3,1,38,67,87,122,39,35,25,17,20,11,57,,,,,,OR,,,union or,9,91,0,0
2019-12-31 00:00:00,County,OR Oregon,OR Baker County 41001,9,Summary of All HUD Programs,1,,Baker County,41001,302,94,280,98,5,19,1.9,525,301,450,12274,6546,2,43,31,13,11,14,7,75,28,95,63,5,24,66,23,60,64,37,1,40,28,31,3,10,1,4,0,90,100.0,0,4,0,5,0,24,71,76,141,43,34,24,24,15,8,74,,,,,,OR,,,baker or,10,90,0,0
2019-12-31 00:00:00,County,OR Oregon,OR Coos County 41011,9,Summary of All HUD Programs,1,,Coos County,41011,1134,89,1037,100,5,17,1.8,1847,314,474,12637,7095,4,40,29,14,13,15,3,77,28,93,64,4,23,71,22,57,67,38,3,34,25,38,2,10,2,3,1,90,100.0,0,4,0,4,2,12,78,85,90,48,37,14,20,18,15,65,,,,,,OR,,,coos or,10,90,0,0
2019-12-31 00:00:00,County,OR Oregon,OR Lincoln County 41041,9,Summary of All HUD Programs,1,,Lincoln County,41041,792,94,728,98,5,12,1.8,1325,376,473,14748,8103,3,32,28,17,20,23,4,70,33,87,51,2,27,73,26,49,56,32,3,34,22,41,2,12,1,3,1,88,100.0,-1,6,1,7,2,14,81,82,98,40,42,19,24,18,19,62,,,,,,OR,,,lincoln or,12,88,0,0
2019-12-31 00:00:00,County,OR Oregon,OR Linn County 41043,9,Summary of All HUD Programs,1,,Linn County,41043,1956,97,1936,100,5,11,2.0,3784,391,590,13621,6969,5,35,27,16,17,19,4,74,26,96,68,7,28,75,31,55,64,34,3,41,24,33,2,12,1,3,1,88,100.0,0,7,0,7,2,25,89,91,144,38,43,19,21,18,16,61,,,,,,OR,,,linn or,12,88,0,0
2019-12-31 00:00:00,County,OR Oregon,OR Baker County 41001,9,Housing Choice Vouchers,3,,Baker County,41001,282,94,259,98,5,20,1.9,502,302,452,12269,6330,2,42,31,14,11,15,7,73,27,95,62,5,26,66,25,59,64,36,2,42,28,28,2,10,1,3,0,90,,0,4,0,5,0,24,73,82,141,38,36,26,26,15,8,74,,,,,,OR,,,baker or,10,90,0,0
2019-12-31 00:00:00,County,OR Oregon,OR Baker County 41001,9,Project Based Section 8,5,,Baker County,41001,20,100,21,100,10,5,1.1,23,286,424,12327,11255,-1,57,24,10,10,-1,-1,100,31,90,71,-1,-1,67,-1,100,60,65,-1,10,19,71,10,5,-1,5,-1,95,,-1,-1,-1,0,0,-1,50,-1,-1,100,-1,-1,-1,19,8,68,,,,,,OR,,,baker or,5,95,0,0
