Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2021-12-31 00:00:00,County,OR Oregon,OR Baker County 41001,9,Summary of All HUD Programs,1,,Baker County,41001,289,83,243,100,6,8,1.9,460,325,521,13429,7094,1,35,31,16,17,11,4,79,27,95,67,5,23,63,22,59,66,37,1,37,26,37,2,7,2,2,0,93,0,2,1,3,0,84,84,77,150,42,35,23,26,12,8,72,,,,,,OR,,,baker or,7,93,0,0
2021-12-31 00:00:00,County,OR Oregon,OR Baker County 41001,9,Housing Choice Vouchers,3,,Baker County,41001,269,82,223,100,6,8,2.0,437,327,529,13464,6871,1,33,32,16,17,12,4,77,27,96,67,5,26,64,24,58,69,36,1,38,27,34,2,8,2,2,0,92,0,2,1,3,0,84,86,84,150,37,38,25,28,12,8,73,,,,,,OR,,,baker or,8,92,0,0
2021-12-31 00:00:00,County,OR Oregon,OR Baker County 41001,9,Project Based Section 8,5,,Baker County,41001,20,99,20,100,10,10,1.2,23,304,434,13032,11332,-1,55,20,15,10,-1,-1,100,29,90,70,-1,-1,55,-1,100,53,57,-1,20,10,70,10,0,-1,-1,-1,95,-1,-1,-1,0,0,-1,63,-1,-1,100,-1,-1,-1,14,8,69,,,,,,OR,,,baker or,5,95,0,1
2021-12-31 00:00:00,County,OR Oregon,OR Benton County 41003,9,Summary of All HUD Programs,1,,Benton County,41003,1115,91,1047,100,5,10,1.8,1919,348,691,14355,7832,6,32,26,14,22,15,6,75,22,97,78,4,25,74,27,60,52,36,2,43,21,34,3,17,3,3,2,81,0,7,1,9,3,27,90,74,102,48,32,20,18,29,21,43,,,,,,OR,,,benton or,19,81,0,0
2021-12-31 00:00:00,County,OR Oregon,OR Benton County 41003,9,Housing Choice Vouchers,3,,Benton County,41003,865,90,811,100,5,10,2.0,1601,358,698,14407,7298,6,34,26,12,22,16,7,72,21,97,79,5,30,74,31,59,68,37,2,47,24,27,1,19,4,3,2,81,0,8,1,10,3,26,91,90,104,39,38,23,22,26,20,48,,,,,,OR,,,benton or,19,81,0,0
2021-12-31 00:00:00,County,OR Oregon,OR Benton County 41003,9,Mod Rehab,4,,Benton County,41003,35,97,33,97,6,9,1.0,34,269,443,11634,11292,6,34,38,16,6,6,-1,88,20,100,88,-1,-1,48,-1,100,59,76,-1,33,15,52,-1,15,3,3,-1,85,-1,9,-1,9,0,55,97,-1,-1,100,-1,-1,-1,56,24,26,,,,,,OR,,,benton or,15,85,0,0
2021-12-31 00:00:00,County,OR Oregon,OR Benton County 41003,9,Project Based Section 8,5,,Benton County,41003,215,93,203,100,7,8,1.4,284,323,706,14589,10428,2,27,28,21,22,8,3,83,24,98,74,3,12,76,13,58,22,26,1,27,12,61,11,8,1,2,2,82,-1,1,2,3,1,-1,83,23,76,77,14,9,4,35,25,31,,,,,,OR,,,benton or,12,88,0,1
2021-12-31 00:00:00,County,OR Oregon,OR Clackamas County 41005,9,Summary of All HUD Programs,1,,Clackamas County,41005,2992,87,2804,100,6,12,1.9,5364,389,914,15292,7994,5,32,26,14,24,18,4,70,20,97,82,4,25,75,27,51,52,31,2,38,24,36,3,18,6,3,2,82,0,7,1,8,2,27,103,94,117,42,39,19,19,11,19,57,,,,,,OR,,,clackamas or,18,82,0,0
2021-12-31 00:00:00,County,OR Oregon,OR Clackamas County 41005,9,Public Housing,2,,Clackamas County,41005,444,97,430,100,6,7,2.6,1115,434,638,18388,7091,6,31,19,10,34,27,6,56,22,92,77,6,37,82,39,39,72,25,1,50,23,25,2,21,8,2,3,79,0,7,1,9,2,58,145,100,141,20,35,44,21,12,13,76,,,,,,OR,,,clackamas or,21,79,0,0
2021-12-31 00:00:00,County,OR Oregon,OR Clackamas County 41005,9,Housing Choice Vouchers,3,,Clackamas County,41005,1916,82,1764,100,6,14,1.9,3350,391,1082,14540,7656,5,33,26,13,22,17,5,70,19,97,83,4,27,74,27,53,63,34,2,39,27,31,2,19,7,3,1,81,0,8,0,8,3,23,97,94,126,38,46,17,22,12,21,50,,,,,,OR,,,clackamas or,19,81,0,0
2021-12-31 00:00:00,County,OR Oregon,OR Clackamas County 41005,9,Project Based Section 8,5,,Clackamas County,41005,413,92,396,100,6,13,1.7,674,361,869,15516,9116,4,32,28,12,24,20,4,74,21,97,80,7,21,73,23,48,37,27,3,34,17,47,4,15,2,3,2,82,-1,7,2,8,2,-1,87,100,76,54,35,12,13,12,18,61,,,,,,OR,,,clackamas or,18,82,0,0
2021-12-31 00:00:00,County,OR Oregon,OR Clackamas County 41005,9,202/PRAC,8,,Clackamas County,41005,151,97,148,100,6,9,1.0,154,353,234,16108,15480,1,14,38,24,24,-1,-1,99,24,100,76,-1,-1,79,-1,-1,11,10,-1,-1,-1,100,18,5,1,2,3,93,-1,-1,-1,0,2,-1,93,59,43,100,-1,-1,-1,8,16,61,,,,,,OR,,,clackamas or,7,93,0,0
2021-12-31 00:00:00,County,OR Oregon,OR Clackamas County 41005,9,811/PRAC,9,,Clackamas County,41005,68,98,66,98,6,6,1.1,71,272,480,12058,11209,2,40,24,29,5,-1,-1,94,18,100,95,-1,3,52,2,100,100,93,-1,36,41,23,-1,11,3,5,-1,88,-1,-1,3,3,6,-1,98,100,59,100,-1,-1,-1,8,15,66,,,,,,OR,,,clackamas or,12,88,0,0
2021-12-31 00:00:00,County,OR Oregon,OR Clatsop County 41007,9,Summary of All HUD Programs,1,,Clatsop County,41007,547,88,473,98,6,4,1.5,698,355,634,14388,9750,5,30,32,18,16,10,3,85,27,94,70,2,14,66,12,66,58,45,1,22,23,55,3,6,1,0,1,93,-1,3,0,4,1,23,106,76,101,61,32,7,18,10,14,63,,,,,,OR,,,clatsop or,7,93,0,0
