State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
OR,Baker County,25150,28750,32350,35900,38800,41650,44550,47400,15100,18310,23030,27750,32470,37190,41910,46630,40250,46000,51750,57450,62050,66650,71250,75850
OR,Benton County,33300,38050,42800,47550,51400,55200,59000,62800,20000,22850,25700,28550,32470,37190,41910,46630,53250,60850,68450,76050,82150,88250,94350,100400
OR,Clackamas County,37300,42600,47950,53250,57550,61800,66050,70300,22400,25600,28800,31950,34550,37190,41910,46630,59650,68200,76700,85200,92050,98850,105650,112500
OR,Clatsop County,27950,31950,35950,39900,43100,46300,49500,52700,16800,19200,23030,27750,32470,37190,41910,46630,44700,51100,57500,63850,69000,74100,79200,84300
OR,Columbia County,37300,42600,47950,53250,57550,61800,66050,70300,22400,25600,28800,31950,34550,37190,41910,46630,59650,68200,76700,85200,92050,98850,105650,112500
OR,Coos County,25150,28750,32350,35900,38800,41650,44550,47400,15100,18310,23030,27750,32470,37190,41910,46630,40250,46000,51750,57450,62050,66650,71250,75850
OR,Crook County,25150,28750,32350,35900,38800,41650,44550,47400,15100,18310,23030,27750,32470,37190,41910,46630,40250,46000,51750,57450,62050,66650,71250,75850
OR,Curry County,25150,28750,32350,35900,38800,41650,44550,47400,15100,18310,23030,27750,32470,37190,41910,46630,40250,46000,51750,57450,62050,66650,71250,75850
OR,Deschutes County,31500,36000,40500,44950,48550,52150,55750,59350,18900,21600,24300,27750,32470,37190,41910,46630,50350,57550,64750,71900,77700,83450,89200,94950
OR,Douglas County,25150,28750,32350,35900,38800,41650,44550,47400,15100,18310,23030,27750,32470,37190,41910,46630,40250,46000,51750,57450,62050,66650,71250,75850
OR,Gilliam County,25150,28750,32350,35900,38800,41650,44550,47400,15100,18310,23030,27750,32470,37190,41910,46630,40250,46000,51750,57450,62050,66650,71250,75850
OR,Grant County,25150,28750,32350,35900,38800,41650,44550,47400,15100,18310,23030,27750,32470,37190,41910,46630,40250,46000,51750,57450,62050,66650,71250,75850
OR,Harney County,25150,28750,32350,35900,38800,41650,44550,47400,15100,18310,23030,27750,32470,37190,41910,46630,40250,46000,51750,57450,62050,66650,71250,75850
OR,Hood River County,29450,33650,37850,42050,45450,48800,52150,55550,17700,20200,23030,27750,32470,37190,41910,46630,47150,53850,60600,67300,72700,78100,83500,88850
OR,Jackson County,26750,30600,34400,38200,41300,44350,47400,50450,16050,18350,23030,27750,32470,37190,41910,46630,42800,48900,55000,61100,66000,70900,75800,80700
OR,Jefferson County,25150,28750,32350,35900,38800,41650,44550,47400,15100,18310,23030,27750,32470,37190,41910,46630,40250,46000,51750,57450,62050,66650,71250,75850
OR,Josephine County,25150,28750,32350,35900,38800,41650,44550,47400,15100,18310,23030,27750,32470,37190,41910,46630,40250,46000,51750,57450,62050,66650,71250,75850
OR,Klamath County,25150,28750,32350,35900,38800,41650,44550,47400,15100,18310,23030,27750,32470,37190,41910,46630,40250,46000,51750,57450,62050,66650,71250,75850
OR,Lake County,25150,28750,32350,35900,38800,41650,44550,47400,15100,18310,23030,27750,32470,37190,41910,46630,40250,46000,51750,57450,62050,66650,71250,75850
OR,Lane County,27900,31850,35850,39800,43000,46200,49400,52550,16750,19150,23030,27750,32470,37190,41910,46630,44600,51000,57350,63700,68800,73900,79000,84100
OR,Lincoln County,25150,28750,32350,35900,38800,41650,44550,47400,15100,18310,23030,27750,32470,37190,41910,46630,40250,46000,51750,57450,62050,66650,71250,75850
OR,Linn County,26300,30050,33800,37550,40600,43600,46600,49600,15800,18310,23030,27750,32470,37190,41910,46630,42100,48100,54100,60100,64950,69750,74550,79350
OR,Malheur County,25150,28750,32350,35900,38800,41650,44550,47400,15100,18310,23030,27750,32470,37190,41910,46630,40250,46000,51750,57450,62050,66650,71250,75850
