sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Adams County,42001,-1,-1,743,-1,4,25,1.8,1339,286,400,12.4,6.9,6,35,31,17,10,21,7,72,27,98,64,7,25,81,30,51,19,23,5,37,15,43,6,13,7,0,0,6,9,55,95,45,57,25,18,8,8,9,51,-1,-1,-1,-1,-1,PA,-1,-1,adams pa,87,13,87,0,0
9,1,All HUD,-1,Allegheny County,42003,-1,-1,29360,-1,6,14,1.9,54996,251,534,11.4,6.1,18,35,24,13,10,20,11,64,24,95,70,6,31,81,35,34,20,18,12,39,14,35,6,59,58,0,0,1,16,77,60,45,50,28,22,11,42,24,36,-1,-1,-1,-1,-1,PA,-1,-1,allegheny pa,41,59,41,0,0
9,1,All HUD,-1,Armstrong County,42005,-1,-1,996,-1,5,20,1.4,1429,242,339,11.4,8.0,8,43,28,13,8,9,4,85,30,90,59,6,9,72,13,71,36,41,4,27,19,50,8,3,2,1,0,0,7,75,33,13,73,15,12,10,3,13,48,-1,-1,-1,-1,-1,PA,-1,-1,armstrong pa,97,3,97,0,0
9,1,All HUD,-1,Beaver County,42007,-1,-1,3483,-1,5,21,1.8,6171,233,420,11.4,6.4,17,36,24,14,9,20,10,67,25,94,68,6,27,78,31,38,21,20,12,37,15,37,7,31,30,0,0,1,10,73,58,38,49,29,22,16,19,17,52,-1,-1,-1,-1,-1,PA,-1,-1,beaver pa,69,31,69,0,0
9,1,All HUD,-1,Bedford County,42009,-1,-1,559,-1,5,21,1.8,1026,254,384,10.7,5.9,12,46,24,13,6,19,5,73,27,94,69,10,25,79,30,44,14,21,8,39,16,36,4,1,0,0,0,0,12,66,74,35,50,33,17,10,2,9,47,-1,-1,-1,-1,-1,PA,-1,-1,bedford pa,99,1,99,0,0
9,1,All HUD,-1,Berks County,42011,-1,-1,3987,-1,5,17,2.0,8006,251,428,11.2,5.6,13,40,25,13,8,18,14,67,22,98,78,7,30,81,36,43,28,22,8,38,15,39,7,59,9,0,0,49,17,67,40,13,58,21,21,5,50,32,19,-1,-1,-1,-1,-1,PA,-1,-1,berks pa,41,59,41,0,0
9,1,All HUD,-1,Blair County,42013,-1,-1,2714,-1,5,22,1.7,4699,232,353,10.8,6.3,13,41,28,13,5,18,6,73,27,94,65,9,21,75,26,45,22,23,9,35,17,39,6,7,6,0,0,2,17,62,61,30,57,24,19,11,5,25,45,-1,-1,-1,-1,-1,PA,-1,-1,blair pa,93,7,93,0,0
9,1,All HUD,-1,Bradford County,42015,-1,-1,846,-1,6,17,1.5,1237,254,292,11.8,8.1,4,44,31,13,9,10,2,88,31,90,56,6,10,68,13,66,32,34,3,26,15,56,11,0,0,0,0,0,17,67,41,38,81,13,6,2,1,9,42,-1,-1,-1,-1,-1,PA,-1,-1,bradford pa,100,0,100,0,0
9,1,All HUD,-1,Bucks County,42017,-1,-1,4992,-1,6,13,1.7,8399,323,533,13.5,8.1,5,32,29,17,16,15,3,81,24,97,72,6,18,74,22,51,27,28,3,32,14,51,8,25,17,0,2,6,30,78,78,59,62,29,10,7,12,6,28,-1,-1,-1,-1,-1,PA,-1,-1,bucks pa,75,25,75,0,0
9,1,All HUD,-1,Butler County,42019,-1,-1,2279,-1,5,16,1.7,3916,258,427,11.9,7.0,11,36,29,15,9,16,4,76,26,95,66,8,21,77,26,44,21,23,6,37,18,40,7,4,3,0,0,1,15,59,68,29,55,23,22,15,4,15,45,-1,-1,-1,-1,-1,PA,-1,-1,butler pa,96,4,96,0,0
