sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,pct_ownsfd,fedhse,cbsa,placefips,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,Adams County,42001,-1,-1,764.0,-1.0,4.0,17.0,1.9,1428.0,311.0,436.0,13.1,7.0,6.0,32.0,30.0,19.0,13.0,21.0,7.0,71.0,26.0,97.0,65.0,10.0,23.0,81.0,29.0,52.0,19.0,23.0,5.0,37.0,15.0,42.0,6.0,13.0,7.0,0.0,0.0,5.0,13.0,59.0,95.0,45.0,54.0,26.0,20.0,10.0,8,9,52,-1,-1,-1,-1,-1,PA,-1,-1,adams pa,87.0,13.0,87.0,0,0
9,1,All HUD,-1,Allegheny County,42003,-1,-1,29294.0,-1.0,6.0,14.0,1.9,54846.0,260.0,508.0,11.7,6.3,18.0,35.0,23.0,14.0,10.0,20.0,10.0,65.0,24.0,95.0,71.0,6.0,31.0,80.0,35.0,35.0,25.0,21.0,11.0,39.0,14.0,35.0,6.0,59.0,58.0,0.0,0.0,1.0,22.0,81.0,60.0,48.0,50.0,28.0,22.0,11.0,40,23,38,-1,-1,-1,-1,-1,PA,-1,-1,allegheny pa,41.0,59.0,41.0,0,0
9,1,All HUD,-1,Armstrong County,42005,-1,-1,962.0,-1.0,5.0,21.0,1.5,1404.0,245.0,367.0,11.6,8.1,9.0,43.0,27.0,14.0,7.0,10.0,4.0,83.0,30.0,90.0,60.0,6.0,11.0,73.0,15.0,71.0,40.0,43.0,5.0,28.0,21.0,46.0,7.0,3.0,2.0,0.0,0.0,0.0,11.0,74.0,36.0,15.0,70.0,17.0,13.0,10.0,3,14,47,-1,-1,-1,-1,-1,PA,-1,-1,armstrong pa,97.0,3.0,97.0,0,0
9,1,All HUD,-1,Beaver County,42007,-1,-1,3529.0,-1.0,5.0,21.0,1.8,6245.0,239.0,448.0,11.8,6.7,18.0,33.0,24.0,14.0,11.0,20.0,9.0,68.0,25.0,94.0,69.0,6.0,27.0,77.0,30.0,38.0,22.0,20.0,12.0,36.0,16.0,36.0,7.0,31.0,30.0,0.0,0.0,1.0,11.0,74.0,56.0,40.0,49.0,30.0,21.0,15.0,17,15,54,-1,-1,-1,-1,-1,PA,-1,-1,beaver pa,69.0,31.0,69.0,0,0
9,1,All HUD,-1,Bedford County,42009,-1,-1,561.0,-1.0,5.0,14.0,1.8,1014.0,264.0,400.0,11.1,6.1,9.0,43.0,27.0,14.0,6.0,19.0,3.0,76.0,27.0,95.0,65.0,9.0,26.0,78.0,29.0,46.0,18.0,22.0,7.0,39.0,19.0,35.0,4.0,1.0,0.0,0.0,0.0,1.0,9.0,71.0,74.0,32.0,51.0,34.0,15.0,10.0,2,10,54,-1,-1,-1,-1,-1,PA,-1,-1,bedford pa,99.0,1.0,99.0,0,0
9,1,All HUD,-1,Berks County,42011,-1,-1,4108.0,-1.0,5.0,17.0,2.1,8431.0,260.0,466.0,11.5,5.6,12.0,39.0,25.0,14.0,9.0,17.0,15.0,67.0,22.0,98.0,77.0,8.0,31.0,81.0,37.0,44.0,29.0,23.0,8.0,39.0,15.0,38.0,6.0,61.0,10.0,0.0,0.0,50.0,16.0,69.0,42.0,14.0,57.0,21.0,22.0,6.0,50,32,18,-1,-1,-1,-1,-1,PA,-1,-1,berks pa,39.0,61.0,39.0,0,0
9,1,All HUD,-1,Blair County,42013,-1,-1,2738.0,-1.0,6.0,20.0,1.8,4793.0,243.0,382.0,11.3,6.5,12.0,38.0,28.0,14.0,8.0,18.0,6.0,73.0,28.0,93.0,62.0,9.0,21.0,74.0,27.0,45.0,24.0,24.0,9.0,36.0,17.0,38.0,6.0,7.0,5.0,0.0,0.0,2.0,20.0,65.0,61.0,32.0,56.0,25.0,19.0,10.0,5,24,46,-1,-1,-1,-1,-1,PA,-1,-1,blair pa,93.0,7.0,93.0,0,0
9,1,All HUD,-1,Bradford County,42015,-1,-1,874.0,-1.0,6.0,17.0,1.4,1255.0,254.0,328.0,11.8,8.3,5.0,42.0,30.0,14.0,8.0,9.0,3.0,87.0,31.0,91.0,56.0,5.0,10.0,73.0,14.0,68.0,29.0,35.0,3.0,26.0,17.0,54.0,11.0,1.0,0.0,0.0,0.0,0.0,15.0,71.0,41.0,37.0,80.0,14.0,6.0,3.0,1,10,47,-1,-1,-1,-1,-1,PA,-1,-1,bradford pa,99.0,1.0,99.0,0,0
9,1,All HUD,-1,Bucks County,42017,-1,-1,5215.0,-1.0,6.0,15.0,1.7,8900.0,330.0,561.0,13.9,8.2,5.0,31.0,28.0,18.0,17.0,15.0,3.0,81.0,24.0,97.0,72.0,5.0,20.0,74.0,24.0,51.0,28.0,27.0,3.0,32.0,14.0,50.0,8.0,27.0,18.0,0.0,2.0,7.0,17.0,79.0,79.0,59.0,61.0,29.0,10.0,7.0,11,5,26,-1,-1,-1,-1,-1,PA,-1,-1,bucks pa,73.0,27.0,73.0,0,0
9,1,All HUD,-1,Butler County,42019,-1,-1,2335.0,-1.0,5.0,16.0,1.7,4071.0,269.0,430.0,12.1,7.0,11.0,35.0,28.0,16.0,10.0,17.0,4.0,75.0,26.0,95.0,68.0,9.0,20.0,76.0,26.0,45.0,22.0,24.0,7.0,36.0,18.0,39.0,7.0,4.0,3.0,0.0,0.0,1.0,15.0,65.0,69.0,31.0,56.0,22.0,22.0,14.0,4,15,45,-1,-1,-1,-1,-1,PA,-1,-1,butler pa,96.0,4.0,96.0,0,0
