gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,PA Pennsylvania,PA Adams County 42001,9,Summary of All HUD Programs,1,A,Adams County,42001,813.0,97,761,96,5.91934085549318,8,1.8484318888867,1480.54999426802,317.670598783801,462.201639173124,13461.0679826984,7274.68673295408,6,31,31,18,15,16,6,76,26,97,67,4,28,80,29,49,29,25,3,39,15,43,5,15,8,0,1,7,11.5993197278912,60.9322343900096,89,121.13174417576,54,29,17,11,9,8,54,A,A,A,-1,-1,PA,-1,A,adams pa,85,15,85,0,0
County,PA Pennsylvania,PA Allegheny County 42003,9,Summary of All HUD Programs,1,A,Allegheny County,42003,36693.0,94,31578,94,7.18289300876224,11,1.88136700808061,63242.6200517424,274.776261851392,621.83360221342,11434.396368606,6071.46097681434,18,34,23,14,12,21,9,70,24,96,71,2,35,79,35,36,32,23,8,41,16,34,6,65,63,0,1,1,21.3341248493096,79.9675649289759,64,147.129384762277,50,28,22,11,23,40,41,A,A,A,-1,-1,PA,-1,A,allegheny pa,35,65,35,0,0
County,PA Pennsylvania,PA Armstrong County 42005,9,Summary of All HUD Programs,1,A,Armstrong County,42005,987.0,97,971,99,5.60431424795581,12,1.49283430572204,1469.23606646494,259.072066399762,360.094406032959,11742.13391866,7862.64707454096,9,41,26,15,9,9,3,87,29,92,63,3,15,71,16,71,41,42,3,30,22,45,7,3,2,0,0,0,6.98731783692641,79.9719007324629,35,126.59297476049,68,19,13,11,14,3,51,A,A,A,-1,-1,PA,-1,A,armstrong pa,97,3,97,0,0
County,PA Pennsylvania,PA Beaver County 42007,9,Summary of All HUD Programs,1,A,Beaver County,42007,4085.0,93,3647,99,5.96586014086494,11,1.77306484745205,6531.94836339378,255.368491169331,431.419923793563,12364.447765415,6963.4210339702,15,31,24,16,14,20,8,71,25,94,68,3,29,76,30,40,27,22,8,37,19,36,7,33,32,0,0,1,7.53565125557253,74.1346746190321,55,94.5813465031805,50,29,21,14,16,19,54,A,A,A,-1,-1,PA,-1,A,beaver pa,67,33,67,0,0
County,PA Pennsylvania,PA Bedford County 42009,9,Summary of All HUD Programs,1,A,Bedford County,42009,559.0,90,496,97,6.03697154277229,8,1.75528472129557,893.179798345545,285.690944635827,411.161708095809,11457.3530897873,6527.347358969,8,43,27,13,9,18,4,78,27,95,67,6,24,77,25,47,27,24,4,37,19,39,4,1,1,0,0,0,20.9561950758387,79.8034381756769,70,136.47992494667,57,31,11,7,11,2,59,A,A,A,-1,-1,PA,-1,A,bedford pa,99,1,99,0,0
County,PA Pennsylvania,PA Berks County 42011,9,Summary of All HUD Programs,1,A,Berks County,42011,4452.0,93,4160,98,6.3598989379511,10,1.98561649774839,7962.60929749309,276.329809632362,472.379469316778,11751.8351092253,5914.18465640288,11,39,25,16,10,12,13,73,22,98,77,4,31,79,34,47,31,25,4,40,16,40,7,60,13,1,1,51,18.5783952539191,76.6399281423644,40,130.690171360503,59,21,20,5,30,48,21,A,A,A,-1,-1,PA,-1,A,berks pa,40,60,40,0,0
County,PA Pennsylvania,PA Blair County 42013,9,Summary of All HUD Programs,1,A,Blair County,42013,3163.0,94,2797,97,6.08967899172177,12,1.75717161011606,5089.90982733864,255.503229447563,398.358838530606,11353.0285876448,6457.95830555142,11,38,27,15,8,19,5,75,27,94,65,5,25,72,26,47,34,26,6,39,19,36,5,8,6,0,0,1,10.1986898268353,58.2734349117105,61,92.5431132311247,56,24,20,12,25,5,46,A,A,A,-1,-1,PA,-1,A,blair pa,92,8,92,0,0
County,PA Pennsylvania,PA Bradford County 42015,9,Summary of All HUD Programs,1,A,Bradford County,42015,887.0,96,835,97,5.98437871475034,19,1.40575137885759,1207.36091207643,270.338471668401,309.771400063818,12458.136417219,8856.0333202967,5,39,30,16,11,8,2,90,31,91,56,3,11,71,12,71,33,38,2,26,18,55,10,1,1,0,0,0,13.3005713396586,76.2380302262971,41,91.7975310577746,82,14,5,2,12,2,57,A,A,A,-1,-1,PA,-1,A,bradford pa,99,1,99,0,0
County,PA Pennsylvania,PA Bucks County 42017,9,Summary of All HUD Programs,1,A,Bucks County,42017,5821.0,92,4889,96,5.79729573089525,8,1.66331464632108,8410.12398997429,333.738291521852,600.087889791685,14447.1333874348,8677.82603086038,3,31,28,18,19,13,3,83,24,97,74,2,21,73,21,55,30,30,1,31,17,51,9,27,19,0,2,6,24.392646109338,91.167086122577,78,104.487933087792,62,28,10,8,9,18,45,A,A,A,-1,-1,PA,-1,A,bucks pa,73,27,73,0,0
County,PA Pennsylvania,PA Butler County 42019,9,Summary of All HUD Programs,1,A,Butler County,42019,2575.0,95,2419,98,6.10565336789533,11,1.74503688013919,4333.00905805492,283.335768798191,444.848224895631,12144.3836292729,6952.34847445654,11,33,30,17,10,17,5,78,25,96,69,3,28,74,27,50,28,28,4,38,20,38,7,5,3,0,0,2,10.6342104703341,66.4210623932223,68,111.44398489317,55,22,23,15,16,4,48,A,A,A,-1,-1,PA,-1,A,butler pa,95,5,95,0,0
County,PA Pennsylvania,PA Cambria County 42021,9,Summary of All HUD Programs,1,A,Cambria County,42021,3318.0,95,2713,98,6.31502838709291,11,1.66299759811628,4617.962112958,223.09953575648,461.033682787015,9716.52476800441,5834.33171826035,22,38,23,11,6,12,19,68,24,95,72,4,24,73,26,43,39,28,10,38,21,32,5,23,20,0,0,3,7.99091765387822,70.6167498744268,88,83.1449623336259,45,31,24,27,23,11,42,A,A,A,-1,-1,PA,-1,A,cambria pa,77,23,77,0,0
County,PA Pennsylvania,PA Cameron County 42023,9,Summary of All HUD Programs,1,A,Cameron County,42023,101.0,88,89,96,6.58065970720035,13,1.28038057264188,117.116382505559,256.636042077265,356.480944254835,11321.4958820042,8701.2643078676,9,46,24,15,7,8,5,87,28,93,63,1,13,59,9,78,13,38,3,30,21,46,6,6,5,0,0,57,30.46,79.2486329428983,98,86.7409751945724,84,8,7,4,12,1,53,A,A,A,-1,-1,PA,-1,A,cameron pa,94,6,94,0,0
