Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2015-12-31 00:00:00,County,PA PENNSYLVANIA,PA DAUPHIN COUNTY 42043,9,Mod Rehab,4,,Dauphin County,42043,0,-5,13,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,PA,,,dauphin pa,-5,-5,0,0
2015-12-31 00:00:00,County,PA PENNSYLVANIA,PA ERIE COUNTY 42049,9,Mod Rehab,4,,Erie County,42049,0,-5,38,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,PA,,,erie pa,-5,-5,0,0
2015-12-31 00:00:00,County,PA PENNSYLVANIA,PA LAWRENCE COUNTY 42073,9,Mod Rehab,4,,Lawrence County,42073,0,-1,11,-1,5,36,1.0,11,138,-1,4601,4601,-1,60,40,-1,-1,-1,-1,45,11,100,91,-1,-1,36,-1,45,-1,45,-1,45,55,-1,-1,18,9,9,-1,82,-1,-1,-1,0,0,1,34,-1,-1,100,-1,-1,-1,-1,-1,-1,,,,,,PA,,,lawrence pa,18,82,0,0
2015-12-31 00:00:00,County,PA PENNSYLVANIA,PA MISSING 42XXX,9,202/PRAC,8,,Missing County,42XXX,1,-4,1,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,PA,,,missing pa,-4,-4,0,0
2015-12-31 00:00:00,County,PA PENNSYLVANIA,PA NORTHUMBERLAND COUNTY 42097,9,RentSup/RAP,6,,Northumberland County,42097,1,-4,1,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,PA,,,northumberland pa,-4,-4,0,0
2015-12-31 00:00:00,County,PA PENNSYLVANIA,PA PIKE COUNTY 42103,9,202/PRAC,8,,Pike County,42103,1,-4,1,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,PA,,,pike pa,-4,-4,0,0
2015-12-31 00:00:00,County,PA PENNSYLVANIA,PA SOMERSET COUNTY 42111,9,811/PRAC,9,,Somerset County,42111,1,-4,1,-4,-4,-4,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,,,,,,PA,,,somerset pa,-4,-4,0,0
2015-12-31 00:00:00,County,PA PENNSYLVANIA,PA CLARION COUNTY 42031,9,811/PRAC,9,,Clarion County,42031,10,100,11,100,6,18,1.2,13,314,389,12952,10959,9,27,18,27,18,-1,-1,100,30,100,45,-1,-1,82,-1,100,100,92,-1,27,55,18,-1,0,-1,-1,-1,100,-1,-1,-1,0,0,-1,114,-1,-1,100,-1,-1,-1,32,10,47,,,,,,PA,,,clarion pa,0,100,0,0
2015-12-31 00:00:00,County,PA PENNSYLVANIA,PA SCHUYLKILL COUNTY 42107,9,Housing Choice Vouchers,3,,Schuylkill County,42107,1002,86,850,99,6,18,1.9,1623,268,471,10420,5457,11,43,28,12,6,18,2,75,23,98,79,5,31,75,33,49,51,29,4,45,26,25,3,10,4,0,0,90,0,5,-1,5,1,10,77,74,157,53,26,21,4,20,7,34,,,,,,PA,,,schuylkill pa,10,90,0,0
2015-12-31 00:00:00,County,PA PENNSYLVANIA,PA LANCASTER COUNTY 42071,9,Mod Rehab,4,,Lancaster County,42071,102,97,98,99,3,21,2.1,210,272,656,11656,5440,10,31,33,18,8,36,2,57,21,99,80,3,56,88,55,25,29,13,15,52,11,21,4,40,12,-1,1,60,2,24,-1,27,1,-1,61,98,90,33,61,6,4,12,10,50,,,,,,PA,,,lancaster pa,40,60,0,0
