State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
PA,Adams County,26250,30000,33750,37450,40450,43450,46450,49450,15750,18000,20780,25100,29420,33740,38060,42380,41950,47950,53950,59900,64700,69500,74300,79100
PA,Allegheny County,26600,30400,34200,38000,41050,44100,47150,50200,16000,18250,20780,25100,29420,33740,38060,42380,42600,48650,54750,60800,65700,70550,75400,80300
PA,Armstrong County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16460,20780,25100,29420,33740,37550,39950,33900,38750,43600,48400,52300,56150,60050,63900
PA,Beaver County,26600,30400,34200,38000,41050,44100,47150,50200,16000,18250,20780,25100,29420,33740,38060,42380,42600,48650,54750,60800,65700,70550,75400,80300
PA,Bedford County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16460,20780,25100,29420,33740,37550,39950,33900,38750,43600,48400,52300,56150,60050,63900
PA,Berks County,25200,28800,32400,35950,38850,41750,44600,47500,15100,17250,20780,25100,29420,33740,38060,42380,40250,46000,51750,57500,62100,66700,71300,75900
PA,Blair County,22800,26050,29300,32550,35200,37800,40400,43000,13700,16460,20780,25100,29420,33740,38060,42380,36500,41700,46900,52100,56300,60450,64650,68800
PA,Bradford County,22200,25350,28500,31650,34200,36750,39250,41800,13300,16460,20780,25100,29420,33740,38060,41800,35500,40550,45600,50650,54750,58800,62850,66900
PA,Bucks County,30600,35000,39350,43700,47200,50700,54200,57700,18350,21000,23600,26200,29420,33740,38060,42380,48950,55950,62950,69900,75500,81100,86700,92300
PA,Butler County,26600,30400,34200,38000,41050,44100,47150,50200,16000,18250,20780,25100,29420,33740,38060,42380,42600,48650,54750,60800,65700,70550,75400,80300
PA,Cambria County,22500,25700,28900,32100,34700,37250,39850,42400,13500,16460,20780,25100,29420,33740,38060,42380,35950,41100,46250,51350,55500,59600,63700,67800
PA,Cameron County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16460,20780,25100,29420,33740,37550,39950,33900,38750,43600,48400,52300,56150,60050,63900
PA,Carbon County,26150,29850,33600,37300,40300,43300,46300,49250,15700,17950,20780,25100,29420,33740,38060,42380,41800,47800,53750,59700,64500,69300,74050,78850
PA,Centre County,28850,33000,37100,41200,44500,47800,51100,54400,17300,19800,22250,25100,29420,33740,38060,42380,46150,52750,59350,65900,71200,76450,81750,87000
PA,Chester County,30600,35000,39350,43700,47200,50700,54200,57700,18350,21000,23600,26200,29420,33740,38060,42380,48950,55950,62950,69900,75500,81100,86700,92300
PA,Clarion County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16460,20780,25100,29420,33740,37550,39950,33900,38750,43600,48400,52300,56150,60050,63900
PA,Clearfield County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16460,20780,25100,29420,33740,37550,39950,33900,38750,43600,48400,52300,56150,60050,63900
PA,Clinton County,21350,24400,27450,30450,32900,35350,37800,40200,12800,16460,20780,25100,29420,33740,37800,40200,34100,39000,43850,48700,52600,56500,60400,64300
PA,Columbia County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16460,20780,25100,29420,33740,37550,39950,33900,38750,43600,48400,52300,56150,60050,63900
PA,Crawford County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16460,20780,25100,29420,33740,37550,39950,33900,38750,43600,48400,52300,56150,60050,63900
PA,Cumberland County,26350,30100,33850,37600,40650,43650,46650,49650,15800,18050,20780,25100,29420,33740,38060,42380,42150,48150,54150,60150,65000,69800,74600,79400
PA,Dauphin County,26350,30100,33850,37600,40650,43650,46650,49650,15800,18050,20780,25100,29420,33740,38060,42380,42150,48150,54150,60150,65000,69800,74600,79400
PA,Delaware County,30600,35000,39350,43700,47200,50700,54200,57700,18350,21000,23600,26200,29420,33740,38060,42380,48950,55950,62950,69900,75500,81100,86700,92300
PA,Elk County,22000,25150,28300,31400,33950,36450,38950,41450,13200,16460,20780,25100,29420,33740,38060,41450,35200,40200,45250,50250,54300,58300,62350,66350
PA,Erie County,22300,25500,28700,31850,34400,36950,39500,42050,13400,16460,20780,25100,29420,33740,38060,42050,35700,40800,45900,50950,55050,59150,63200,67300
PA,Fayette County,26600,30400,34200,38000,41050,44100,47150,50200,16000,18250,20780,25100,29420,33740,38060,42380,42600,48650,54750,60800,65700,70550,75400,80300
PA,Forest County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16460,20780,25100,29420,33740,37550,39950,33900,38750,43600,48400,52300,56150,60050,63900
PA,Franklin County,25000,28550,32100,35650,38550,41400,44250,47100,15000,17150,20780,25100,29420,33740,38060,42380,39950,45650,51350,57050,61650,66200,70750,75350
PA,Fulton County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16460,20780,25100,29420,33740,37550,39950,33900,38750,43600,48400,52300,56150,60050,63900
PA,Greene County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16460,20780,25100,29420,33740,37550,39950,33900,38750,43600,48400,52300,56150,60050,63900
PA,Huntingdon County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16460,20780,25100,29420,33740,37550,39950,33900,38750,43600,48400,52300,56150,60050,63900
PA,Indiana County,22400,25600,28800,32000,34600,37150,39700,42250,13450,16460,20780,25100,29420,33740,38060,42250,35850,41000,46100,51200,55300,59400,63500,67600
PA,Jefferson County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16460,20780,25100,29420,33740,37550,39950,33900,38750,43600,48400,52300,56150,60050,63900
PA,Juniata County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16460,20780,25100,29420,33740,37550,39950,33900,38750,43600,48400,52300,56150,60050,63900
PA,Lackawanna County,23250,26550,29850,33150,35850,38500,41150,43800,13950,16460,20780,25100,29420,33740,38060,42380,37150,42450,47750,53050,57300,61550,65800,70050
PA,Lancaster County,25850,29550,33250,36900,39900,42850,45800,48750,15550,17750,20780,25100,29420,33740,38060,42380,41350,47250,53150,59050,63800,68500,73250,77950
PA,Lawrence County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16460,20780,25100,29420,33740,37550,39950,33900,38750,43600,48400,52300,56150,60050,63900
PA,Lebanon County,24550,28050,31550,35050,37900,40700,43500,46300,14750,16850,20780,25100,29420,33740,38060,42380,39300,44900,50500,56100,60600,65100,69600,74100
PA,Lehigh County,26150,29850,33600,37300,40300,43300,46300,49250,15700,17950,20780,25100,29420,33740,38060,42380,41800,47800,53750,59700,64500,69300,74050,78850
PA,Luzerne County,23250,26550,29850,33150,35850,38500,41150,43800,13950,16460,20780,25100,29420,33740,38060,42380,37150,42450,47750,53050,57300,61550,65800,70050
PA,Lycoming County,23350,26700,30050,33350,36050,38700,41400,44050,14000,16460,20780,25100,29420,33740,38060,42380,37350,42700,48050,53350,57650,61900,66200,70450
PA,Mc Kean County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16460,20780,25100,29420,33740,37550,39950,33900,38750,43600,48400,52300,56150,60050,63900
PA,Mercer County,22650,25900,29150,32350,34950,37550,40150,42750,13600,16460,20780,25100,29420,33740,38060,42380,36250,41400,46600,51750,55900,60050,64200,68350
PA,Mifflin County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16460,20780,25100,29420,33740,37550,39950,33900,38750,43600,48400,52300,56150,60050,63900
PA,Monroe County,25950,29650,33350,37050,40050,43000,45950,48950,15600,17800,20780,25100,29420,33740,38060,42380,41550,47450,53400,59300,64050,68800,73550,78300
PA,Montgomery County,30600,35000,39350,43700,47200,50700,54200,57700,18350,21000,23600,26200,29420,33740,38060,42380,48950,55950,62950,69900,75500,81100,86700,92300
PA,Montour County,24950,28500,32050,35600,38450,41300,44150,47000,14950,17100,20780,25100,29420,33740,38060,42380,39900,45600,51300,56950,61550,66100,70650,75200
PA,Northampton County,26150,29850,33600,37300,40300,43300,46300,49250,15700,17950,20780,25100,29420,33740,38060,42380,41800,47800,53750,59700,64500,69300,74050,78850
PA,Northumberland County,21200,24200,27250,30250,32700,35100,37550,39950,12750,16460,20780,25100,29420,33740,37550,39950,33900,38750,43600,48400,52300,56150,60050,63900
PA,Perry County,26350,30100,33850,37600,40650,43650,46650,49650,15800,18050,20780,25100,29420,33740,38060,42380,42150,48150,54150,60150,65000,69800,74600,79400
