State code,PUMA,County code,State abbr.,County_Name,allocation factor
45,101,45073,SC,Oconee SC,0.7594
45,101,45077,SC,Pickens SC,0.2406
45,201,45077,SC,Pickens SC,1.0
45,301,45045,SC,Greenville SC,1.0
45,302,45045,SC,Greenville SC,1.0
45,303,45045,SC,Greenville SC,1.0
45,304,45045,SC,Greenville SC,1.0
45,305,45045,SC,Greenville SC,1.0
45,401,45083,SC,Spartanburg SC,1.0
45,402,45083,SC,Spartanburg SC,1.0
45,403,45083,SC,Spartanburg SC,1.0
45,501,45021,SC,Cherokee SC,0.4821
45,501,45091,SC,York SC,0.5179
45,601,45091,SC,York SC,1.0
45,602,45091,SC,York SC,1.0
45,700,45023,SC,Chester SC,0.2164
45,700,45039,SC,Fairfield SC,0.1403
45,700,45057,SC,Lancaster SC,0.6433
45,800,45059,SC,Laurens SC,0.5097
45,800,45071,SC,Newberry SC,0.2847
45,800,45087,SC,Union SC,0.2056
45,901,45007,SC,Anderson SC,1.0
45,1001,45001,SC,Abbeville SC,0.233
45,1001,45007,SC,Anderson SC,0.767
45,1100,45037,SC,Edgefield SC,0.2079
45,1100,45047,SC,Greenwood SC,0.562
45,1100,45065,SC,McCormick SC,0.0772
45,1100,45081,SC,Saluda SC,0.1529
45,1200,45003,SC,Aiken SC,1.0
45,1301,45063,SC,Lexington SC,1.0
45,1302,45063,SC,Lexington SC,1.0
45,1401,45079,SC,Richland SC,1.0
45,1402,45079,SC,Richland SC,1.0
45,1403,45079,SC,Richland SC,1.0
45,1501,45055,SC,Kershaw SC,0.4762
45,1501,45079,SC,Richland SC,0.5238
45,1600,45025,SC,Chesterfield SC,0.3257
45,1600,45031,SC,Darlington SC,0.4735
45,1600,45069,SC,Marlboro SC,0.2007
45,1700,45061,SC,Lee SC,0.1354
45,1700,45085,SC,Sumter SC,0.8646
45,1800,45011,SC,Barnwell SC,0.1731
45,1800,45017,SC,Calhoun SC,0.1187
45,1800,45075,SC,Orangeburg SC,0.7082
45,1901,45005,SC,Allendale SC,0.052
45,1901,45009,SC,Bamberg SC,0.0861
45,1901,45013,SC,Beaufort SC,0.4921
45,1901,45029,SC,Colleton SC,0.2497
45,1901,45049,SC,Hampton SC,0.1201
45,2001,45013,SC,Beaufort SC,0.7941
45,2001,45053,SC,Jasper SC,0.2059
45,2100,45035,SC,Dorchester SC,1.0
45,2201,45015,SC,Berkeley SC,1.0
45,2202,45015,SC,Berkeley SC,1.0
45,2301,45019,SC,Charleston SC,1.0
45,2302,45019,SC,Charleston SC,1.0
45,2303,45019,SC,Charleston SC,1.0
45,2400,45027,SC,Clarendon SC,0.248
45,2400,45043,SC,Georgetown SC,0.5049
45,2400,45089,SC,Williamsburg SC,0.2471
45,2500,45041,SC,Florence SC,1.0
45,2601,45033,SC,Dillon SC,0.2648
45,2601,45051,SC,Horry SC,0.462
45,2601,45067,SC,Marion SC,0.2732
45,2701,45051,SC,Horry SC,1.0
45,2702,45051,SC,Horry SC,1.0
