fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,state_code,County_Name,pop2017,state,metro
577,580,712,1011,1219,45,Abbeville County,24790,SC,0
685,789,906,1228,1532,45,Aiken County,165705,SC,1
576,580,712,943,1036,45,Allendale County,9400,SC,0
634,665,833,1062,1418,45,Anderson County,194175,SC,1
541,545,717,1018,1160,45,Bamberg County,14840,SC,0
603,606,712,963,1000,45,Barnwell County,21790,SC,0
1080,1100,1253,1618,2145,45,Beaufort County,179315,SC,1
1183,1204,1372,1721,2206,45,Berkeley County,204630,SC,1
834,869,990,1268,1531,45,Calhoun County,14810,SC,1
1183,1204,1372,1721,2206,45,Charleston County,387845,SC,1
523,562,739,950,1122,45,Cherokee County,56550,SC,0
569,572,712,966,1105,45,Chester County,32425,SC,1
614,625,712,955,1020,45,Chesterfield County,46125,SC,0
548,552,712,880,1050,45,Clarendon County,34155,SC,1
627,654,745,921,1044,45,Colleton County,37580,SC,0
586,621,721,941,1029,45,Darlington County,67570,SC,1
593,596,712,880,1133,45,Dillon County,31075,SC,0
1183,1204,1372,1721,2206,45,Dorchester County,151715,SC,1
685,789,906,1228,1532,45,Edgefield County,26620,SC,1
834,869,990,1268,1531,45,Fairfield County,22870,SC,1
631,635,832,1053,1174,45,Florence County,138535,SC,1
650,654,843,1171,1176,45,Georgetown County,61065,SC,0
783,871,992,1294,1579,45,Greenville County,490330,SC,1
644,648,793,1025,1075,45,Greenwood County,69980,SC,0
544,548,712,978,1219,45,Hampton County,20065,SC,0
885,917,1062,1349,1526,45,Horry County,310185,SC,1
752,815,929,1204,1500,45,Jasper County,27465,SC,1
647,667,760,1067,1301,45,Kershaw County,63735,SC,1
637,641,844,1105,1155,45,Lancaster County,86545,SC,1
591,595,783,981,1062,45,Laurens County,66510,SC,1
579,583,712,1011,1219,45,Lee County,17895,SC,0
834,869,990,1268,1531,45,Lexington County,281870,SC,1
538,541,712,1011,1036,45,McCormick County,9695,SC,0
543,568,712,890,1088,45,Marion County,31765,SC,0
484,541,712,931,1020,45,Marlboro County,27505,SC,0
624,628,826,1049,1276,45,Newberry County,37915,SC,0
536,613,806,1041,1093,45,Oconee County,75925,SC,0
614,625,712,901,1182,45,Orangeburg County,89115,SC,0
783,871,992,1294,1579,45,Pickens County,121450,SC,1
834,869,990,1268,1531,45,Richland County,404870,SC,1
834,869,990,1268,1531,45,Saluda County,20230,SC,1
740,758,864,1136,1172,45,Spartanburg County,297730,SC,1
586,689,851,1067,1193,45,Sumter County,107380,SC,1
523,541,712,985,1002,45,Union County,27770,SC,0
538,541,712,880,1128,45,Williamsburg County,32255,SC,0
996,1014,1155,1497,1942,45,York County,251665,SC,1
