gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,SC South Carolina,SC Abbeville County 45001,9,Summary of All HUD Programs,1,A,Abbeville County,45001,400.0,97,396,100,5.74352993176723,11,1.99003111263835,894.232474504603,181.95475583686,465.377384526223,8532.50121509355,4285.72765604137,30,37,20,9,4,19,5,76,22,96,72,2,45,83,45,22,30,13,11,50,16,24,2,82,80,0,0,1,11.1146176439887,72.6083635921275,100,109.0199348508,36,38,26,16,15,43,55,A,A,A,-1,-1,SC,-1,A,abbeville sc,18,82,18,0,0
County,SC South Carolina,SC Aiken County 45003,9,Summary of All HUD Programs,1,A,Aiken County,45003,2125.0,97,2035,99,5.31312743150055,14,2.34655557253735,4581.55157606353,229.978612335152,500.973560818008,9866.74261032435,4198.77729890319,22,35,24,14,5,30,13,56,22,98,76,3,52,87,53,24,28,11,8,56,14,21,2,81,80,0,0,1,35.2141477001908,57.5421573877475,85,139.39947729851,33,31,36,13,21,44,54,A,A,A,-1,-1,SC,-1,A,aiken sc,19,81,19,0,0
County,SC South Carolina,SC Allendale County 45005,9,Summary of All HUD Programs,1,A,Allendale County,45005,209.0,97,204,98,8.30168833085366,12,2.6521922861186,664.845092650736,161.375548448765,553.666518946432,6438.50817263297,2428.05888008777,47,30,15,6,2,35,2,62,15,99,88,2,64,90,65,16,70,8,20,57,14,9,0,99,99,0,0,0,11.3333333333333,55.9278745020097,100,129.884586382578,26,34,40,9,36,77,50,A,A,A,-1,-1,SC,-1,A,allendale sc,1,99,1,0,0
County,SC South Carolina,SC Anderson County 45007,9,Summary of All HUD Programs,1,A,anderson County,45007,2946.0,97,2854,98,5.17467055553853,12,2.25727394378429,6090.4001128593,198.673905589805,508.331220570355,8763.94394056762,3877.49512188495,32,32,20,9,6,22,13,64,20,97,79,3,51,87,52,25,47,14,15,51,14,20,2,67,66,0,0,1,26.439848745372,58.159269127978,98,119.547694746185,25,37,38,21,19,38,54,A,A,A,-1,-1,SC,-1,A,anderson sc,33,67,33,0,0
County,SC South Carolina,SC Bamberg County 45009,9,Summary of All HUD Programs,1,A,Bamberg County,45009,164.0,99,163,100,5.97985773187578,5,2.20014050919105,553.212061994609,163.162872074328,447.327685362321,6937.47529920511,3125.50968463966,37,41,15,4,2,26,6,68,18,98,86,2,47,85,49,22,26,12,11,49,13,26,3,95,95,0,0,0,20.6266666666667,74.5397977342993,100,104.298475637413,44,28,28,7,29,70,47,A,A,A,-1,-1,SC,-1,A,bamberg sc,5,95,5,0,0
County,SC South Carolina,SC Barnwell County 45011,9,Summary of All HUD Programs,1,A,Barnwell County,45011,506.0,93,473,99,6.12189705231302,18,2.43697888325008,1013.67273214884,176.665869139504,495.330361912294,7348.55252698739,3022.83283531619,38,37,16,6,3,20,3,77,16,100,88,5,50,81,54,28,64,15,13,56,16,15,1,87,87,0,0,1,14.9688943865297,63.7238862066278,92,128.95618461471,38,24,38,8,23,49,47,A,A,A,-1,-1,SC,-1,A,barnwell sc,13,87,13,0,0
County,SC South Carolina,SC Beaufort County 45013,9,Summary of All HUD Programs,1,A,Beaufort County,45013,1260.0,95,1249,100,5.9786778648776,14,2.40051801791386,2935.83353590866,301.170992564663,516.456738868916,13177.8307128067,5481.50846693388,12,32,22,15,19,44,3,53,24,95,73,4,57,88,58,16,21,8,9,60,15,16,1,83,80,0,0,4,15.574420831684,54.5716402869949,98,142.869957468947,26,33,41,17,14,41,44,A,A,A,-1,-1,SC,-1,A,beaufort sc,17,83,17,0,0
County,SC South Carolina,SC Berkeley County 45015,9,Summary of All HUD Programs,1,A,Berkeley County,45015,757.0,94,709,99,6.29545836355306,9,2.65912171992964,2088.00143111064,235.271003656375,613.189644853638,9962.08646866129,3752.90416586014,27,35,16,13,9,34,5,59,19,98,80,4,64,91,66,21,61,11,8,68,12,12,1,79,77,1,0,2,22.2094206100567,50.3766920921384,99,136.871855937837,18,40,42,11,13,38,59,A,A,A,-1,-1,SC,-1,A,berkeley sc,21,79,21,0,0
County,SC South Carolina,SC Calhoun County 45017,9,Summary of All HUD Programs,1,A,Calhoun County,45017,120.0,99,117,97,6.7091651464911,5,1.56589960142175,200.590096390097,187.645903548657,564.765556994012,7838.2546457861,5043.17247476778,27,45,19,6,2,15,0,85,17,99,90,3,16,65,18,54,25,28,2,37,21,40,7,71,71,0,0,0,-1.0,80.8324481587862,50,128.591579252671,77,10,12,1,17,60,58,A,A,A,-1,-1,SC,-1,A,calhoun sc,29,71,29,0,0
County,SC South Carolina,SC Charleston County 45019,9,Summary of All HUD Programs,1,A,Charleston County,45019,7962.0,92,7010,99,5.30564354044675,10,2.4539232912875,17227.5059361063,248.432158245432,572.905799900303,10642.9227807185,4333.17831646113,21,35,21,13,10,34,11,54,21,97,79,2,56,88,56,21,51,12,8,57,16,19,2,92,91,0,0,1,23.2557451718134,55.3626208703041,94,137.569496491745,26,34,40,14,31,63,33,A,A,A,-1,-1,SC,-1,A,charleston sc,8,92,8,0,0
