gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,SC South Carolina,SC Chesterfield County 45025,9,S236/BMIR,7,,Chesterfield County,45025,56,-5,24,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,SC,,,chesterfield sc,-5,-5,0,0
County,SC South Carolina,SC Richland County 45079,9,S236/BMIR,7,,Richland County,45079,180,-5,151,-5,-5,-5,-5.0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,,,,,,SC,,,richland sc,-5,-5,0,0
County,SC South Carolina,SC Bamberg County 45009,9,202/PRAC,8,,Bamberg County,45009,46,96,46,100,6,17,1.0,47,259,272,11022,10787,-1,50,39,11,-1,-1,-1,100,33,93,52,-1,-1,59,-1,-1,2,2,-1,-1,-1,100,4,72,67,-1,2,7,2,-1,-1,2,0,-1,58,100,78,100,-1,-1,-1,23,59,68,,,,,,SC,,,bamberg sc,72,7,21,0
County,SC South Carolina,SC Florence County 45041,9,202/PRAC,8,,Florence County,45041,86,99,85,100,6,9,1.0,86,270,226,11893,11755,-1,39,44,16,1,-1,-1,100,33,92,48,-1,-1,85,-1,-1,-1,0,-1,-1,-1,100,9,47,44,-1,-1,42,1,1,1,4,0,-1,61,100,77,100,-1,-1,-1,22,47,60,,,,,,SC,,,florence sc,47,42,11,0
County,SC South Carolina,SC Laurens County 45059,9,811/PRAC,9,,Laurens County,45059,55,98,55,100,5,20,1.0,55,220,278,9199,9199,9,48,33,9,-1,4,-1,95,27,96,60,-1,-1,36,-1,100,100,100,4,35,20,42,-1,29,29,-1,-1,64,-1,-1,-1,0,0,-1,93,-1,-1,100,-1,-1,-1,20,45,72,,,,,,SC,,,laurens sc,29,64,7,0
County,SC South Carolina,SC Beaufort County 45013,9,202/PRAC,8,,Beaufort County,45013,34,98,35,100,6,11,1.1,37,306,226,14199,13432,-1,26,40,26,9,-1,-1,100,32,91,49,-1,-1,89,-1,-1,-1,0,-1,-1,-1,100,6,20,17,-1,3,74,-1,-1,-1,0,0,-1,68,100,65,100,-1,-1,-1,18,42,41,,,,,,SC,,,beaufort sc,20,74,6,0
County,SC South Carolina,SC Lancaster County 45057,9,811/PRAC,9,,Lancaster County,45057,16,99,16,100,6,19,1.0,16,215,284,9387,9387,20,33,33,7,7,6,-1,88,26,88,63,-1,-1,56,-1,100,100,100,6,31,44,19,-1,38,38,-1,-1,56,-1,-1,-1,0,0,-1,49,100,52,100,-1,-1,-1,17,31,69,,,,,,SC,,,lancaster sc,38,56,6,0
County,SC South Carolina,SC Pickens County 45077,9,Project Based Section 8,5,,Pickens County,45077,314,95,301,100,6,18,1.8,538,225,553,10186,5699,14,36,29,13,8,31,2,59,23,95,69,3,37,79,37,28,28,16,11,39,19,31,3,42,40,-1,2,52,-1,1,-1,1,1,-1,66,100,90,55,27,18,7,22,20,56,,,,,,SC,,,pickens sc,42,52,6,0
County,SC South Carolina,SC Anderson County 45007,9,811/PRAC,9,,anderson County,45007,26,97,22,87,7,27,1.0,22,218,365,9723,9723,5,50,30,15,-1,-1,-1,91,26,100,59,-1,-1,82,-1,100,100,100,-1,32,41,27,-1,27,27,-1,-1,68,-1,-1,-1,0,0,-1,38,-1,-1,100,-1,-1,-1,16,41,65,,,,,,SC,,,anderson sc,27,68,5,0
County,SC South Carolina,SC Barnwell County 45011,9,Project Based Section 8,5,,Barnwell County,45011,154,94,145,100,6,17,2.1,309,159,601,7090,3327,31,49,16,2,1,18,1,77,19,99,86,5,39,70,43,33,58,18,12,41,25,21,1,76,76,-1,-1,19,-1,-1,-1,0,0,-1,92,78,122,47,23,30,10,33,57,60,,,,,,SC,,,barnwell sc,76,19,5,0
