State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
SC,Abbeville County,16950,19350,21750,24150,26100,28050,29950,31900,12140,16460,20780,24150,26100,28050,29950,31900,27100,30950,34800,38650,41750,44850,47950,51050
SC,Aiken County,21850,24950,28050,31150,33650,36150,38650,41150,13100,16460,20780,25100,29420,33740,38060,41150,34900,39900,44900,49850,53850,57850,61850,65850
SC,Allendale County,16950,19350,21750,24150,26100,28050,29950,31900,12140,16460,20780,24150,26100,28050,29950,31900,27100,30950,34800,38650,41750,44850,47950,51050
SC,Anderson County,20700,23650,26600,29550,31950,34300,36650,39050,12450,16460,20780,25100,29420,33740,36650,39050,33150,37850,42600,47300,51100,54900,58700,62450
SC,Bamberg County,16950,19350,21750,24150,26100,28050,29950,31900,12140,16460,20780,24150,26100,28050,29950,31900,27100,30950,34800,38650,41750,44850,47950,51050
SC,Barnwell County,16950,19350,21750,24150,26100,28050,29950,31900,12140,16460,20780,24150,26100,28050,29950,31900,27100,30950,34800,38650,41750,44850,47950,51050
SC,Beaufort County,25300,28900,32500,36100,39000,41900,44800,47700,15200,17350,20780,25100,29420,33740,38060,42380,40450,46200,52000,57750,62400,67000,71650,76250
SC,Berkeley County,26100,29800,33550,37250,40250,43250,46200,49200,15650,17900,20780,25100,29420,33740,38060,42380,41750,47700,53650,59600,64400,69150,73950,78700
SC,Calhoun County,24500,28000,31500,34950,37750,40550,43350,46150,14700,16800,20780,25100,29420,33740,38060,42380,39150,44750,50350,55900,60400,64850,69350,73800
SC,Charleston County,26100,29800,33550,37250,40250,43250,46200,49200,15650,17900,20780,25100,29420,33740,38060,42380,41750,47700,53650,59600,64400,69150,73950,78700
