fmr_0,fmr_1,fmr_2,fmr_3,fmr_4,state_code,County_Name,pop2017,state,metro
541,640,757,936,1027,46,Aurora County,2740,SD,0
572,575,757,1013,1131,46,Beadle County,18165,SD,0
541,664,757,936,1219,46,Bennett County,3440,SD,0
541,575,757,1051,1055,46,Bon Homme County,6970,SD,0
604,608,800,1136,1369,46,Brookings County,33695,SD,0
552,592,772,1097,1321,46,Brown County,38635,SD,0
541,575,757,1075,1296,46,Brule County,5280,SD,0
541,575,757,936,1219,46,Buffalo County,2050,SD,0
608,635,836,1033,1346,46,Butte County,10195,SD,0
541,575,757,1065,1219,46,Campbell County,1445,SD,0
541,636,757,1004,1110,46,Charles Mix County,9320,SD,0
541,575,757,936,1166,46,Clark County,3640,SD,0
546,597,785,1098,1344,46,Clay County,13905,SD,0
530,601,791,1085,1354,46,Codington County,27965,SD,0
541,664,757,936,1096,46,Corson County,4175,SD,0
696,739,973,1203,1333,46,Custer County,8520,SD,0
525,600,790,1035,1352,46,Davison County,19755,SD,0
541,608,757,1023,1219,46,Day County,5525,SD,0
541,578,757,1075,1219,46,Deuel County,4280,SD,0
541,606,757,936,1027,46,Dewey County,5710,SD,0
599,637,838,1100,1349,46,Douglas County,2940,SD,0
541,575,757,993,1296,46,Edmunds County,3970,SD,0
610,648,853,1054,1373,46,Fall River County,6785,SD,0
541,575,757,993,1219,46,Faulk County,2325,SD,0
542,576,758,937,1220,46,Grant County,7135,SD,0
541,599,757,1072,1296,46,Gregory County,4210,SD,0
543,577,759,996,1222,46,Haakon County,2085,SD,0
541,617,757,1023,1027,46,Hamlin County,5910,SD,0
541,575,757,1053,1219,46,Hand County,3305,SD,0
541,575,757,1075,1219,46,Hanson County,3405,SD,0
618,657,864,1068,1391,46,Harding County,1280,SD,0
530,606,797,1132,1364,46,Hughes County,17570,SD,0
573,610,802,991,1088,46,Hutchinson County,7275,SD,0
541,575,757,936,1219,46,Hyde County,1375,SD,0
541,664,757,1054,1057,46,Jackson County,3275,SD,0
541,664,757,1075,1219,46,Jerauld County,2035,SD,0
543,577,759,996,1222,46,Jones County,740,SD,0
541,575,757,990,1121,46,Kingsbury County,5000,SD,0
541,575,757,1075,1233,46,Lake County,12350,SD,0
511,584,769,1092,1316,46,Lawrence County,25020,SD,0
668,733,897,1187,1535,46,Lincoln County,53145,SD,1
541,575,757,936,1156,46,Lyman County,3880,SD,0
668,733,897,1187,1535,46,McCook County,5515,SD,1
541,575,757,1075,1219,46,McPherson County,2365,SD,0
541,664,757,1060,1219,46,Marshall County,4760,SD,0
609,696,916,1243,1568,46,Meade County,27065,SD,1
541,575,757,961,1219,46,Mellette County,2060,SD,0
541,575,757,936,1219,46,Miner County,2255,SD,0
668,733,897,1187,1535,46,Minnehaha County,183660,SD,1
541,637,757,1002,1296,46,Moody County,6495,SD,0
541,575,757,959,1110,46,Oglala Lakota County,14290,SD,0
608,695,915,1294,1457,46,Pennington County,108125,SD,1
541,575,757,965,1228,46,Perkins County,2965,SD,0
541,575,757,993,1027,46,Potter County,2320,SD,0
541,591,757,994,1146,46,Roberts County,10250,SD,0
541,627,757,1075,1219,46,Sanborn County,2365,SD,0
541,575,757,936,1027,46,Spink County,6480,SD,0
602,640,842,1105,1356,46,Stanley County,2995,SD,0
543,577,759,996,1222,46,Sully County,1390,SD,0
541,575,757,1026,1219,46,Todd County,10015,SD,0
541,575,757,936,1219,46,Tripp County,5480,SD,0
668,733,897,1187,1535,46,Turner County,8240,SD,1
578,661,870,1075,1180,46,Union County,14930,SD,1
541,590,757,936,1140,46,Walworth County,5500,SD,0
541,575,757,1021,1165,46,Yankton County,22660,SD,0
541,575,757,939,1144,46,Ziebach County,2835,SD,0
