gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,SD South Dakota,SD Aurora County 46003,9,Summary of All HUD Programs,1,A,Aurora County,46003,9.0,82,6,79,4.86,-4,-4.0,-4.0,-4.0,-4.0,-4.0,3511.1875,-4,-4,-4,-4,-4,-4,-4,-4,22,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,-4,-4,-4,-4,-1.0,53.3388888888889,-4,-4.0,-4,-4,-4,-4,11,6,70,A,A,A,-1,-1,SD,-1,A,aurora sd,100,0,100,0,0
County,SD South Dakota,SD Beadle County 46005,9,Summary of All HUD Programs,1,A,Beadle County,46005,546.0,69,408,77,5.93471744879354,23,1.63157251975226,849.436045331397,197.673666453106,325.828241555454,8579.51502434174,5234.61970319538,25,41,22,10,3,22,0,78,21,98,77,4,26,58,25,49,58,34,16,49,18,17,1,17,4,8,4,6,4.0963963963964,48.560008545984,23,153.747526215401,71,18,11,6,12,4,60,A,A,A,-1,-1,SD,-1,A,beadle sd,83,17,83,0,0
County,SD South Dakota,SD Bennett County 46007,9,Summary of All HUD Programs,1,A,Bennett County,46007,36.0,92,33,100,4.73510019392372,12,2.60898603521554,85.94,223.443230115361,438.342440801457,11213.0843958713,4297.87060740051,21,42,15,6,15,31,3,65,26,88,73,15,30,57,27,14,17,6,3,43,18,36,6,58,0,58,0,0,7.17556675062972,51.8821190042502,54,74.1911928651059,42,33,24,9,36,59,45,A,A,A,-1,-1,SD,-1,A,bennett sd,42,58,42,0,0
County,SD South Dakota,SD Bon Homme County 46009,9,Summary of All HUD Programs,1,A,Bon Homme County,46009,70.0,77,53,76,5.27366755793227,11,1.05201124567474,74.8384615384615,224.075888644228,261.049956747405,12171.652180324,11569.8878984106,4,30,39,18,8,0,0,100,33,92,49,0,0,76,0,100,21,33,0,9,8,83,24,2,0,2,0,0,-1.0,61.722607345077,17,52.0,94,6,0,6,13,5,70,A,A,A,-1,-1,SD,-1,A,bon homme sd,98,2,98,0,0
County,SD South Dakota,SD Brookings County 46011,9,Summary of All HUD Programs,1,A,Brookings County,46011,585.0,76,471,90,4.96151600307033,16,1.67495854063019,851.707602339181,220.458480244386,347.84924030849,10180.9151674002,6094.20759785662,25,26,26,14,9,36,1,62,21,98,74,8,24,68,26,29,17,16,18,46,10,25,7,11,5,4,1,2,1.13974384014868,39.2852292938639,65,69.6339444178752,65,23,12,3,16,4,41,A,A,A,-1,-1,SD,-1,A,brookings sd,89,11,89,0,0
County,SD South Dakota,SD Brown County 46013,9,Summary of All HUD Programs,1,A,Brown County,46013,878.0,88,764,96,5.0346154860446,17,1.7059139710014,1358.24667286135,230.503955460282,341.863773676062,10467.154927851,6120.86743660104,19,32,26,16,6,27,1,71,23,97,70,4,29,74,30,38,22,20,13,42,13,32,8,13,2,8,1,2,3.29299601275917,47.8366783106955,51,78.7376547651309,53,33,14,13,13,5,47,A,A,A,-1,-1,SD,-1,A,brown sd,87,13,87,0,0
County,SD South Dakota,SD Brule County 46015,9,Summary of All HUD Programs,1,A,Brule County,46015,68.0,84,67,99,5.50122383252818,25,1.96811594202899,135.8,151.533333333333,478.478260869565,6230.25603864734,3165.5940108002,53,19,13,12,3,41,8,51,15,100,80,7,49,84,52,11,50,8,40,53,4,3,0,70,2,67,1,0,-1.0,20.0180354267311,48,83.6,51,36,12,5,13,18,53,A,A,A,-1,-1,SD,-1,A,brule sd,30,70,30,0,0
County,SD South Dakota,SD Buffalo County 46017,9,Summary of All HUD Programs,1,A,Buffalo County,46017,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,SD,-1,A,buffalo sd,-1,-1,-1,0,0
County,SD South Dakota,SD Butte County 46019,9,Summary of All HUD Programs,1,A,Butte County,46019,214.0,80,182,87,3.24048771641391,15,1.92313606609789,369.331202055251,247.825098747813,371.420220717369,10249.2115396674,5323.34768834517,19,32,29,14,6,30,1,68,25,96,66,6,29,73,32,27,20,15,10,45,13,33,4,10,0,7,1,3,5.289956119434,40.677178371562,63,114.86701386975,51,30,19,11,12,6,51,A,A,A,-1,-1,SD,-1,A,butte sd,90,10,90,0,0
County,SD South Dakota,SD Campbell County 46021,9,Summary of All HUD Programs,1,A,Campbell County,46021,3.0,90,3,100,2.35555555555556,-4,-4.0,-4.0,-4.0,-4.0,-4.0,3837.0,-4,-4,-4,-4,-4,-4,-4,-4,24,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,33,-4,-4,-4,-4,-1.0,57.1444444444444,-4,-4.0,-4,-4,-4,-4,14,1,71,A,A,A,-1,-1,SD,-1,A,campbell sd,67,33,67,0,0
County,SD South Dakota,SD Charles Mix County 46023,9,Summary of All HUD Programs,1,A,Charles Mix County,46023,39.0,87,34,90,4.20483507151244,13,2.47634216723077,90.5768865772424,215.692612667709,437.13186491905,9823.32338193166,3935.78962245932,21,29,34,16,0,32,13,50,23,100,70,12,33,63,45,13,56,9,11,52,12,25,0,74,0,70,0,4,1.15,67.1325517963839,8,240.678596424631,55,11,34,5,33,41,59,A,A,A,-1,-1,SD,-1,A,charles mix sd,26,74,26,0,0
County,SD South Dakota,SD Clark County 46025,9,Summary of All HUD Programs,1,A,Clark County,46025,16.0,73,12,100,6.33888888888889,17,1.58333333333333,18.2116182572614,223.666666666667,253.666666666667,10137.3333333333,6402.52631578947,0,67,25,8,0,17,0,83,25,100,75,0,17,67,17,50,25,21,0,17,17,67,25,0,0,0,0,0,2.86666666666667,37.1166666666667,50,137.0,67,17,17,8,12,1,73,A,A,A,-1,-1,SD,-1,A,clark sd,100,0,100,0,0
County,SD South Dakota,SD Clay County 46027,9,Summary of All HUD Programs,1,A,Clay County,46027,370.0,69,290,98,6.41022310222727,16,2.15502088546616,579.416439612094,250.879618903939,481.977964538278,8924.07377115591,4141.06138429629,31,30,19,12,7,34,5,61,21,96,72,14,35,71,38,28,48,16,13,54,11,22,4,20,2,14,2,3,6.74597701149425,38.5828255941146,56,165.718133962607,40,38,21,9,28,9,36,A,A,A,-1,-1,SD,-1,A,clay sd,80,20,80,0,0
County,SD South Dakota,SD Codington County 46029,9,Summary of All HUD Programs,1,A,Codington County,46029,625.0,77,491,92,5.64127459531286,20,1.68812164962742,896.835932694008,252.28129174267,347.168821033442,11717.335349692,6941.04915500498,13,33,26,17,12,23,3,72,26,96,63,4,28,72,30,43,20,23,12,43,13,33,8,8,1,6,0,1,2.93148642454636,45.7480991731268,53,119.551819935794,51,34,15,15,11,5,52,A,A,A,-1,-1,SD,-1,A,codington sd,92,8,92,0,0
County,SD South Dakota,SD Corson County 46031,9,Summary of All HUD Programs,1,A,Corson County,46031,37.0,89,35,95,5.12518442855522,7,3.93972602739726,135.874015748032,237.577473363775,532.193245778612,10374.2572298326,2633.24331633441,35,28,12,7,19,27,29,44,20,93,74,32,37,82,58,19,26,8,0,62,27,10,4,92,0,92,0,0,4.0,45.3763774733638,100,209.567123287671,23,16,61,3,40,70,42,A,A,A,-1,-1,SD,-1,A,corson sd,8,92,8,0,0
County,SD South Dakota,SD Custer County 46033,9,Summary of All HUD Programs,1,A,Custer County,46033,28.0,71,22,79,2.91172303473492,18,1.06078610603291,44.421052631579,174.030850091408,306.118829981718,7183.9163619744,6772.25721671693,30,48,15,3,3,12,0,88,17,100,88,0,0,30,0,54,9,37,6,30,30,33,3,13,0,6,3,3,-1.0,55.4508912248629,0,-1.0,100,0,0,0,9,8,54,A,A,A,-1,-1,SD,-1,A,custer sd,87,13,87,0,0
County,SD South Dakota,SD Davison County 46035,9,Summary of All HUD Programs,1,A,Davison County,46035,576.0,82,478,94,6.15401349517148,18,1.53863776931851,797.014364506987,242.097693133411,336.648868507626,11418.7908515772,7416.56853923009,13,36,27,12,12,19,3,78,26,94,69,4,21,72,22,52,33,30,13,34,16,37,7,11,1,8,0,2,3.8213641254863,50.5636453343851,30,102.072795552457,70,19,10,5,12,4,52,A,A,A,-1,-1,SD,-1,A,davison sd,89,11,89,0,0
