State,County_Name,Ttl_Incarc,Ttl_Minority_Incarc,Ttl_White_Incarc
South Dakota,Aurora County,0,0,0
South Dakota,Beadle County,0,0,0
South Dakota,Bennett County,0,0,0
South Dakota,Bon Homme County,1267,596,671
South Dakota,Brookings County,0,0,0
South Dakota,Brown County,0,0,0
South Dakota,Brule County,0,0,0
South Dakota,Buffalo County,0,0,0
South Dakota,Butte County,0,0,0
South Dakota,Campbell County,0,0,0
South Dakota,Charles Mix County,0,0,0
South Dakota,Clark County,0,0,0
South Dakota,Clay County,0,0,0
South Dakota,Codington County,0,0,0
South Dakota,Corson County,0,0,0
South Dakota,Custer County,0,0,0
South Dakota,Davison County,0,0,0
South Dakota,Day County,0,0,0
South Dakota,Deuel County,0,0,0
South Dakota,Dewey County,0,0,0
South Dakota,Douglas County,0,0,0
South Dakota,Edmunds County,0,0,0
South Dakota,Fall River County,0,0,0
South Dakota,Faulk County,0,0,0
South Dakota,Grant County,0,0,0
South Dakota,Gregory County,0,0,0
South Dakota,Haakon County,0,0,0
South Dakota,Hamlin County,0,0,0
South Dakota,Hand County,0,0,0
South Dakota,Hanson County,0,0,0
South Dakota,Harding County,0,0,0
South Dakota,Hughes County,534,335,199
South Dakota,Hutchinson County,0,0,0
South Dakota,Hyde County,0,0,0
South Dakota,Jackson County,0,0,0
South Dakota,Jerauld County,0,0,0
South Dakota,Jones County,0,0,0
South Dakota,Kingsbury County,0,0,0
South Dakota,Lake County,0,0,0
South Dakota,Lawrence County,0,0,0
South Dakota,Lincoln County,0,0,0
South Dakota,Lyman County,0,0,0
South Dakota,McCook County,0,0,0
South Dakota,McPherson County,0,0,0
South Dakota,Marshall County,0,0,0
South Dakota,Meade County,0,0,0
South Dakota,Mellette County,0,0,0
South Dakota,Miner County,0,0,0
South Dakota,Minnehaha County,1520,541,979
South Dakota,Moody County,0,0,0
South Dakota,Pennington County,103,36,67
South Dakota,Perkins County,0,0,0
South Dakota,Potter County,0,0,0
South Dakota,Roberts County,0,0,0
South Dakota,Sanborn County,0,0,0
South Dakota,Shannon County,0,0,0
South Dakota,Spink County,0,0,0
South Dakota,Stanley County,0,0,0
South Dakota,Sully County,0,0,0
South Dakota,Todd County,0,0,0
South Dakota,Tripp County,0,0,0
South Dakota,Turner County,0,0,0
South Dakota,Union County,0,0,0
South Dakota,Walworth County,0,0,0
South Dakota,Yankton County,1227,603,624
South Dakota,Ziebach County,0,0,0
