State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
SD,Aurora County,24750,28250,31800,35300,38150,40950,43800,46600,14850,17000,21330,25750,30170,34590,39010,43430,39550,45200,50850,56500,61050,65550,70100,74600
SD,Beadle County,24750,28250,31800,35300,38150,40950,43800,46600,14850,17000,21330,25750,30170,34590,39010,43430,39550,45200,50850,56500,61050,65550,70100,74600
SD,Bennett County,24750,28250,31800,35300,38150,40950,43800,46600,14850,17000,21330,25750,30170,34590,39010,43430,39550,45200,50850,56500,61050,65550,70100,74600
SD,Bon Homme County,24750,28250,31800,35300,38150,40950,43800,46600,14850,17000,21330,25750,30170,34590,39010,43430,39550,45200,50850,56500,61050,65550,70100,74600
SD,Brookings County,26600,30400,34200,38000,41050,44100,47150,50200,16000,18250,21330,25750,30170,34590,39010,43430,42600,48650,54750,60800,65700,70550,75400,80300
SD,Brown County,25900,29600,33300,37000,40000,42950,45900,48850,15550,17800,21330,25750,30170,34590,39010,43430,41450,47400,53300,59200,63950,68700,73450,78150
SD,Brule County,24750,28250,31800,35300,38150,40950,43800,46600,14850,17000,21330,25750,30170,34590,39010,43430,39550,45200,50850,56500,61050,65550,70100,74600
SD,Buffalo County,24750,28250,31800,35300,38150,40950,43800,46600,14850,17000,21330,25750,30170,34590,39010,43430,39550,45200,50850,56500,61050,65550,70100,74600
SD,Butte County,24750,28250,31800,35300,38150,40950,43800,46600,14850,17000,21330,25750,30170,34590,39010,43430,39550,45200,50850,56500,61050,65550,70100,74600
SD,Campbell County,24750,28250,31800,35300,38150,40950,43800,46600,14850,17000,21330,25750,30170,34590,39010,43430,39550,45200,50850,56500,61050,65550,70100,74600
SD,Charles Mix County,24750,28250,31800,35300,38150,40950,43800,46600,14850,17000,21330,25750,30170,34590,39010,43430,39550,45200,50850,56500,61050,65550,70100,74600
SD,Clark County,25150,28750,32350,35900,38800,41650,44550,47400,15100,17250,21330,25750,30170,34590,39010,43430,40250,46000,51750,57450,62050,66650,71250,75850
SD,Clay County,24750,28250,31800,35300,38150,40950,43800,46600,14850,17000,21330,25750,30170,34590,39010,43430,39550,45200,50850,56500,61050,65550,70100,74600
SD,Codington County,25900,29600,33300,36950,39950,42900,45850,48800,15550,17750,21330,25750,30170,34590,39010,43430,41400,47300,53200,59100,63850,68600,73300,78050
SD,Corson County,24750,28250,31800,35300,38150,40950,43800,46600,14850,17000,21330,25750,30170,34590,39010,43430,39550,45200,50850,56500,61050,65550,70100,74600
SD,Custer County,25350,28950,32550,36150,39050,41950,44850,47750,15200,17400,21330,25750,30170,34590,39010,43430,40500,46300,52100,57850,62500,67150,71750,76400
SD,Davison County,24750,28250,31800,35300,38150,40950,43800,46600,14850,17000,21330,25750,30170,34590,39010,43430,39550,45200,50850,56500,61050,65550,70100,74600
SD,Day County,24750,28250,31800,35300,38150,40950,43800,46600,14850,17000,21330,25750,30170,34590,39010,43430,39550,45200,50850,56500,61050,65550,70100,74600
SD,Deuel County,25800,29500,33200,36850,39800,42750,45700,48650,15500,17700,21330,25750,30170,34590,39010,43430,41300,47200,53100,58950,63700,68400,73100,77850
SD,Dewey County,24750,28250,31800,35300,38150,40950,43800,46600,14850,17000,21330,25750,30170,34590,39010,43430,39550,45200,50850,56500,61050,65550,70100,74600
SD,Douglas County,24750,28250,31800,35300,38150,40950,43800,46600,14850,17000,21330,25750,30170,34590,39010,43430,39550,45200,50850,56500,61050,65550,70100,74600
SD,Edmunds County,28150,32200,36200,40200,43450,46650,49850,53100,16900,19300,21700,25750,30170,34590,39010,43430,45050,51450,57900,64300,69450,74600,79750,84900
SD,Fall River County,24750,28250,31800,35300,38150,40950,43800,46600,14850,17000,21330,25750,30170,34590,39010,43430,39550,45200,50850,56500,61050,65550,70100,74600
SD,Faulk County,27050,30900,34750,38600,41700,44800,47900,51000,16250,18550,21330,25750,30170,34590,39010,43430,43200,49400,55550,61700,66650,71600,76550,81450
SD,Grant County,24750,28250,31800,35300,38150,40950,43800,46600,14850,17000,21330,25750,30170,34590,39010,43430,39550,45200,50850,56500,61050,65550,70100,74600
SD,Gregory County,24750,28250,31800,35300,38150,40950,43800,46600,14850,17000,21330,25750,30170,34590,39010,43430,39550,45200,50850,56500,61050,65550,70100,74600
SD,Haakon County,24750,28250,31800,35300,38150,40950,43800,46600,14850,17000,21330,25750,30170,34590,39010,43430,39550,45200,50850,56500,61050,65550,70100,74600
SD,Hamlin County,24750,28250,31800,35300,38150,40950,43800,46600,14850,17000,21330,25750,30170,34590,39010,43430,39550,45200,50850,56500,61050,65550,70100,74600
SD,Hand County,26650,30450,34250,38050,41100,44150,47200,50250,16000,18300,21330,25750,30170,34590,39010,43430,42600,48700,54800,60850,65750,70600,75500,80350
SD,Hanson County,26850,30650,34500,38300,41400,44450,47500,50600,16100,18400,21330,25750,30170,34590,39010,43430,42950,49050,55200,61300,66250,71150,76050,80950
SD,Harding County,24750,28250,31800,35300,38150,40950,43800,46600,14850,17000,21330,25750,30170,34590,39010,43430,39550,45200,50850,56500,61050,65550,70100,74600
SD,Hughes County,32350,36950,41550,46150,49850,53550,57250,60950,19400,22200,24950,27700,30170,34590,39010,43430,51700,59100,66500,73850,79800,85700,91600,97500
SD,Hutchinson County,24750,28250,31800,35300,38150,40950,43800,46600,14850,17000,21330,25750,30170,34590,39010,43430,39550,45200,50850,56500,61050,65550,70100,74600
SD,Hyde County,27600,31550,35500,39400,42600,45750,48900,52050,16600,18950,21330,25750,30170,34590,39010,43430,44150,50450,56750,63050,68100,73150,78200,83250
SD,Jackson County,24750,28250,31800,35300,38150,40950,43800,46600,14850,17000,21330,25750,30170,34590,39010,43430,39550,45200,50850,56500,61050,65550,70100,74600
SD,Jerauld County,24750,28250,31800,35300,38150,40950,43800,46600,14850,17000,21330,25750,30170,34590,39010,43430,39550,45200,50850,56500,61050,65550,70100,74600
SD,Jones County,24750,28250,31800,35300,38150,40950,43800,46600,14850,17000,21330,25750,30170,34590,39010,43430,39550,45200,50850,56500,61050,65550,70100,74600
SD,Kingsbury County,24750,28250,31800,35300,38150,40950,43800,46600,14850,17000,21330,25750,30170,34590,39010,43430,39550,45200,50850,56500,61050,65550,70100,74600
SD,Lake County,27750,31700,35650,39600,42800,45950,49150,52300,16650,19000,21400,25750,30170,34590,39010,43430,44350,50700,57050,63350,68450,73500,78600,83650
SD,Lawrence County,24750,28250,31800,35300,38150,40950,43800,46600,14850,17000,21330,25750,30170,34590,39010,43430,39550,45200,50850,56500,61050,65550,70100,74600
SD,Lincoln County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,30170,34590,39010,43430,48300,55200,62100,68950,74500,80000,85500,91050
SD,Lyman County,24750,28250,31800,35300,38150,40950,43800,46600,14850,17000,21330,25750,30170,34590,39010,43430,39550,45200,50850,56500,61050,65550,70100,74600
SD,McCook County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,30170,34590,39010,43430,48300,55200,62100,68950,74500,80000,85500,91050
SD,McPherson County,24750,28250,31800,35300,38150,40950,43800,46600,14850,17000,21330,25750,30170,34590,39010,43430,39550,45200,50850,56500,61050,65550,70100,74600
SD,Marshall County,25200,28800,32400,35950,38850,41750,44600,47500,15100,17250,21330,25750,30170,34590,39010,43430,40250,46000,51750,57500,62100,66700,71300,75900
SD,Meade County,24750,28250,31800,35300,38150,40950,43800,46600,14850,17000,21330,25750,30170,34590,39010,43430,39550,45200,50850,56500,61050,65550,70100,74600
SD,Mellette County,24750,28250,31800,35300,38150,40950,43800,46600,14850,17000,21330,25750,30170,34590,39010,43430,39550,45200,50850,56500,61050,65550,70100,74600
SD,Miner County,24750,28250,31800,35300,38150,40950,43800,46600,14850,17000,21330,25750,30170,34590,39010,43430,39550,45200,50850,56500,61050,65550,70100,74600
SD,Minnehaha County,30200,34500,38800,43100,46550,50000,53450,56900,18100,20700,23300,25850,30170,34590,39010,43430,48300,55200,62100,68950,74500,80000,85500,91050
SD,Moody County,24750,28250,31800,35300,38150,40950,43800,46600,14850,17000,21330,25750,30170,34590,39010,43430,39550,45200,50850,56500,61050,65550,70100,74600
SD,Oglala Lakota County,24750,28250,31800,35300,38150,40950,43800,46600,14850,17000,21330,25750,30170,34590,39010,43430,39550,45200,50850,56500,61050,65550,70100,74600
SD,Pennington County,24750,28250,31800,35300,38150,40950,43800,46600,14850,17000,21330,25750,30170,34590,39010,43430,39550,45200,50850,56500,61050,65550,70100,74600
SD,Perkins County,24750,28250,31800,35300,38150,40950,43800,46600,14850,17000,21330,25750,30170,34590,39010,43430,39550,45200,50850,56500,61050,65550,70100,74600
SD,Potter County,24750,28250,31800,35300,38150,40950,43800,46600,14850,17000,21330,25750,30170,34590,39010,43430,39550,45200,50850,56500,61050,65550,70100,74600
SD,Roberts County,24750,28250,31800,35300,38150,40950,43800,46600,14850,17000,21330,25750,30170,34590,39010,43430,39550,45200,50850,56500,61050,65550,70100,74600
