gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,TN Tennessee,TN Anderson County 47001,9,Summary of All HUD Programs,1,A,anderson County,47001,1913.0,93,1782,98,5.67272926403818,11,1.92397927898222,3287.57302474892,235.347771807133,408.98241653678,10219.4432035536,5300.15168414608,17,42,23,11,7,16,11,71,21,97,80,6,30,73,32,46,41,27,6,46,22,26,3,15,14,0,0,1,8.69561135736884,65.5003799818711,54,149.44096723609,42,31,27,18,17,14,49,A,A,A,-1,-1,TN,-1,A,anderson tn,85,15,85,0,0
County,TN Tennessee,TN Bedford County 47003,9,Summary of All HUD Programs,1,A,Bedford County,47003,630.0,97,615,99,6.23429273248048,15,2.17504936532916,1351.22670781197,202.455547154871,388.834632705908,9233.51153546009,4242.2186519101,31,35,20,6,8,20,20,58,23,92,74,4,42,79,43,27,36,14,12,48,20,20,1,37,32,1,0,6,7.16261842482003,52.2454927961957,86,90.8074434760346,34,36,31,15,15,25,58,A,A,A,-1,-1,TN,-1,A,bedford tn,63,37,63,0,0
County,TN Tennessee,TN Benton County 47005,9,Summary of All HUD Programs,1,A,Benton County,47005,124.0,98,120,99,6.28514519070855,24,1.56367902301963,197.096466012851,195.767562882331,339.880032541263,8569.60013941502,5503.37005722664,23,46,23,6,2,7,1,92,26,94,68,9,16,62,21,39,23,20,7,33,14,46,2,10,10,0,0,2,-1.0,51.4987455309833,57,92.6988543621371,65,26,9,6,19,7,59,A,A,A,-1,-1,TN,-1,A,benton tn,90,10,90,0,0
County,TN Tennessee,TN Bledsoe County 47007,9,Summary of All HUD Programs,1,A,Bledsoe County,47007,141.0,95,136,99,5.88594000428368,19,1.86650852087888,288.379995004995,194.051737919831,510.592479319138,8402.2651369362,4501.59484564251,25,43,24,6,2,11,7,80,24,99,70,14,17,73,23,48,60,28,8,40,24,28,3,9,5,1,0,3,2.98333333333333,52.5205524595442,85,113.429599914003,36,43,21,29,18,3,58,A,A,A,-1,-1,TN,-1,A,bledsoe tn,91,9,91,0,0
County,TN Tennessee,TN Blount County 47009,9,Summary of All HUD Programs,1,A,Blount County,47009,1377.0,96,1212,95,5.20475517685772,7,1.99970418373428,2536.8435533406,247.117843436596,397.665627236635,10573.5396124155,5293.33025341559,17,40,23,12,8,20,12,66,22,97,77,7,34,82,37,41,58,26,5,45,21,29,3,13,10,1,0,3,14.9066666666667,64.6831288696375,57,119.241626463825,36,38,26,20,13,13,48,A,A,A,-1,-1,TN,-1,A,blount tn,87,13,87,0,0
County,TN Tennessee,TN Bradley County 47011,9,Summary of All HUD Programs,1,A,Bradley County,47011,1298.0,96,1181,99,5.76086630881193,16,1.91846397423378,2339.96796134724,194.176168693361,335.354330830712,8865.72340887948,4621.44616807148,26,39,23,8,4,15,17,67,22,97,74,3,37,77,38,38,34,22,11,44,16,30,2,16,13,1,0,3,3.67498723056492,53.9472017080615,40,77.0222256787071,46,33,21,10,26,17,41,A,A,A,-1,-1,TN,-1,A,bradley tn,84,16,84,0,0
County,TN Tennessee,TN Campbell County 47013,9,Summary of All HUD Programs,1,A,Campbell County,47013,973.0,93,901,99,6.24050952231987,22,1.74530615872631,1597.01125224326,209.042310792614,342.20136840964,9223.01657592567,5294.13974904122,19,48,19,8,4,14,8,77,26,93,69,8,22,70,24,52,63,34,8,38,24,30,2,1,1,0,0,0,6.03323333333333,59.3097014057334,25,154.087935185722,51,30,19,15,26,4,55,A,A,A,-1,-1,TN,-1,A,campbell tn,99,1,99,0,0
County,TN Tennessee,TN Cannon County 47015,9,Summary of All HUD Programs,1,A,Cannon County,47015,126.0,98,125,100,5.30288729517883,15,1.88923938024567,238.797429827528,214.421547459473,320.540462019847,8972.61672967485,4749.32759897695,28,37,24,6,6,19,3,76,18,97,88,2,32,71,29,42,56,26,6,42,19,32,2,4,3,0,0,1,4.42708333333333,46.4082308502849,7,209.25,51,23,25,14,16,4,55,A,A,A,-1,-1,TN,-1,A,cannon tn,96,4,96,0,0
County,TN Tennessee,TN Carroll County 47017,9,Summary of All HUD Programs,1,A,Carroll County,47017,347.0,90,314,100,3.34594850866586,9,2.23413409809079,666.99678728441,190.447159395094,368.878758336267,9538.00124673325,4269.21609355682,26,37,20,9,9,24,19,55,25,91,68,7,41,79,44,24,47,14,11,47,20,22,2,43,42,1,0,2,3.14861111111111,56.1616568756926,83,75.0702188893267,25,39,36,23,12,13,66,A,A,A,-1,-1,TN,-1,A,carroll tn,57,43,57,0,0
County,TN Tennessee,TN Carter County 47019,9,Summary of All HUD Programs,1,A,Carter County,47019,985.0,96,952,100,5.83910717842788,13,1.98955372685066,2141.57349218405,168.968469252385,396.749370537026,8778.15993737518,4413.94680788447,30,36,19,9,5,15,17,68,23,94,72,10,32,76,35,37,34,20,10,46,17,27,3,3,3,0,0,0,9.71496745287325,58.5706381011229,26,144.566200711796,42,36,22,13,21,5,54,A,A,A,-1,-1,TN,-1,A,carter tn,97,3,97,0,0
