gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian_pacific,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
County,TN Tennessee,TN Anderson County 47001,9,Summary of All HUD Programs,1,A,anderson County,47001,1793.0,91,1646,99,5.88983416875071,12,1.94821777935855,3277.66278782753,247.866170510979,413.878213125111,10988.4678743686,5640.26670467327,17,38,23,12,9,18,9,71,23,96,75,7,31,74,33,49,44,27,6,46,22,26,2,16,15,0,0,1,16.3356739440503,67.4840804686818,55,157.457239104491,41,32,26,18,22,15,61,A,A,A,-1,-1,TN,-1,A,anderson tn,84,16,84,0,0
County,TN Tennessee,TN Anderson County 47001,9,Housing Choice Vouchers,3,A,anderson County,47001,768.0,86,668,99,5.76341709621573,7,2.33746356167177,1550.74884104826,287.369810829717,494.298827352581,10894.8719492296,4660.98044387801,15,40,24,13,8,20,16,61,22,98,80,5,47,82,49,46,75,25,3,61,22,13,0,25,23,1,0,1,25.3823550376581,74.4564389626237,93,184.31215605495,11,48,42,33,23,16,65,A,A,A,-1,-1,TN,-1,A,anderson tn,75,25,75,0,0
County,TN Tennessee,TN Anderson County 47001,9,Public Housing,2,A,anderson County,47001,539.0,95,511,100,5.71357388316152,11,2.12371134020619,824.0,237.448453608247,342.938144329897,13973.7757731959,6579.88470873786,15,30,20,14,21,30,8,61,28,88,63,11,34,73,38,37,48,23,10,43,22,25,2,8,7,0,1,1,6.09105691056911,73.6474226804124,31,107.508196721311,35,32,32,17,21,9,60,A,A,A,-1,-1,TN,-1,A,anderson tn,92,8,92,0,0
County,TN Tennessee,TN Anderson County 47001,9,Mod Rehab,4,A,anderson County,47001,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,TN,-1,A,anderson tn,-1,-1,-1,0,0
County,TN Tennessee,TN Anderson County 47001,9,Section 8 NC/SR,5,A,anderson County,47001,308.0,93,295,97,6.11255110688208,21,1.28346511168066,586.489704355052,231.350203315382,393.020475935424,10127.3571911159,7890.6369163821,12,45,29,11,3,6,0,93,23,98,76,5,7,62,9,74,37,46,6,26,25,43,4,8,7,0,0,1,-1.0,58.3790080484216,18,97.2875,88,7,5,1,17,12,66,A,A,A,-1,-1,TN,-1,A,anderson tn,92,8,92,0,0
County,TN Tennessee,TN Anderson County 47001,9,Section 236,6,A,anderson County,47001,,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,TN,-1,A,anderson tn,-1,-1,-1,0,0
County,TN Tennessee,TN Anderson County 47001,9,Multi-Family Other,7,A,anderson County,47001,178.0,98,172,99,6.15793954874415,12,1.81853012887496,316.424242424242,166.751143620109,327.96551724138,6949.88481365378,3821.70452020686,39,34,14,10,2,15,2,83,16,99,83,8,26,76,28,36,9,17,7,51,15,26,6,19,19,0,0,1,-1.0,51.0678242192035,57,100.171717171717,51,38,10,8,32,36,35,A,A,A,-1,-1,TN,-1,A,anderson tn,81,19,81,0,0
County,TN Tennessee,TN Anderson County 47001,9,LIHTC,8,A,anderson County,47001,467.0,-1,-1,-1,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1,-1.0,-1,-1,-1,-1,-1,-1,-1,A,A,A,-1,-1,TN,-1,A,anderson tn,-1,-1,-1,0,0
County,TN Tennessee,TN Bedford County 47003,9,Summary of All HUD Programs,1,A,Bedford County,47003,610.0,97,591,99,6.52605529233955,14,2.15656034926465,1289.47738988964,223.268075971558,401.490535265701,10901.2745719009,5054.9360121631,26,31,22,8,12,22,15,61,27,89,65,6,38,79,40,29,37,15,10,47,19,24,2,34,30,1,0,5,6.67195526832375,56.968732579796,86,85.8963843110448,35,34,30,14,33,33,58,A,A,A,-1,-1,TN,-1,A,bedford tn,66,34,66,0,0
County,TN Tennessee,TN Bedford County 47003,9,Housing Choice Vouchers,3,A,Bedford County,47003,42.0,99,41,98,5.43414634146341,2,2.34146341463415,98.1832722425858,362.731707317073,453.205128205128,10953.1707317073,4677.91666666667,10,44,32,7,7,12,10,68,27,93,68,2,41,90,44,38,67,23,0,51,20,29,2,41,41,0,0,0,63.2,85.9292682926829,100,184.80487804878,22,29,49,34,30,31,62,A,A,A,-1,-1,TN,-1,A,bedford tn,59,41,59,0,0
