Quarter,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp_raw,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
2016-12-31 00:00:00,County,TN Tennessee,"TN Anderson County, Tennessee 47001",9,Summary of All HUD Programs,1,,anderson County,47001,1838,90,1663,100,6,18,1.9,3164,260,434,11312,5945,12,39,24,13,11,21,1,73,23,95,75,3,32,75,33,47,45,27,7,43,23,28,1,17,15,0,0,83,0,1,0,1,0,14,75,57,140,43,33,23,17,23,16,60,,,,,,TN,,,anderson tn,17,83,0,0
2016-12-31 00:00:00,County,TN Tennessee,"TN Anderson County, Tennessee 47001",9,Public Housing,2,,anderson County,47001,403,95,382,100,5,24,2.1,808,281,329,13852,6549,17,30,19,11,22,28,1,70,28,86,64,6,37,76,39,39,51,24,12,42,19,27,0,9,7,-1,1,91,-1,2,-1,2,0,8,81,35,122,36,31,33,17,22,9,62,,,,,,TN,,,anderson tn,9,91,0,0
2016-12-31 00:00:00,County,TN Tennessee,"TN Anderson County, Tennessee 47001",9,Housing Choice Vouchers,3,,anderson County,47001,789,83,670,100,5,15,2.3,1528,284,528,11356,4979,14,39,24,12,11,27,1,70,22,97,78,3,47,83,48,43,66,23,5,57,23,15,0,26,24,-1,0,74,0,1,0,1,0,17,83,97,157,17,51,33,28,23,17,63,,,,,,TN,,,anderson tn,26,74,0,0
2016-12-31 00:00:00,County,TN Tennessee,"TN Anderson County, Tennessee 47001",9,Project Based Section 8,5,,anderson County,47001,549,95,519,99,6,18,1.4,735,212,440,9293,6562,8,46,28,14,4,10,1,76,21,99,79,2,16,65,16,57,44,37,8,30,24,38,2,13,12,0,0,87,-1,1,-1,1,0,-1,64,34,90,73,18,8,6,22,17,56,,,,,,TN,,,anderson tn,13,87,0,0
2016-12-31 00:00:00,County,TN Tennessee,"TN Anderson County, Tennessee 47001",9,202/PRAC,8,,anderson County,47001,62,96,59,99,6,17,1.0,60,290,158,13109,12891,-1,33,34,26,7,2,-1,97,30,98,58,-1,-1,76,-1,-1,2,2,-1,-1,-1,100,14,5,5,-1,-1,95,-1,-1,-1,0,0,-1,45,-1,-1,100,-1,-1,-1,31,32,44,,,,,,TN,,,anderson tn,5,95,0,0
2016-12-31 00:00:00,County,TN Tennessee,"TN Anderson County, Tennessee 47001",9,811/PRAC,9,,anderson County,47001,34,91,33,100,7,9,1.0,33,222,196,9533,9533,-1,67,27,3,3,3,-1,88,22,97,91,-1,-1,58,-1,97,100,97,-1,39,55,6,-1,0,-1,-1,-1,100,-1,-1,-1,0,0,-1,87,-1,-1,100,-1,-1,-1,21,17,64,,,,,,TN,,,anderson tn,0,100,0,0
2016-12-31 00:00:00,County,TN Tennessee,"TN Bedford County, Tennessee 47003",9,Summary of All HUD Programs,1,,Bedford County,47003,660,96,636,100,6,27,2.1,1362,260,390,11959,5584,19,31,26,10,14,28,4,68,30,87,58,5,40,80,42,29,41,16,8,44,23,25,1,33,28,0,0,66,0,3,0,4,0,17,62,87,90,36,34,30,15,21,33,65,,,,,,TN,,,bedford tn,34,66,0,0
2016-12-31 00:00:00,County,TN Tennessee,"TN Bedford County, Tennessee 47003",9,Public Housing,2,,Bedford County,47003,421,98,413,100,7,25,2.1,867,271,332,13144,6261,18,29,25,10,18,30,5,64,34,81,54,4,39,81,40,33,31,17,8,42,24,26,1,35,31,0,-1,65,-1,4,0,4,0,6,71,89,74,36,32,32,16,21,33,63,,,,,,TN,,,bedford tn,35,65,0,0
2016-12-31 00:00:00,County,TN Tennessee,"TN Bedford County, Tennessee 47003",9,Housing Choice Vouchers,3,,Bedford County,47003,96,98,99,100,4,32,2.5,250,289,570,11230,4447,11,40,24,17,7,22,1,76,28,97,63,5,47,84,49,36,79,20,3,56,17,24,1,41,38,-1,-1,59,1,2,-1,3,0,41,48,99,139,28,35,36,16,22,32,68,,,,,,TN,,,bedford tn,41,59,0,0
2016-12-31 00:00:00,County,TN Tennessee,"TN Bedford County, Tennessee 47003",9,Project Based Section 8,5,,Bedford County,47003,106,88,86,93,5,38,2.4,206,173,517,7383,3082,42,29,17,7,5,33,7,60,18,97,80,10,52,78,57,1,14,1,13,62,17,8,-1,22,17,-1,1,78,1,2,-1,3,2,-1,38,100,101,17,56,27,14,21,32,77,,,,,,TN,,,bedford tn,22,78,0,0
2016-12-31 00:00:00,County,TN Tennessee,"TN Bedford County, Tennessee 47003",9,202/PRAC,8,,Bedford County,47003,14,100,14,100,6,7,1.0,14,268,240,11640,11640,-1,36,57,7,-1,-1,-1,100,34,100,36,-1,-1,71,-1,-1,36,36,-1,-1,-1,100,7,0,-1,-1,-1,79,-1,-1,-1,0,0,-1,64,-1,-1,100,-1,-1,-1,19,32,63,,,,,,TN,,,bedford tn,0,79,21,0
2016-12-31 00:00:00,County,TN Tennessee,"TN Bedford County, Tennessee 47003",9,811/PRAC,9,,Bedford County,47003,24,98,24,100,5,21,1.0,25,266,295,11152,10706,-1,38,50,13,-1,-1,-1,100,32,100,50,-1,-1,58,-1,67,89,72,-1,8,54,38,-1,13,8,-1,4,71,-1,-1,-1,0,0,-1,54,-1,-1,100,-1,-1,-1,22,34,62,,,,,,TN,,,bedford tn,13,71,16,0
