State,County_Name,Ttl_Incarc,Ttl_Minority_Incarc,Ttl_White_Incarc
Tennessee,Anderson County,0,0,0
Tennessee,Bedford County,0,0,0
Tennessee,Benton County,0,0,0
Tennessee,Bledsoe County,935,333,602
Tennessee,Blount County,0,0,0
Tennessee,Bradley County,0,0,0
Tennessee,Campbell County,0,0,0
Tennessee,Cannon County,0,0,0
Tennessee,Carroll County,0,0,0
Tennessee,Carter County,174,57,117
Tennessee,Cheatham County,0,0,0
Tennessee,Chester County,0,0,0
Tennessee,Claiborne County,0,0,0
Tennessee,Clay County,0,0,0
Tennessee,Cocke County,0,0,0
Tennessee,Coffee County,0,0,0
Tennessee,Crockett County,0,0,0
Tennessee,Cumberland County,0,0,0
Tennessee,Davidson County,4011,2108,1903
Tennessee,Decatur County,0,0,0
Tennessee,DeKalb County,0,0,0
Tennessee,Dickson County,0,0,0
Tennessee,Dyer County,0,0,0
Tennessee,Fayette County,0,0,0
Tennessee,Fentress County,0,0,0
Tennessee,Franklin County,0,0,0
Tennessee,Gibson County,0,0,0
Tennessee,Giles County,0,0,0
Tennessee,Grainger County,0,0,0
Tennessee,Greene County,0,0,0
Tennessee,Grundy County,0,0,0
Tennessee,Hamblen County,0,0,0
Tennessee,Hamilton County,0,0,0
Tennessee,Hancock County,0,0,0
Tennessee,Hardeman County,3471,2089,1382
Tennessee,Hardin County,0,0,0
Tennessee,Hawkins County,0,0,0
Tennessee,Haywood County,0,0,0
Tennessee,Henderson County,0,0,0
Tennessee,Henry County,0,0,0
Tennessee,Hickman County,1229,715,514
Tennessee,Houston County,0,0,0
Tennessee,Humphreys County,0,0,0
Tennessee,Jackson County,0,0,0
Tennessee,Jefferson County,0,0,0
Tennessee,Johnson County,1564,372,1192
Tennessee,Knox County,0,0,0
Tennessee,Lake County,2341,1196,1145
Tennessee,Lauderdale County,2554,1678,876
Tennessee,Lawrence County,0,0,0
Tennessee,Lewis County,0,0,0
Tennessee,Lincoln County,0,0,0
Tennessee,Loudon County,0,0,0
Tennessee,McMinn County,0,0,0
Tennessee,McNairy County,0,0,0
Tennessee,Macon County,0,0,0
Tennessee,Madison County,0,0,0
Tennessee,Marion County,0,0,0
Tennessee,Marshall County,0,0,0
Tennessee,Maury County,0,0,0
Tennessee,Meigs County,0,0,0
Tennessee,Monroe County,0,0,0
Tennessee,Montgomery County,0,0,0
Tennessee,Moore County,0,0,0
Tennessee,Morgan County,2351,803,1548
Tennessee,Obion County,0,0,0
Tennessee,Overton County,0,0,0
Tennessee,Perry County,0,0,0
Tennessee,Pickett County,0,0,0
Tennessee,Polk County,0,0,0
Tennessee,Putnam County,0,0,0
Tennessee,Rhea County,0,0,0
Tennessee,Roane County,0,0,0
Tennessee,Robertson County,0,0,0
Tennessee,Rutherford County,0,0,0
Tennessee,Scott County,0,0,0
Tennessee,Sequatchie County,0,0,0
Tennessee,Sevier County,0,0,0
Tennessee,Shelby County,2223,1629,594
Tennessee,Smith County,0,0,0
Tennessee,Stewart County,0,0,0
Tennessee,Sullivan County,0,0,0
Tennessee,Sumner County,0,0,0
Tennessee,Tipton County,0,0,0
Tennessee,Trousdale County,0,0,0
Tennessee,Unicoi County,0,0,0
Tennessee,Union County,0,0,0
Tennessee,Van Buren County,0,0,0
Tennessee,Warren County,0,0,0
Tennessee,Washington County,0,0,0
Tennessee,Wayne County,1900,955,945
Tennessee,Weakley County,0,0,0
Tennessee,White County,0,0,0
Tennessee,Williamson County,0,0,0
Tennessee,Wilson County,0,0,0
