State_Alpha,County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
TN,Anderson County,30250,34600,38900,43200,46700,50150,53600,57050,18150,20750,24860,30000,35140,40280,45420,50560,48400,55300,62200,69100,74650,80200,85700,91250
TN,Bedford County,23400,26750,30100,33400,36100,38750,41450,44100,14580,19720,24860,30000,35140,38750,41450,44100,37400,42750,48100,53400,57700,61950,66250,70500
TN,Benton County,23400,26750,30100,33400,36100,38750,41450,44100,14580,19720,24860,30000,35140,38750,41450,44100,37400,42750,48100,53400,57700,61950,66250,70500
TN,Bledsoe County,23400,26750,30100,33400,36100,38750,41450,44100,14580,19720,24860,30000,35140,38750,41450,44100,37400,42750,48100,53400,57700,61950,66250,70500
TN,Blount County,30250,34600,38900,43200,46700,50150,53600,57050,18150,20750,24860,30000,35140,40280,45420,50560,48400,55300,62200,69100,74650,80200,85700,91250
TN,Bradley County,24200,27650,31100,34550,37350,40100,42850,45650,14580,19720,24860,30000,35140,40100,42850,45650,38750,44250,49800,55300,59750,64150,68600,73000
TN,Campbell County,23400,26750,30100,33400,36100,38750,41450,44100,14580,19720,24860,30000,35140,38750,41450,44100,37400,42750,48100,53400,57700,61950,66250,70500
TN,Cannon County,34950,39950,44950,49900,53900,57900,61900,65900,21000,24000,27000,30000,35140,40280,45420,50560,55900,63900,71900,79850,86250,92650,99050,105450
TN,Carroll County,23400,26750,30100,33400,36100,38750,41450,44100,14580,19720,24860,30000,35140,38750,41450,44100,37400,42750,48100,53400,57700,61950,66250,70500
TN,Carter County,25000,28550,32100,35650,38550,41400,44250,47100,15000,19720,24860,30000,35140,40280,44250,47100,39950,45650,51350,57050,61650,66200,70750,75350
TN,Cheatham County,34950,39950,44950,49900,53900,57900,61900,65900,21000,24000,27000,30000,35140,40280,45420,50560,55900,63900,71900,79850,86250,92650,99050,105450
TN,Chester County,24000,27400,30850,34250,37000,39750,42500,45250,14580,19720,24860,30000,35140,39750,42500,45250,38400,43850,49350,54800,59200,63600,68000,72350
TN,Claiborne County,23400,26750,30100,33400,36100,38750,41450,44100,14580,19720,24860,30000,35140,38750,41450,44100,37400,42750,48100,53400,57700,61950,66250,70500
TN,Clay County,23400,26750,30100,33400,36100,38750,41450,44100,14580,19720,24860,30000,35140,38750,41450,44100,37400,42750,48100,53400,57700,61950,66250,70500
TN,Cocke County,23400,26750,30100,33400,36100,38750,41450,44100,14580,19720,24860,30000,35140,38750,41450,44100,37400,42750,48100,53400,57700,61950,66250,70500
TN,Coffee County,25400,29000,32650,36250,39150,42050,44950,47850,15250,19720,24860,30000,35140,40280,44950,47850,40600,46400,52200,58000,62650,67300,71950,76600
TN,Crockett County,23400,26750,30100,33400,36100,38750,41450,44100,14580,19720,24860,30000,35140,38750,41450,44100,37400,42750,48100,53400,57700,61950,66250,70500
TN,Cumberland County,23400,26750,30100,33400,36100,38750,41450,44100,14580,19720,24860,30000,35140,38750,41450,44100,37400,42750,48100,53400,57700,61950,66250,70500
TN,Davidson County,34950,39950,44950,49900,53900,57900,61900,65900,21000,24000,27000,30000,35140,40280,45420,50560,55900,63900,71900,79850,86250,92650,99050,105450
TN,Decatur County,23400,26750,30100,33400,36100,38750,41450,44100,14580,19720,24860,30000,35140,38750,41450,44100,37400,42750,48100,53400,57700,61950,66250,70500
TN,DeKalb County,23400,26750,30100,33400,36100,38750,41450,44100,14580,19720,24860,30000,35140,38750,41450,44100,37400,42750,48100,53400,57700,61950,66250,70500
TN,Dickson County,34950,39950,44950,49900,53900,57900,61900,65900,21000,24000,27000,30000,35140,40280,45420,50560,55900,63900,71900,79850,86250,92650,99050,105450
TN,Dyer County,23400,26750,30100,33400,36100,38750,41450,44100,14580,19720,24860,30000,35140,38750,41450,44100,37400,42750,48100,53400,57700,61950,66250,70500
TN,Fayette County,28350,32400,36450,40500,43750,47000,50250,53500,17050,19720,24860,30000,35140,40280,45420,50560,45400,51850,58350,64800,70000,75200,80400,85550
TN,Fentress County,23400,26750,30100,33400,36100,38750,41450,44100,14580,19720,24860,30000,35140,38750,41450,44100,37400,42750,48100,53400,57700,61950,66250,70500
TN,Franklin County,24650,28200,31700,35200,38050,40850,43650,46500,14800,19720,24860,30000,35140,40280,43650,46500,39450,45050,50700,56300,60850,65350,69850,74350
TN,Gibson County,23400,26750,30100,33400,36100,38750,41450,44100,14580,19720,24860,30000,35140,38750,41450,44100,37400,42750,48100,53400,57700,61950,66250,70500
TN,Giles County,24900,28450,32000,35550,38400,41250,44100,46950,14950,19720,24860,30000,35140,40280,44100,46950,39850,45550,51250,56900,61500,66050,70600,75150
TN,Grainger County,23400,26750,30100,33400,36100,38750,41450,44100,14580,19720,24860,30000,35140,38750,41450,44100,37400,42750,48100,53400,57700,61950,66250,70500
TN,Greene County,23850,27250,30650,34050,36800,39500,42250,44950,14580,19720,24860,30000,35140,39500,42250,44950,38150,43600,49050,54450,58850,63200,67550,71900
TN,Grundy County,23400,26750,30100,33400,36100,38750,41450,44100,14580,19720,24860,30000,35140,38750,41450,44100,37400,42750,48100,53400,57700,61950,66250,70500
TN,Hamblen County,24100,27550,31000,34400,37200,39950,42700,45450,14580,19720,24860,30000,35140,39950,42700,45450,38550,44050,49550,55050,59500,63900,68300,72700
TN,Hamilton County,27900,31850,35850,39800,43000,46200,49400,52550,16750,19720,24860,30000,35140,40280,45420,50560,44600,51000,57350,63700,68800,73900,79000,84100
TN,Hancock County,23400,26750,30100,33400,36100,38750,41450,44100,14580,19720,24860,30000,35140,38750,41450,44100,37400,42750,48100,53400,57700,61950,66250,70500
TN,Hardeman County,23400,26750,30100,33400,36100,38750,41450,44100,14580,19720,24860,30000,35140,38750,41450,44100,37400,42750,48100,53400,57700,61950,66250,70500
TN,Hardin County,23400,26750,30100,33400,36100,38750,41450,44100,14580,19720,24860,30000,35140,38750,41450,44100,37400,42750,48100,53400,57700,61950,66250,70500
TN,Hawkins County,24700,28200,31750,35250,38100,40900,43750,46550,14850,19720,24860,30000,35140,40280,43750,46550,39500,45150,50800,56400,60950,65450,69950,74450
TN,Haywood County,23400,26750,30100,33400,36100,38750,41450,44100,14580,19720,24860,30000,35140,38750,41450,44100,37400,42750,48100,53400,57700,61950,66250,70500
TN,Henderson County,23450,26800,30150,33450,36150,38850,41500,44200,14580,19720,24860,30000,35140,38850,41500,44200,37450,42800,48150,53500,57800,62100,66350,70650
TN,Henry County,23400,26750,30100,33400,36100,38750,41450,44100,14580,19720,24860,30000,35140,38750,41450,44100,37400,42750,48100,53400,57700,61950,66250,70500
TN,Hickman County,23400,26750,30100,33400,36100,38750,41450,44100,14580,19720,24860,30000,35140,38750,41450,44100,37400,42750,48100,53400,57700,61950,66250,70500
TN,Houston County,23400,26750,30100,33400,36100,38750,41450,44100,14580,19720,24860,30000,35140,38750,41450,44100,37400,42750,48100,53400,57700,61950,66250,70500
TN,Humphreys County,23400,26750,30100,33400,36100,38750,41450,44100,14580,19720,24860,30000,35140,38750,41450,44100,37400,42750,48100,53400,57700,61950,66250,70500
TN,Jackson County,23400,26750,30100,33400,36100,38750,41450,44100,14580,19720,24860,30000,35140,38750,41450,44100,37400,42750,48100,53400,57700,61950,66250,70500
TN,Jefferson County,24100,27550,31000,34400,37200,39950,42700,45450,14580,19720,24860,30000,35140,39950,42700,45450,38550,44050,49550,55050,59500,63900,68300,72700
TN,Johnson County,23400,26750,30100,33400,36100,38750,41450,44100,14580,19720,24860,30000,35140,38750,41450,44100,37400,42750,48100,53400,57700,61950,66250,70500
TN,Knox County,30250,34600,38900,43200,46700,50150,53600,57050,18150,20750,24860,30000,35140,40280,45420,50560,48400,55300,62200,69100,74650,80200,85700,91250
TN,Lake County,23400,26750,30100,33400,36100,38750,41450,44100,14580,19720,24860,30000,35140,38750,41450,44100,37400,42750,48100,53400,57700,61950,66250,70500
TN,Lauderdale County,23400,26750,30100,33400,36100,38750,41450,44100,14580,19720,24860,30000,35140,38750,41450,44100,37400,42750,48100,53400,57700,61950,66250,70500
TN,Lawrence County,23400,26750,30100,33400,36100,38750,41450,44100,14580,19720,24860,30000,35140,38750,41450,44100,37400,42750,48100,53400,57700,61950,66250,70500
TN,Lewis County,23400,26750,30100,33400,36100,38750,41450,44100,14580,19720,24860,30000,35140,38750,41450,44100,37400,42750,48100,53400,57700,61950,66250,70500
TN,Lincoln County,23850,27250,30650,34050,36800,39500,42250,44950,14580,19720,24860,30000,35140,39500,42250,44950,38150,43600,49050,54450,58850,63200,67550,71900
TN,Loudon County,30250,34600,38900,43200,46700,50150,53600,57050,18150,20750,24860,30000,35140,40280,45420,50560,48400,55300,62200,69100,74650,80200,85700,91250
TN,McMinn County,23400,26750,30100,33400,36100,38750,41450,44100,14580,19720,24860,30000,35140,38750,41450,44100,37400,42750,48100,53400,57700,61950,66250,70500
TN,McNairy County,23400,26750,30100,33400,36100,38750,41450,44100,14580,19720,24860,30000,35140,38750,41450,44100,37400,42750,48100,53400,57700,61950,66250,70500
TN,Macon County,23400,26750,30100,33400,36100,38750,41450,44100,14580,19720,24860,30000,35140,38750,41450,44100,37400,42750,48100,53400,57700,61950,66250,70500
TN,Madison County,24000,27400,30850,34250,37000,39750,42500,45250,14580,19720,24860,30000,35140,39750,42500,45250,38400,43850,49350,54800,59200,63600,68000,72350
TN,Marion County,27900,31850,35850,39800,43000,46200,49400,52550,16750,19720,24860,30000,35140,40280,45420,50560,44600,51000,57350,63700,68800,73900,79000,84100
TN,Marshall County,24500,28000,31500,35000,37800,40600,43400,46200,14700,19720,24860,30000,35140,40280,43400,46200,39200,44800,50400,56000,60500,65000,69450,73950
TN,Maury County,27500,31400,35350,39250,42400,45550,48700,51850,16500,19720,24860,30000,35140,40280,45420,50560,44000,50250,56550,62800,67850,72850,77900,82900
TN,Meigs County,23400,26750,30100,33400,36100,38750,41450,44100,14580,19720,24860,30000,35140,38750,41450,44100,37400,42750,48100,53400,57700,61950,66250,70500
TN,Monroe County,23400,26750,30100,33400,36100,38750,41450,44100,14580,19720,24860,30000,35140,38750,41450,44100,37400,42750,48100,53400,57700,61950,66250,70500
TN,Montgomery County,25550,29200,32850,36500,39450,42350,45300,48200,15350,19720,24860,30000,35140,40280,45300,48200,40900,46750,52600,58400,63100,67750,72450,77100
TN,Moore County,28000,32000,36000,39950,43150,46350,49550,52750,16800,19720,24860,30000,35140,40280,45420,50560,44750,51150,57550,63900,69050,74150,79250,84350
TN,Morgan County,23400,26750,30100,33400,36100,38750,41450,44100,14580,19720,24860,30000,35140,38750,41450,44100,37400,42750,48100,53400,57700,61950,66250,70500
