County_Name,il50_p1,il50_p2,il50_p3,il50_p4,il50_p5,il50_p6,il50_p7,il50_p8,il30_p1,il30_p2,il30_p3,il30_p4,il30_p5,il30_p6,il30_p7,il30_p8,il80_p1,il80_p2,il80_p3,il80_p4,il80_p5,il80_p6,il80_p7,il80_p8
Anderson County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Andrews County,32650,37300,41950,46600,50350,54100,57800,61550,19600,22400,25200,27950,32470,37190,41910,46630,52200,59650,67100,74550,80550,86500,92450,98450
Angelina County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Aransas County,24100,27550,31000,34400,37200,39950,42700,45450,14500,18310,23030,27750,32470,37190,41910,45450,38550,44050,49550,55050,59500,63900,68300,72700
Archer County,26500,30300,34100,37850,40900,43950,46950,50000,15900,18310,23030,27750,32470,37190,41910,46630,42400,48450,54500,60550,65400,70250,75100,79950
Armstrong County,27050,30900,34750,38600,41700,44800,47900,51000,16250,18550,23030,27750,32470,37190,41910,46630,43250,49400,55600,61750,66700,71650,76600,81550
Atascosa County,24100,27550,31000,34400,37200,39950,42700,45450,14500,18310,23030,27750,32470,37190,41910,45450,38550,44050,49550,55050,59500,63900,68300,72700
Austin County,30450,34800,39150,43450,46950,50450,53900,57400,18250,20850,23450,27750,32470,37190,41910,46630,48650,55600,62550,69500,75100,80650,86200,91750
Bailey County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Bandera County,29050,33200,37350,41450,44800,48100,51400,54750,17400,19900,23030,27750,32470,37190,41910,46630,46450,53050,59700,66300,71650,76950,82250,87550
Bastrop County,38650,44150,49650,55150,59600,64000,68400,72800,23200,26500,29800,33100,35750,38400,41910,46630,61800,70600,79450,88250,95350,102400,109450,116500
Baylor County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Bee County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Bell County,25350,28950,32550,36150,39050,41950,44850,47750,15200,18310,23030,27750,32470,37190,41910,46630,40500,46300,52100,57850,62500,67150,71750,76400
Bexar County,29050,33200,37350,41450,44800,48100,51400,54750,17400,19900,23030,27750,32470,37190,41910,46630,46450,53050,59700,66300,71650,76950,82250,87550
Blanco County,27550,31500,35450,39350,42500,45650,48800,51950,16550,18900,23030,27750,32470,37190,41910,46630,44100,50400,56700,62950,68000,73050,78100,83100
Borden County,36350,41550,46750,51900,56100,60250,64400,68550,21850,24950,28050,31150,33650,37190,41910,46630,58100,66400,74700,83000,89650,96300,102950,109600
Bosque County,24000,27400,30850,34250,37000,39750,42500,45250,14400,18310,23030,27750,32470,37190,41910,45250,38400,43850,49350,54800,59200,63600,68000,72350
Bowie County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Brazoria County,37450,42800,48150,53500,57800,62100,66350,70650,22500,25700,28900,32100,34700,37250,41910,46630,59950,68500,77050,85600,92450,99300,106150,113000
Brazos County,26950,30800,34650,38450,41550,44650,47700,50800,16150,18450,23030,27750,32470,37190,41910,46630,43050,49200,55350,61500,66450,71350,76300,81200
Brewster County,24200,27650,31100,34550,37350,40100,42850,45650,14550,18310,23030,27750,32470,37190,41910,45650,38750,44250,49800,55300,59750,64150,68600,73000
Briscoe County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Brooks County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Brown County,23850,27250,30650,34050,36800,39500,42250,44950,14350,18310,23030,27750,32470,37190,41910,44950,38150,43600,49050,54450,58850,63200,67550,71900
Burleson County,26950,30800,34650,38450,41550,44650,47700,50800,16150,18450,23030,27750,32470,37190,41910,46630,43050,49200,55350,61500,66450,71350,76300,81200
Burnet County,27550,31500,35450,39350,42500,45650,48800,51950,16550,18900,23030,27750,32470,37190,41910,46630,44100,50400,56700,62950,68000,73050,78100,83100
Caldwell County,38650,44150,49650,55150,59600,64000,68400,72800,23200,26500,29800,33100,35750,38400,41910,46630,61800,70600,79450,88250,95350,102400,109450,116500
Calhoun County,27550,31450,35400,39300,42450,45600,48750,51900,16550,18900,23030,27750,32470,37190,41910,46630,44050,50350,56650,62900,67950,73000,78000,83050
