sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,tpct_ownsfd,fedhse,msa,placefips,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,anderson County,48001,-1,-1,470,-1,5,31,2.1,987,262,298,10.8,5.1,14,40,24,15,6,34,1,64,30,91,57,8,43,83,48,23,36,15,19,42,10,29,3,55,49,0,0,6,7,43,84,58,27,44,29,22,42,22,55,-1,-1,-1,-1,-1,TX,-1,-1,anderson tx,45,55,45,0,0
9,1,All HUD,-1,andrews County,48003,-1,-1,12,-1,5,42,2.3,28,280,272,11.1,5.6,17,42,17,17,8,42,0,50,27,100,67,0,50,100,50,33,67,21,0,58,17,25,0,75,17,0,0,58,20,14,100,-2,33,33,33,25,39,15,73,-1,-1,-1,-1,-1,TX,-1,-1,andrews tx,25,75,25,0,0
9,1,All HUD,-1,Angelina County,48005,-1,-1,1537,-1,5,22,2.4,3753,269,425,11.9,4.9,16,36,22,14,11,38,7,50,29,90,60,12,45,85,54,29,32,15,10,56,15,18,2,75,67,0,0,8,22,58,98,70,27,27,46,17,48,20,53,-1,-1,-1,-1,-1,TX,-1,-1,angelina tx,25,75,25,0,0
9,1,All HUD,-1,Aransas County,48007,-1,-1,156,-1,5,28,2.3,357,228,495,9.8,4.3,20,41,25,10,4,26,6,63,27,93,63,12,40,78,44,30,37,16,10,49,17,24,3,45,8,0,1,37,8,33,99,121,34,46,21,9,35,24,47,-1,-1,-1,-1,-1,TX,-1,-1,aransas tx,55,45,55,0,0
9,1,All HUD,-1,Archer County,48009,-1,-1,43,-1,6,35,1.4,61,228,240,11.8,8.7,7,42,30,9,12,14,2,81,32,91,53,5,12,77,14,50,13,21,2,33,12,53,14,0,0,0,0,0,5,66,88,66,74,21,5,7,-1,-1,-1,-1,-1,-1,-1,-1,TX,-1,-1,archer tx,100,0,100,0,0
9,1,All HUD,-1,Armstrong County,48011,-1,-1,4,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,TX,-1,-1,armstrong tx,-4,-4,-4,0,0
9,1,All HUD,-1,Atascosa County,48013,-1,-1,325,-1,4,31,2.3,751,228,338,10.0,4.3,14,50,22,9,5,30,1,67,26,95,67,15,31,76,42,35,45,19,13,39,17,31,2,74,2,0,0,72,4,50,90,51,38,35,27,12,51,18,49,-1,-1,-1,-1,-1,TX,-1,-1,atascosa tx,26,74,26,0,0
9,1,All HUD,-1,Austin County,48015,-1,-1,154,-1,6,21,1.5,229,229,443,11.2,7.5,2,44,38,14,3,16,2,82,27,99,69,4,15,82,18,50,24,25,3,19,13,65,11,44,31,0,0,12,9,61,94,88,77,19,4,3,25,9,57,-1,-1,-1,-1,-1,TX,-1,-1,austin tx,56,44,56,0,0
9,1,All HUD,-1,Bailey County,48017,-1,-1,15,-1,6,13,1.0,15,228,266,11.6,11.6,0,40,40,20,0,0,0,100,39,80,27,0,0,67,0,100,0,20,0,7,13,80,27,7,0,0,0,7,-2,38,100,86,100,0,0,0,51,17,65,-1,-1,-1,-1,-1,TX,-1,-1,bailey tx,93,7,93,0,0
9,1,All HUD,-1,Bandera County,48019,-1,-1,0,-1,-4,-4,-4.0,-4,-4,-4,-4.0,-4.0,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-1,-1,-1,-1,-1,TX,-1,-1,bandera tx,-4,-4,-4,0,0
