sumlevel,program,program_label,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_maj,pct_welf_maj,pct_other_maj,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority_raw,pct_black,pct_native_american,pct_asian,pct_hispanic,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tminority,tpoverty,pct_ownsfd,fedhse,cbsa,placefips,latitude,longitude,state,pha_total_units,ha_size,County_norm,pct_white_nothsp_raw,pct_minority,pct_white_nothsp,HUD_race_pct_error,imputed_from_prev
9,1,All HUD,-1,anderson County,48001,-1,-1,553.0,-1.0,4.0,35.0,2.1,1181.0,277.0,375.0,11.6,5.4,15.0,33.0,25.0,17.0,10.0,36.0,1.0,61.0,32.0,88.0,51.0,7.0,46.0,85.0,49.0,24.0,33.0,14.0,17.0,47.0,12.0,24.0,3.0,54.0,49.0,0.0,0.0,5.0,3.0,40.0,87.0,68.0,25.0,47.0,28.0,22.0,41,21,53,-1,-1,-1,-1,-1,TX,-1,-1,anderson tx,46.0,54.0,46.0,0,0
9,1,All HUD,-1,andrews County,48003,-1,-1,11.0,-1.0,6.0,0.0,1.9,21.0,281.0,350.0,10.7,5.6,0.0,64.0,27.0,0.0,9.0,45.0,0.0,55.0,30.0,91.0,73.0,0.0,45.0,100.0,45.0,38.0,67.0,29.0,0.0,55.0,18.0,27.0,0.0,73.0,27.0,0.0,0.0,45.0,-2.0,30.0,100.0,-2.0,36.0,36.0,27.0,27.0,41,15,70,-1,-1,-1,-1,-1,TX,-1,-1,andrews tx,27.0,73.0,27.0,0,0
9,1,All HUD,-1,Angelina County,48005,-1,-1,1511.0,-1.0,5.0,21.0,2.4,3677.0,272.0,483.0,12.0,4.9,12.0,39.0,22.0,14.0,12.0,36.0,10.0,50.0,28.0,90.0,62.0,12.0,44.0,86.0,53.0,30.0,37.0,16.0,9.0,57.0,15.0,19.0,2.0,76.0,68.0,0.0,0.0,7.0,22.0,63.0,98.0,73.0,26.0,26.0,48.0,20.0,47,20,53,-1,-1,-1,-1,-1,TX,-1,-1,angelina tx,24.0,76.0,24.0,0,0
9,1,All HUD,-1,Aransas County,48007,-1,-1,122.0,-1.0,6.0,14.0,2.3,278.0,209.0,577.0,8.7,3.9,21.0,52.0,17.0,4.0,5.0,28.0,7.0,64.0,24.0,94.0,76.0,12.0,35.0,80.0,41.0,38.0,60.0,21.0,7.0,56.0,16.0,20.0,2.0,36.0,8.0,0.0,0.0,28.0,12.0,46.0,99.0,129.0,34.0,48.0,18.0,12.0,38,26,47,-1,-1,-1,-1,-1,TX,-1,-1,aransas tx,64.0,36.0,64.0,0,0
9,1,All HUD,-1,Archer County,48009,-1,-1,48.0,-1.0,5.0,33.0,1.4,69.0,205.0,264.0,10.1,7.0,10.0,46.0,35.0,4.0,4.0,21.0,4.0,75.0,27.0,96.0,67.0,4.0,15.0,67.0,15.0,54.0,15.0,26.0,4.0,31.0,23.0,42.0,8.0,2.0,0.0,0.0,0.0,2.0,0.0,59.0,92.0,66.0,73.0,21.0,6.0,8.0,-1,-1,-1,-1,-1,-1,-1,-1,TX,-1,-1,archer tx,98.0,2.0,98.0,0,0
9,1,All HUD,-1,Armstrong County,48011,-1,-1,3.0,-1.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4,-4,-4,-1,-1,-1,-1,-1,TX,-1,-1,armstrong tx,-4.0,-4.0,-4.0,0,0
9,1,All HUD,-1,Atascosa County,48013,-1,-1,311.0,-1.0,5.0,33.0,2.4,739.0,229.0,389.0,10.0,4.2,17.0,47.0,22.0,9.0,6.0,27.0,3.0,68.0,26.0,95.0,68.0,16.0,32.0,77.0,43.0,35.0,48.0,18.0,11.0,40.0,17.0,32.0,2.0,75.0,2.0,0.0,0.0,72.0,4.0,51.0,89.0,53.0,38.0,34.0,28.0,9.0,56,20,52,-1,-1,-1,-1,-1,TX,-1,-1,atascosa tx,25.0,75.0,25.0,0,0
9,1,All HUD,-1,Austin County,48015,-1,-1,144.0,-1.0,6.0,15.0,1.4,207.0,236.0,451.0,11.8,8.2,1.0,41.0,33.0,21.0,3.0,15.0,1.0,83.0,28.0,98.0,61.0,4.0,12.0,78.0,15.0,49.0,25.0,26.0,3.0,17.0,15.0,65.0,9.0,45.0,32.0,0.0,0.0,13.0,13.0,67.0,93.0,88.0,78.0,19.0,3.0,3.0,26,9,59,-1,-1,-1,-1,-1,TX,-1,-1,austin tx,55.0,45.0,55.0,0,0
9,1,All HUD,-1,Bailey County,48017,-1,-1,15.0,-1.0,7.0,0.0,1.0,15.0,252.0,238.0,12.4,12.4,0.0,33.0,40.0,27.0,0.0,0.0,0.0,100.0,41.0,80.0,20.0,0.0,0.0,67.0,0.0,100.0,0.0,20.0,0.0,7.0,13.0,80.0,33.0,7.0,0.0,0.0,0.0,7.0,-2.0,50.0,100.0,66.0,100.0,0.0,0.0,0.0,51,17,65,-1,-1,-1,-1,-1,TX,-1,-1,bailey tx,93.0,7.0,93.0,0,0
9,1,All HUD,-1,Bandera County,48019,-1,-1,5.0,-1.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4,-4,-4,-1,-1,-1,-1,-1,TX,-1,-1,bandera tx,-4.0,-4.0,-4.0,0,0
